city	unsheltered_ratio	unsheltered_homeless	population	mean_housing_unit_price	weather_temp	household_income_disparities	estimated_per_capita_income($) 	government_finances-current_operations_judical_and_legal_serices - per_resident	poverty_percentage	urban_population%	government_finances-current_operations_health_other-per_resident
"Wheeling, WV (28,009)"	0.000107108	3	"28,009"	"$128,502 "	52.7	49.40%	"$24,777 "	$5.96 	18	99.90%	$0 
"Holland, MI (33,481)"	0.000119471	4	"33,481"	"$133,268 "	48.5	40%	"$21,337 "	$0 	10.6	99.80%	$12.50 
"Somerville, MA (78,804)"	7.61E-05	6	"78,804"	"$571,473 "	50.1	42%	"$38,400 "	$6.85 	12.5	100%	$13.20 
"Jackson, MI (33,423)"	0.000209437	7	"33,423"	"$70,327 "	47.6	42.50%	"$15,150 "	$0.60 	19.6	100%	$0 
"Portage, MI (47,523)"	0.00016834	8	"47,523"	"$166,479 "	48.5	40.50%	"$29,275 "	$0.36 	4.81	98.80%	$0 
"Somers Point, NJ (10,785)"	0.000834492	9	"10,785"	"$224,931 "	54.1	38.50%	"$25,997 "	$21.50 	6.98	100%	$0 
"Nashua, NH (87,137)"	0.00014919	13	"87,137"	"$325,262 "	47.4	39.70%	"$30,416 "	$4.03 	6.76	99.30%	$16.50 
"Aurora, IL (199,963)"	7.00E-05	14	"199,963"	"$433,069 "	48	39.20%	"$25,527 "	$5.65 	8.5	99.90%	$10.10 
"Rochester, MN (110,742)"	0.00012642	14	"110,742"	"$267,658 "	43.4	41.70%	"$33,894 "	$8.87 	7.84	98.90%	$2.18 
"Toledo, OH (282,313)"	5.31E-05	15	"282,313"	"$250,220 "	49.2	42.90%	"$18,800 "	$54 	17.9	100%	$7.43 
"Huntington, IN (17,210)"	0.000929692	16	"17,210"	"$84,022 "	50.4	39.20%	"$18,912 "	$1.98 	8.07	99.80%	$0 
"Utica, NY (61,808)"	0.000275045	17	"61,808"	"$133,316 "	45.6	47.20%	"$16,333 "	$13.50 	24.5	100%	$0 
"Lowell, MA (108,861)"	0.000174534	19	"108,861"	"$246,910 "	48.4	42.70%	"$21,234 "	$13.40 	16.8	100%	$20.20 
"North Chicago, IL (30,038)"	0.000632532	19	"30,038"	"$135,305 "	47.9	40.80%	"$17,736 "	$0 	15.1	100%	$0 
"Augusta-Richmond County, GA (197,350)"	0.00010641	21	"197,350"	"$202,053 "	63	45.70%	"$21,468 "	$67 	19.6	93.50%	$85.40 
"Albany, NY (98,424)"	0.000264163	26	"98,424"	"$170,886 "	47.7	47.20%	"$24,973 "	$12.90 	21.7	100%	$4.05 
"Attleboro, MA (43,886)"	0.00061523	27	"43,886"	"$288,484 "	50	37.70%	"$31,078 "	$0 	6.15	100%	$5.15 
"Pittsfield, MA (44,057)"	0.00063554	28	"44,057"	"$212,790 "	45.8	43.70%	"$27,761 "	$4.61 	11.4	93.80%	$14.60 
"Bristol, PA (9,633)"	0.003114295	30	"9,633"	"$207,869 "	53.1	39.30%	"$22,684 "	$4.78 	10.4	100%	$0 
"Charleston, WV (50,821)"	0.000629661	32	"50,821"	"$185,653 "	54.5	52.50%	"$36,525 "	$32.20 	16.7	98%	$0 
"Yonkers, NY (199,766)"	0.000170199	34	"199,766"	"> $1,000,000"	53.5	46.20%	"$30,687 "	$29.90 	15.5	100%	$2.78 
"Springfield, MA (153,703)"	0.000227712	35	"153,703"	"$223,068 "	48.5	45.10%	"$18,518 "	$8.35 	23.1	100%	$7.22 
"Plymouth, WI (8,391)"	0.004528662	38	"8,391"	"$149,336 "	45.3	37.40%	"$25,410 "	$3.93 	3.56	99.60%	$0 
"Quincy, MA (93,494)"	0.000406443	38	"93,494"	"$615,532 "	50.4	40.80%	"$33,008 "	$6.38 	7.25	100%	$17.20 
"Rock Island, IL (38,877)"	0.001003164	39	"38,877"	"$114,789 "	50.8	43.10%	"$22,929 "	$3.78 	14.5	99.90%	$0 
"Provo, UT (116,288)"	0.000352573	41	"116,288"	"$215,172 "	53.2	42.90%	"$17,368 "	$13.70 	26.8	99.40%	$0 
"Portsmouth, NH (21,440)"	0.002098881	45	"21,440"	"$329,094 "	47.9	42.20%	"$40,437 "	$20 	9.3	100%	$4.34 
"Norman, OK (118,197)"	0.000389181	46	"118,197"	"$207,692 "	60.7	46.60%	"$25,316 "	$23.90 	15.1	89.80%	$0 
"Bloomingdale, IL (22,346)"	0.002148035	48	"22,346"	"$275,930 "	49.1	37.50%	"$38,815 "	$0 	2.74	100%	$0 
"Joliet, IL (147,806)"	0.00032475	48	"147,806"	"$236,360 "	49.4	38.50%	"$24,421 "	$0 	10.8	99.50%	$1.08 
"Pittsburgh, PA (305,841)"	0.000156944	48	"305,841"	"$467,747 "	51.3	49.50%	"$28,176 "	$8.49 	20.4	100%	$38.50 
"Rockford, IL (150,251)"	0.000319465	48	"150,251"	"$170,400 "	47.9	44.30%	"$21,021 "	$10.70 	14	99.90%	$0.91 
"Virginia Beach, VA (448,479)"	0.000111488	50	"448,479"	"> $1,000,000"	59.7	38.20%	"$31,973 "	$33.90 	6.52	98.40%	$120 
"Alexandria, LA (48,426)"	0.001115103	54	"48,426"	"$153,179 "	66.8	52.40%	"$20,626 "	$22 	27.4	99.70%	$2.97 
"Glendale, WI (12,920)"	0.004256966	55	"12,920"	"$215,887 "	48.1	40.80%	"$32,929 "	$22.70 	3.97	100%	$8.44 
"Newport, KY (15,382)"	0.00370563	57	"15,382"	"$156,099 "	53	45.90%	"$21,490 "	$0 	22.3	100%	$0 
"Niagara Falls, NY (49,468)"	0.00115226	57	"49,468"	"$86,974 "	47.8	45.20%	"$20,327 "	$8.21 	19.5	100%	$0 
"Omaha, NE (434,353)"	0.00013123	57	"434,353"	"$773,535 "	50.6	43.40%	"$26,628 "	$19.80 	11.3	100%	$0 
"South Salt Lake, UT (24,702)"	0.002307505	57	"24,702"	"$182,216 "	53.6	41.30%	"$17,137 "	$48.50 	16.3	100%	$0 
"Slidell, LA (27,526)"	0.002179757	60	"27,526"	"$157,016 "	67.4	42%	"$23,690 "	$35.60 	11.8	100%	$11.50 
"Burlington, VT (42,284)"	0.001466276	62	"42,284"	"$297,007 "	45	45.10%	"$25,994 "	$32.90 	20	100%	$0 
"Elizabeth, NJ (127,558)"	0.000486053	62	"127,558"	"$256,198 "	53.6	43.50%	"$17,813 "	$24.10 	17.8	100%	$34.20 
"Cambridge, MA (107,289)"	0.000643123	69	"107,289"	"> $1,000,000"	50.2	48.30%	"$47,782 "	$12.50 	12.9	100%	$0 
"Madison, WI (243,344)"	0.000287659	70	"243,344"	"$713,296 "	45.4	42.40%	"$31,801 "	$9.66 	15	99.70%	$49.90 
"Richmond, VA (214,114)"	0.000326929	70	"214,114"	"$582,096 "	57.7	49.10%	"$26,540 "	$89.60 	21.4	100%	$264 
"Hagerstown, MD (40,612)"	0.001797498	73	"40,612"	"$188,545 "	52.6	43.70%	"$20,755 "	$4.06 	18.1	100%	$0 
"Cleveland, OH (390,113)"	0.000189689	74	"390,113"	"$255,541 "	50.1	46.50%	"$17,545 "	$104 	26.3	100%	$104 
"Knoxville, TN (183,270)"	0.000441971	81	"183,270"	"$290,472 "	57.4	48.40%	"$22,218 "	$13.20 	20.8	99.90%	$0.08 
"Greensboro, NC (279,639)"	0.000300387	84	"279,639"	"$650,680 "	58.4	45.20%	"$27,202 "	$4.01 	12.3	99.80%	$0.52 
"New Brunswick, NJ (55,831)"	0.00150454	84	"55,831"	"$265,409 "	52.5	44.70%	"$14,221 "	$26.70 	27.1	100%	$11.50 
"Norfolk, VA (246,139)"	0.000345333	85	"246,139"	"$478,068 "	59.6	45.60%	"$23,510 "	$43.40 	19.4	100%	$119 
