city,unsheltered_ratio,unsheltered_homeless,population,mean_housing_unit_price,weather_temp,household_income_disparities,estimated_per_capita_income,government_finances_current_operations_judical_and_legal_serices_per_resident,poverty_percentage,urban_population_percent,government_finances_current_operations_health_other_per_resident
"Wheeling,WV",0.000107108,3,"28,009",128502,52.7,49.4,24777,5.96,18,99.9,0
"Holland,MI",0.000119471,4,"33,481",133268,48.5,40,21337,0,10.6,99.8,12.5
"Somerville,MA",7.61E-05,6,"78,804",571473,50.1,42,38400,6.85,12.5,100,13.2
"Jackson,MI",0.000209437,7,"33,423",70327,47.6,42.5,15150,0.6,19.6,100,0
"Portage,MI",0.00016834,8,"47,523",166479,48.5,40.5,29275,0.36,4.81,98.8,0
"SomersPoint,NJ",0.000834492,9,"10,785",224931,54.1,38.5,25997,21.5,6.98,100,0
"Nashua,NH",0.00014919,13,"87,137",325262,47.4,39.7,30416,4.03,6.76,99.3,16.5
"Aurora,IL",7.00E-05,14,"199,963",433069,48,39.2,25527,5.65,8.5,99.9,10.1
"Rochester,MN",0.00012642,14,"110,742",267658,43.4,41.7,33894,8.87,7.84,98.9,2.18
"Toledo,OH",5.31E-05,15,"282,313",250220,49.2,42.9,18800,54,17.9,100,7.43
"Huntington,IN",0.000929692,16,"17,210",84022,50.4,39.2,18912,1.98,8.07,99.8,0
"Utica,NY",0.000275045,17,"61,808",133316,45.6,47.2,16333,13.5,24.5,100,0
"Lowell,MA",0.000174534,19,"108,861",246910,48.4,42.7,21234,13.4,16.8,100,20.2
"NorthChicago,IL",0.000632532,19,"30,038",135305,47.9,40.8,17736,0,15.1,100,0
"Augusta-RichmondCounty,GA",0.00010641,21,"197,350",202053,63,45.7,21468,67,19.6,93.5,85.4
"Albany,NY",0.000264163,26,"98,424",170886,47.7,47.2,24973,12.9,21.7,100,4.05
"Attleboro,MA",0.00061523,27,"43,886",288484,50,37.7,31078,0,6.15,100,5.15
"Pittsfield,MA",0.00063554,28,"44,057",212790,45.8,43.7,27761,4.61,11.4,93.8,14.6
"Bristol,PA",0.003114295,30,"9,633",207869,53.1,39.3,22684,4.78,10.4,100,0
"Charleston,WV",0.000629661,32,"50,821",185653,54.5,52.5,36525,32.2,16.7,98,0
"Yonkers,NY",0.000170199,34,"199,766",1000000,53.5,46.2,30687,29.9,15.5,100,2.78
"Springfield,MA",0.000227712,35,"153,703",223068,48.5,45.1,18518,8.35,23.1,100,7.22
"Plymouth,WI",0.004528662,38,"8,391",149336,45.3,37.4,25410,3.93,3.56,99.6,0
"Quincy,MA",0.000406443,38,"93,494",615532,50.4,40.8,33008,6.38,7.25,100,17.2
"RockIsland,IL",0.001003164,39,"38,877",114789,50.8,43.1,22929,3.78,14.5,99.9,0
"Provo,UT",0.000352573,41,"116,288",215172,53.2,42.9,17368,13.7,26.8,99.4,0
"Portsmouth,NH",0.002098881,45,"21,440",329094,47.9,42.2,40437,20,9.3,100,4.34
"Norman,OK",0.000389181,46,"118,197",207692,60.7,46.6,25316,23.9,15.1,89.8,0
"Bloomingdale,IL",0.002148035,48,"22,346",275930,49.1,37.5,38815,0,2.74,100,0
"Joliet,IL",0.00032475,48,"147,806",236360,49.4,38.5,24421,0,10.8,99.5,1.08
"Pittsburgh,PA",0.000156944,48,"305,841",467747,51.3,49.5,28176,8.49,20.4,100,38.5
"Rockford,IL",0.000319465,48,"150,251",170400,47.9,44.3,21021,10.7,14,99.9,0.91
"VirginiaBeach,VA",0.000111488,50,"448,479",1000000,59.7,38.2,31973,33.9,6.52,98.4,120
"Alexandria,LA",0.001115103,54,"48,426",153179,66.8,52.4,20626,22,27.4,99.7,2.97
"Glendale,WI",0.004256966,55,"12,920",215887,48.1,40.8,32929,22.7,3.97,100,8.44
"Newport,KY",0.00370563,57,"15,382",156099,53,45.9,21490,0,22.3,100,0
"NiagaraFalls,NY",0.00115226,57,"49,468",86974,47.8,45.2,20327,8.21,19.5,100,0
"Omaha,NE",0.00013123,57,"434,353",773535,50.6,43.4,26628,19.8,11.3,100,0
"SouthSaltLake,UT",0.002307505,57,"24,702",182216,53.6,41.3,17137,48.5,16.3,100,0
"Slidell,LA",0.002179757,60,"27,526",157016,67.4,42,23690,35.6,11.8,100,11.5
"Burlington,VT",0.001466276,62,"42,284",297007,45,45.1,25994,32.9,20,100,0
"Elizabeth,NJ",0.000486053,62,"127,558",256198,53.6,43.5,17813,24.1,17.8,100,34.2
"Cambridge,MA",0.000643123,69,"107,289",1000000,50.2,48.3,47782,12.5,12.9,100,0
"Madison,WI",0.000287659,70,"243,344",713296,45.4,42.4,31801,9.66,15,99.7,49.9
"Richmond,VA",0.000326929,70,"214,114",582096,57.7,49.1,26540,89.6,21.4,100,264
"Hagerstown,MD",0.001797498,73,"40,612",188545,52.6,43.7,20755,4.06,18.1,100,0
"Cleveland,OH",0.000189689,74,"390,113",255541,50.1,46.5,17545,104,26.3,100,104
"Knoxville,TN",0.000441971,81,"183,270",290472,57.4,48.4,22218,13.2,20.8,99.9,0.08
"Greensboro,NC",0.000300387,84,"279,639",650680,58.4,45.2,27202,4.01,12.3,99.8,0.52
"NewBrunswick,NJ",0.00150454,84,"55,831",265409,52.5,44.7,14221,26.7,27.1,100,11.5
"Norfolk,VA",0.000345333,85,"246,139",478068,59.6,45.6,23510,43.4,19.4,100,119
"Huntsville,AL",0.000467104,87,"186,254",548102,60.2,45.7,29399,20,12.8,97.2,20.1
"AtlanticCity,NJ",0.002932922,116,"39,551",233673,55.2,49.2,18050,52.3,23.6,100,172
"Reno,NV",0.000514372,120,"233,294",598775,51.1,43.5,27027,34.1,12.6,99.7,0
"Memphis,TN",0.000185171,121,"653,450",938090,61.9,47,22393,22.5,20.6,99.8,0
"Wilmington,NC",0.001142174,128,"112,067",361547,63.6,49.2,30165,0,19.6,100,0
"Indianapolis,IN",0.000154139,130,"843,393",1000000,52.1,42.9,24322,59.8,11.9,99.4,78.4
"Orange,CA",0.00095021,133,"139,969",1000000,65,41.1,29819,5.29,10,100,40
"PanamaCityBeach,FL",0.01127321,136,"12,064",250399,66.1,40.7,29228,13.3,4.96,97.7,0
"Tallahassee,FL",0.000793945,148,"186,411",312391,67.8,49.5,23076,11.2,24.7,99.7,0
"Bridgeport,CT",0.001059667,156,"147,216",215810,52.1,44.8,20128,23,18.4,100,55.2
"Duluth,MN",0.001834479,158,"86,128",166956,39.8,44.7,25896,14.7,15.5,98.3,0.02
"Boston,MA",0.000258528,167,"645,966",1000000,50.6,48.7,34139,22.6,19.5,100,0.29
"St.Cloud,FL",0.004081333,167,"40,918",139677,72,38.6,19265,12.6,8.07,99.8,0
"Minneapolis,MN",0.000424926,170,"400,070",1000000,45.3,45.5,32791,12.6,16.9,100,28.6
"Spokane,WA",0.000816245,172,"210,721",462314,47.3,44.6,23592,30.1,15.9,99.9,0.45
"Pensacola,FL",0.003453314,182,"52,703",193937,68.1,46.8,27597,15.9,16.1,100,0
"FortMyers,FL",0.002683678,183,"68,190",166500,74.9,48.5,20271,10.7,21.8,97,0
"Charlotte,NC",0.000235854,187,"792,862",1000000,61,44.8,30955,2.18,10.6,100,5.4
"Detroit,MI",0.000280238,193,"688,701",311888,50,47.4,14721,101,26.1,100,96.4
"Anchorage,AK",0.000797475,240,"300,950",1000000,34.3,39.3,36344,3.33,7.35,95.1,87
"Greenville,SC",0.004234735,260,"61,397",274420,60.2,50.1,29432,38.7,16.1,100,0
"Morristown,NJ",0.017270225,320,"18,529",405872,51.7,43.8,42823,50.6,11.5,100,20.1
"Columbus,OH",0.000412131,339,"822,553",1000000,52.8,41.8,24367,31.1,14.8,99.9,38.1
"Hillsboro,OR",0.003882179,378,"97,368",256521,53.2,36.4,27903,3.66,9.21,100,0
"Tucson,AZ",0.000724175,381,"526,116",695602,70,43.2,19669,29.2,18.4,99.5,0
"OregonCity,OR",0.011697764,405,"34,622",249451,55,36.7,27527,17.5,8.86,100,0
"JacksonvilleBeach,FL",0.020208037,441,"21,823",328274,68.9,40.9,37990,3.53,7.18,100,0
"Newark,NJ",0.001591081,443,"278,427",346556,54,49.2,16539,38.4,28.4,100,113
"Everett,WA",0.004469963,471,"105,370",356715,51.1,40.4,25832,34.9,12.9,100,50.7
"Bakersfield,CA",0.001391524,506,"363,630",591863,64.9,43.8,22343,3.6,18,99.4,0.15
"Ocala,FL",0.009187722,528,"57,468",161257,70.6,46.3,22432,0,18.1,99.7,0
"Delaware,OH",0.016868263,615,"36,459",151985,51.4,37.6,26674,41,7.34,99.2,0
"Nashville-Davidson,TN",0.001060738,673,"634,464",1000000,58.5,44.1,27306,92.4,13.3,97,76
"NewOrleans,LA",0.001893244,717,"378,715",1000000,69.6,52.4,26957,106,27.9,99.5,73.3
"Tampa,FL",0.002178736,769,"352,957",1000000,73.1,49.5,29473,7.51,18.1,99.8,0
"FortLauderdale,FL",0.004536252,782,"172,389",1000000,75.9,50.7,39112,14.5,17.7,100,0.05
"Denver,CO",0.001227107,797,"649,495",1000000,49.5,45.6,33995,75,14.3,100,33.9
"Austin,MN",0.032952389,816,"24,763",116948,43.3,43.1,23716,11.9,10.9,99.9,0.04
"MyrtleBeach,SC",0.028517566,832,"29,175",231574,63.8,45.3,26067,69.6,12,98.7,0
"Atlanta,GA",0.0018712,838,"447,841",1000000,61.7,54.2,36257,58.3,24.4,100,0
"SantaMaria,CA",0.008707052,890,"102,216",221386,58.4,40.5,17344,7.35,19.7,99.9,0.06
"Eugene,OR",0.005867203,934,"159,190",576253,52.3,47.2,28171,19.5,17.1,99.9,0
"Sacramento,CA",0.001976293,948,"479,686",1000000,62.2,44.4,24531,10.1,20,100,34.5
"Miami,FL",0.002351251,982,"417,650",965097,77.3,53.9,22692,12.3,28.5,100,0
"PinellasPark,FL",0.022780911,"1,139","49,998",121487,73.4,38.2,22808,4.6,9.34,100,0
"St.Petersburg,FL",0.004561693,"1,139","249,688",688533,73.6,44.7,28294,0,13.3,100,0
"SanBuenaventura(Ventura),CA",0.010944981,"1,191","108,817",1000000,61.5,40.7,32648,8.97,8.96,100,4.06
"Houston,TX",0.000544648,"1,196","2,195,914",1000000,69.7,47.6,27989,17.7,19.2,99.9,41.1
"Chicago,IL",0.00045719,"1,243","2,718,782",1000000,50.3,47.5,28548,12.4,19.6,100,65.3
"Watsonville,CA",0.02580178,"1,354","52,477",298583,56.9,42.7,15873,0,19.1,100,0
"LongBeach,CA",0.003223071,"1,513","469,428",1000000,65.3,47.3,25993,21.4,22.8,100,111
"Phoenix,AZ",0.001087641,"1,646","1,513,367",1000000,71.5,43.8,23703,32.6,15.8,99.6,0
"Portland,OR",0.003096204,"1,887","609,456",1000000,53.9,43.9,32915,10.6,13.1,99.8,0
"SantaRosa,CA",0.01108204,"1,906","171,990",1000000,59,40.5,28975,9.75,8.54,99.9,11.5
"SantaAna,CA",0.006585345,"2,201","334,227",985199,65.4,39.3,15687,6.44,19.8,100,16.3
"NewYork,NY",0.000337623,"2,838","8,405,837",1000000,54.9,50.5,32540,62.7,21.2,100,153
"LasVegas,NV",0.006182393,"3,731","603,488",1000000,65.5,42.9,24457,45.7,11.9,100,4.14
"Seattle,WA",0.00690522,"4,505","652,405",1000000,52.5,45.6,45029,31.6,11.8,100,3.77
"SanJose,CA",0.004633779,"4,627","998,537",1000000,60.9,39.9,34977,0,8.82,100,14.7
"SanDiego,CA",0.003643347,"4,940","1,355,896",1000000,64.4,44.9,33492,25.2,14.6,99.9,32.3
