State,Legal Aid Attorneys per capita,unsheltered homelessness ratio,ratio,rental price average,Gini coefficients,w/o health insurance%,POP_ST,POPPCT_URBAN,,,,,,,,
Alabama,2.49E-05,0.000251166,10.071921,0.655461301,0.485,9.1,4779736,59.04,,,,,,,,
Alaska,0.000113478,0.000599947,5.286889608,1.212974373,0.408,14,710231,66.02,,,,,,,,
Arizona,4.22E-05,0.000481915,11.41380992,0.81685009,0.471,10,6392017,89.81,,,,,,,,
Arkansas,3.33E-05,0.000285534,8.578452252,0.713311521,0.472,7.9,2915918,56.16,,,,,,,,
California,4.40E-05,0.002020231,45.89181927,1.640888049,0.49,7.3,37253956,94.95,,,,,,,,
Colorado,2.96E-05,0.000548744,18.50837108,1.269428602,0.59,7.5,5029196,86.15,,,,,,,,
Connecticut,0.000146126,0.000187117,1.280520706,1.283211253,0.459,4.9,3574097,87.99,,,,,,,,
Delaware,6.99E-05,5.45E-05,0.7803659,0.867986832,0.452,5.7,897934,83.3,,,,,,,,
District of Columbia,0.000932617,0.000482628,0.517498451,2.866655149,0.542,3.9,601723,100,,,,,,,,
Florida,4.61E-05,0.00077217,16.75099299,1.208039294,0.485,12.5,18801310,91.16,,,,,,,,
Georgia,3.07E-05,0.000531427,17.3163746,0.717036335,0.481,12.9,9687653,75.07,,,,,,,,
Hawaii,0.000114957,0.003034741,26.39895801,2.387218661,0.442,3.5,1360301,91.93,,,,,,,,
Idaho,2.87E-05,0.000451524,15.75538917,0.769443228,0.45,10.1,1567582,70.58,,,,,,,,
Illinois,7.91E-05,0.000143938,1.819662037,1.247002954,0.481,6.5,12830632,88.49,,,,,,,,
Indiana,3.17E-05,0.000104747,3.306966382,0.748062887,0.453,8.1,6483802,72.44,,,,,,,,
Iowa,6.00E-05,4.60E-05,0.766589218,0.967760158,0.445,4.3,3046355,64.02,,,,,,,,
Kansas,3.51E-05,9.71E-05,2.769934411,0.848001669,0.455,8.7,2853118,74.2,,,,,,,,
Kentucky,4.32E-05,0.000159965,3.699909193,0.795584775,0.481,5.1,4339367,58.38,,,,,,,,
Louisiana,4.41E-05,0.000245393,5.568992146,0.888515116,0.499,10.3,4533372,73.19,,,,,,,,
Maine,9.39E-05,9.02E-05,0.960313741,1.151491556,0.452,8,1328361,38.66,,,,,,,,
Maryland,0.000148585,0.000255672,1.720708645,1.264058973,0.45,6.1,5773552,87.2,,,,,,,,
Massachusetts,8.85E-05,0.000112669,1.273261388,2.471514397,0.479,2.5,6547629,91.97,,,,,,,,
Michigan,3.99E-05,9.69E-05,2.429506641,0.928169415,0.47,5.4,9883640,74.57,,,,,,,,
Minnesota,7.61E-05,0.000162905,2.139760448,1.152489413,0.45,4.1,5303925,73.27,,,,,,,,
Mississippi,2.56E-05,0.00028356,11.08753216,0.729378771,0.483,11.8,2967297,49.35,,,,,,,,
Missouri,4.68E-05,0.000200541,4.284071003,0.807714009,0.465,8.9,5988927,70.44,,,,,,,,
Montana,3.36E-05,0.000615487,18.31700617,0.94286161,0.467,8.1,989415,55.89,,,,,,,,
Nebraska,5.94E-05,5.37E-05,0.903366843,0.959133071,0.448,8.6,1826341,73.13,,,,,,,,
Nevada,5.26E-05,0.001383185,26.30254104,0.797183055,0.458,11.4,2700551,94.2,,,,,,,,
New Hampshire,4.17E-05,0.000107777,2.584880022,1.128803329,0.43,5.9,1316470,60.3,,,,,,,,
New Jersey,5.64E-05,0.000160435,2.84694602,1.39906062,0.481,8,8791894,94.68,,,,,,,,
New Mexico,4.67E-05,0.000217686,4.660373509,0.798282531,0.477,9.2,2059179,77.43,,,,,,,,
New York,0.000265327,0.000181858,0.685409725,1.037954379,0.513,6.1,19378102,87.87,,,,,,,,
North Carolina,5.08E-05,0.000232201,4.56832706,0.74113119,0.478,10.4,9535483,66.09,,,,,,,,
North Dakota,4.14E-05,0.000292096,7.050979975,0.916936845,0.453,7,672591,59.9,,,,,,,,
Ohio,4.49E-05,9.82E-05,2.18462638,0.826692715,0.468,5.6,11536504,77.92,,,,,,,,
Oklahoma,4.75E-05,0.000263019,5.540274418,0.77676488,0.465,13.8,3751351,66.24,,,,,,,,
