"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California","State","California","All Homes",138904,137763,138101,138112,136423,135986,136686,138064,141213,144884,148180,150347,151018,154490,159514,159565,156800,156132,156512,154404,150140,146889,144812,141380,136222,128948,118727,109553,103529,97360,90501,85219,80921,76504,73327,72012,71695,71168,70015,69030,67924,65774,64721,66247,68133,69267,70355,71518,72479,73889,76305,79243,81902,83997,84671,84098,84216,84841,84157,82331,80525,78469,77066,77643,78998,79739,79857,79655,79159,78166,76497,73658,71001,70851,72678,74662,75990,77843,80027,79835,77445,74832,72374,70286,68914,67559,65719,64406,63650,61919,59579,58328,57989,57437,56859,57324,58689
"Texas","State","Texas","All Homes",159815,160665,163110,163790,160659,158492,160376,165145,168663,168692,169543,171181,171599,171060,171136,172580,173713,175622,172795,161939,153470,151241,149642,146420,142837,139662,135237,130643,128596,126346,122643,120268,119122,117612,115694,114212,113712,114100,114414,113874,112353,109187,106497,105804,104806,103142,101869,100919,99910,98926,98417,98422,98234,97751,97586,97830,97862,97281,96330,95562,94978,93861,92054,90577,89693,88613,88798,90448,91762,92372,92337,91646,89957,88621,88743,88774,88756,89856,91337,92394,93188,93779,94025,94661,95548,95142,93882,93549,94531,95854,97760,99567,99402,98648,98339,97762,96971
"New York","State","New York","All Homes",97918,99375,101382,99430,94808,92486,91032,89678,90063,91371,93191,95087,96025,96984,99974,104729,108892,112496,116988,119755,119020,118555,119653,119267,116966,114907,112323,109291,107669,105363,101842,99429,98375,96835,94128,92072,91710,91927,91392,89743,87208,84528,82730,82028,81719,81579,81715,81790,81790,81492,80740,80710,81423,82251,83063,83518,83443,82679,81509,80563,80115,79475,79330,80731,82903,84788,85354,84623,83496,82406,81062,79364,77973,77188,76999,76951,76273,75280,74225,73230,72781,72340,71910,72185,72267,70943,68131,65316,63659,62411,61429,61081,61322,61706,61701,61615,61757
"Florida","State","Florida","All Homes",232907,231915,237439,242313,242667,244422,246225,248119,252740,256192,258402,260706,260284,259717,259917,255815,248752,248771,253024,250165,243730,240518,236912,229290,222089,215115,202569,189888,184163,179642,174290,171260,167458,162289,157846,154314,153641,156246,157882,156094,152937,147971,142296,141162,143861,147240,150548,152515,152569,152979,156219,161039,164655,165960,164827,162784,161524,159945,157428,155534,154024,148746,141270,139883,142063,141967,142177,142718,141612,139360,137411,136051,134591,135286,139353,143727,145573,145614,145792,145789,144823,143147,141568,141472,142641,142927,142082,140825,139037,137342,135938,134009,131486,129991,129924,130476,131573
"Illinois","State","Illinois","All Homes",83289,84461,86403,86799,85218,84756,85324,84986,84367,83955,84719,86601,87701,88900,90538,90544,89524,89172,89393,89316,88925,88644,87998,86845,85525,83472,80825,78974,78112,76761,74327,70807,66497,63763,62764,62005,61842,61619,60644,59739,58252,55724,54298,54793,55696,56116,56311,56536,56443,55901,55387,55835,57552,59266,60174,60942,61794,61991,61470,61035,60875,60699,60805,61376,62078,62330,61914,61659,61875,61823,61056,59829,58679,57900,57546,57469,57576,58272,58879,58535,58082,57857,57689,57332,56565,55710,54692,53472,52471,51880,51703,52299,53269,53433,52751,52015,51485
"Pennsylvania","State","Pennsylvania","All Homes",66722,68500,71979,73524,72010,70795,70862,71641,72829,73737,75154,77031,78175,79292,80594,81060,81085,82412,84467,84340,82704,81737,81017,79915,78628,77245,75273,72914,71416,69866,67339,65886,65861,65781,65155,64710,65572,66756,67108,67179,67107,66370,65459,65243,65353,65372,65578,65851,65476,64289,64071,66082,67936,68227,68386,68615,68312,67725,67097,66438,65670,64631,62985,61741,62455,64131,65206,65256,64820,64288,63384,62357,61750,61680,61837,61575,60693,59876,59238,58563,57942,57459,57030,56705,56551,55893,54376,52856,51807,50889,50258,50115,50178,50206,50278,50420,50505
"Ohio","State","Ohio","All Homes",56694,58095,61578,65457,66540,66189,66526,67011,67287,67061,67417,68259,68330,70040,73107,73632,72339,71618,71085,69866,68692,68110,67174,65879,65102,64064,62032,59954,58672,57579,56173,54940,54172,54028,54026,53991,54770,55710,55589,55149,55056,54568,53555,52834,52556,52366,52386,52580,52195,50957,50027,50415,51216,51682,52200,52521,52404,52045,51482,51074,50880,50111,48834,48239,48929,50001,50357,50142,49918,49730,49206,48449,47800,46933,45740,44682,44085,43862,44146,44881,45016,44254,43333,42939,42895,42324,41074,39571,38145,37208,36869,36821,36853,36883,36967,37015,36963
"Michigan","State","Michigan","All Homes",84449,85485,86552,85443,82470,80787,80372,79143,78396,79018,79746,80308,80932,81302,81501,81204,79965,78775,77918,76450,74930,74257,73478,72212,71203,70277,69007,67893,67402,66539,64771,63109,61981,60963,60088,59570,59254,59113,59024,59014,58626,56768,54818,54539,54900,55209,55778,56129,55655,54738,54103,54320,55668,57653,59116,59604,59178,58195,57684,57482,56825,55774,54919,54670,54910,55406,56291,57331,57518,56577,55161,53809,52651,51849,51473,51129,50753,50727,50598,50056,49518,48862,47853,46864,46356,45803,44649,43554,42683,41583,40621,40067,39943,40058,39935,39644,39374
"Georgia","State","Georgia","All Homes",93714,93875,94603,95107,94499,94495,94614,93861,94160,95045,95672,96270,96632,98509,101162,101498,99798,98473,97975,96474,91366,87371,89240,89597,86987,84706,80920,76514,73450,70589,66442,62094,59246,57453,55737,54916,54919,54601,53892,53330,52837,51653,51364,53272,55665,56954,56664,56114,55990,55571,55210,55677,56736,57602,58130,58546,59285,59734,59194,58911,58817,58543,59489,61096,61806,62320,63263,63791,64032,63601,61778,59813,58157,56642,55782,55959,57195,58351,58499,58147,58022,57797,57003,56356,56036,55057,53279,51641,50587,49993,49791,49679,49601,49291,48521,48064,47942
"North Carolina","State","North Carolina","All Homes",90421,91265,92705,93698,93488,93476,92994,92461,93543,94458,94652,94997,95235,96158,98465,100102,100337,101057,102002,100817,97858,96240,95843,94717,93438,92606,90897,88440,86494,83737,79869,77646,77741,78056,77804,77434,77414,77673,77853,78090,77882,76735,75918,76055,76265,76469,76543,76158,75364,74140,73587,74482,75431,75831,76068,75748,74423,72582,71083,69965,68808,67712,65434,62334,61253,61496,62136,62773,62453,61426,60476,60117,59850,59178,58783,59116,59221,59243,59280,58769,58025,57091,55948,55289,54953,53797,52049,50301,48650,47928,47986,48084,48485,49045,49165,49016,48912
"New Jersey","State","New Jersey","All Homes",66959,67822,69730,69727,67536,66140,65892,66552,68041,68946,69558,69920,69514,69371,70221,72450,74172,74913,76344,76321,74421,73708,73927,73285,72236,71306,69615,67692,66905,65675,63499,62034,60828,59122,57569,56829,56877,56907,56242,55226,54377,53511,52673,52487,52757,53009,53319,53736,54048,53909,53934,54825,55793,56421,56994,57545,58107,58494,58467,58062,57429,57041,56769,56207,56789,58700,59729,59387,58877,58685,58203,57428,56922,56751,57170,57575,56946,56002,55317,54792,54444,53704,52658,52190,52399,52212,50839,49120,47684,46357,45390,44970,44910,44906,44988,45309,45646
"Virginia","State","Virginia","All Homes",54621,54546,54852,55114,54510,54387,54667,54888,55801,56229,56534,57244,57384,58098,58932,58249,57376,57244,57373,56947,55535,54457,54183,53641,52855,52130,50693,48588,46925,45476,43785,42536,41949,41819,41861,42058,42526,42678,42146,41535,41241,40821,40521,40763,41383,42291,43130,43572,43703,43809,44300,45386,46599,47533,48166,48474,48588,48433,47913,47303,46737,46061,45775,46710,48148,48867,49014,48975,48758,48206,47065,45806,44939,44398,44611,45176,45051,44718,44573,44228,43686,42843,41814,41367,41407,41243,40826,40187,39341,38742,38636,38699,38517,38553,39236,39577,39515
"Washington","State","Washington","All Homes",43825,44955,47679,48787,47519,46667,46439,46156,46105,46125,46243,46780,47523,48342,49102,48923,48135,48187,48696,48058,46701,46238,46317,45873,44792,42613,39241,36318,34890,34024,32994,32344,32091,31631,31030,30499,30700,31373,31217,30835,30861,30647,30513,30771,31024,31181,31417,31679,31616,31368,31570,32374,33092,33227,32979,32793,32659,32120,31234,30425,29689,28943,28409,28389,28506,27983,27078,26267,25469,24772,24266,23824,23391,23097,23204,23527,23669,23755,23885,23847,23503,22797,21967,21458,21029,20109,19024,18386,18126,17922,17710,17622,17852,18265,18319,18017,17797
