"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California","State","California","All Homes",132194,130348,135472,136736,133208,137436,140910,142714,146693,150366,151178,148573,141515,146466,159884,156508,154642,156577,162446,160640,155512,151206,149116,138376,127634,124481,114626,104942,102611,99474,94380,90817,87510,81065,76514,68034,62896,64706,65710,65518,67219,67896,68101,73630,74118,75374,73096,68428,62335,66856,70808,76157,80610,86974,90885,90480,90749,90929,88230,77369,71538,70784,71090,73639,78516,82397,85800,86750,86295,84032,80228,69638,59925,62994,66800,71354,74964,80041,87122,87851,84183,80904,75611,65416,59077,60032,59699,59956,63530,65132,65143,65520,65388,63498,59948,52100,49236
"Texas","State","Texas","All Homes",149209,152818,160475,166099,161838,161649,168758,169843,177324,166894,170094,165314,160888,165037,165751,174990,173372,181517,185737,165638,156280,152940,149783,140680,131604,133202,132935,128438,131010,131990,129860,126368,124508,119058,115548,107866,102942,106740,111756,112783,114884,114040,112855,113866,109638,105274,101311,95616,88715,92120,94042,97662,99473,102580,104983,105464,103289,99705,96410,89451,84582,86718,88506,88178,91825,92513,95649,98958,96811,95716,92026,86763,78836,80694,85061,87286,89020,94536,98764,100713,98608,96948,94108,88554,85391,88158,89513,91122,95492,100368,104192,109586,104486,101718,98655,92292,85934
"New York","State","New York","All Homes",87153,89494,98437,100371,93969,98896,97559,95351,95509,95040,93311,90769,85386,87558,94316,104405,110782,117496,123719,128442,123701,121682,120847,115054,106051,105721,108810,106126,110657,111066,108324,105296,104352,101287,94444,86376,81193,83286,86368,88590,88871,90082,88905,88875,87366,85690,82311,77036,71116,73284,74417,78699,83298,87660,90303,89956,90034,86707,82626,74928,70385,70567,72694,78885,84237,91174,92237,91476,89265,86940,82004,74301,67754,68414,70785,75308,77782,80886,81064,79389,78864,76998,72207,67386,62828,62572,62480,62108,65726,67648,68112,67336,67310,66388,62571,56527,52020
"Florida","State","Florida","All Homes",238138,231818,247872,244898,236322,240043,243492,240642,250358,255774,259043,267837,259989,266281,268055,259546,240976,241351,254450,245109,239026,237989,242864,231319,222820,224001,211142,185848,181733,176137,168490,167862,164307,159732,160904,156664,153343,163253,166352,156679,149907,146018,135555,136697,139730,145362,152652,156330,153081,159114,161915,162623,162736,163478,161619,158170,157810,158075,158532,157243,155580,158442,143848,139661,142934,137256,139187,139394,137943,136847,137847,138825,134355,141150,145463,145757,145049,142304,142654,142451,140932,140472,142021,142478,143781,150518,147573,142780,137581,134928,132542,131144,126898,126560,130932,131436,132475
"Illinois","State","Illinois","All Homes",74950,77764,84040,87634,85882,87963,91650,90290,88535,85718,83712,82724,79830,81528,89146,89720,91114,92425,95127,95165,92780,90984,88193,81983,77950,77288,77542,77832,79754,81199,79300,77846,69435,65768,63058,57019,53930,55612,57064,58642,60530,58868,58899,60802,60170,59042,56370,52196,48759,49204,51702,53600,59164,63252,65463,66666,66704,65328,61868,56350,53204,53815,56946,59636,63412,66394,66929,67397,66746,65342,61792,55320,50724,51007,53610,55586,58654,61547,64906,63998,63158,61227,58372,53240,48488,49080,50747,51482,53380,55540,56518,58042,58604,57348,53383,47628,43549
"Pennsylvania","State","Pennsylvania","All Homes",58766,60798,68462,73725,71546,74131,75411,76039,77702,77098,76120,74919,70455,72287,76911,79410,81440,84808,90679,89367,86747,85374,82714,77048,71227,70527,71410,70497,71751,74274,71309,70267,70700,69422,67080,61014,58351,60505,62469,64963,67792,70087,69681,70286,69924,69241,66977,63408,58487,57874,57850,63918,69085,71452,73088,73888,72972,71658,68856,63570,58819,58108,58538,57667,63132,67456,70516,70200,69477,68454,65160,59486,54612,55272,56738,59230,60752,63390,63882,63566,62602,61414,58940,53712,49944,49741,49341,49516,52452,54026,54915,54947,55070,54132,52135,47703,43740
"Ohio","State","Ohio","All Homes",48882,51049,56989,66424,67622,68700,71704,71390,72252,69525,67690,66204,60572,62011,71390,72518,73138,74253,76498,74368,73010,70883,68705,62115,58508,57708,58376,58273,59323,60934,60488,59945,58262,56981,55270,50633,47939,50102,51570,53274,55468,57803,57661,57767,57030,55569,53322,50056,46215,45036,45297,48231,51472,54112,56585,57685,56993,55489,52828,48121,45170,44509,44414,45508,48453,53064,54466,55308,54356,53420,50643,45768,42024,41495,41258,42204,43341,46565,47522,50574,49741,48004,44486,40312,37384,36958,36698,37005,37446,39406,40848,41854,41682,40378,38528,34590,31323
"Michigan","State","Michigan","All Homes",77608,78980,82235,82592,80395,82353,86876,85356,84184,82836,81328,77182,74909,74720,76379,77789,78376,80944,83680,83520,80687,78316,75213,69080,64935,63777,63796,63356,66072,69541,69916,70112,68390,65137,61196,57074,52581,52562,53198,54545,57609,59768,58947,62348,61424,59633,57038,54168,49020,48038,47524,49376,53604,60624,64799,67230,66790,62149,59364,55031,50546,48764,48374,49639,53051,58094,61280,65512,64907,61423,56622,51423,45978,44824,44876,46280,48580,53466,56178,57602,56982,53596,49713,44077,39923,39096,38016,38088,41176,43969,45932,47747,47204,45016,41701,37170,32944
"Georgia","State","Georgia","All Homes",88378,90628,93476,97603,95194,97500,98829,95064,95216,93634,95362,95703,90310,94683,101550,102986,101351,100732,102070,98909,95082,79526,93748,87662,81336,81953,80342,76516,75015,74247,69842,63912,60234,56512,55832,53015,50000,50882,52632,53486,54674,54812,53114,56636,56930,57504,56836,54531,50821,51816,53021,55585,58039,60810,61263,61452,60836,60674,59264,57298,54032,53851,57202,61486,62925,64913,66819,66793,65895,64947,62036,58251,53052,52218,53455,55004,58312,61699,61772,61065,60121,58894,57567,54519,51165,51157,50783,50852,51533,52708,53026,52803,51770,50657,48927,46370,42961
"North Carolina","State","North Carolina","All Homes",82151,86234,90029,95786,94548,98917,97210,94433,96596,96173,94176,91895,87570,89948,96777,101314,101871,105718,106340,105400,99228,97544,96208,91420,85573,87430,89618,87575,89378,88663,83415,79808,80978,79576,78026,73905,70068,72384,75676,77736,80499,80786,79258,79963,78870,78403,76798,73066,68469,68838,70450,74087,77486,79610,80186,79602,77784,74168,71400,66750,62240,61912,65008,58966,63964,64387,66273,66726,65695,63678,60219,57488,52944,54423,55342,58875,60344,62935,63253,62601,61092,59620,55954,52250,48647,48925,49188,49544,49518,51235,51938,51711,51612,51559,49603,46044,42496
