RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
9.0,California,1,23468.0,28502.0,31308.0,33033.0,36600.0,35246.0,36402.0,38801.0,29323.0,35957.0,29060.0,28965.0,35808.0,37160.0,37073.0,41831.0,42227.0,36895.0,37438.0,38354.0,32820.0,37865.0,26615.0,27213.0,36453.0,36222.0,38297.0,40150.0,33367.0,32737.0,32347.0,30324.0,29131.0,34505.0,26553.0,26204.0,36346.0,34373.0,34561.0,38335.0,33779.0,36774.0,33857.0,31241.0,30779.0,34616.0,27029.0,29002.0,36685.0,35846.0,40338.0,39724.0,37265.0,39947.0,32002.0,37239.0,34178.0,37291.0,28870.0,29391.0,37151.0,39306.0,42980.0,39853.0,42664.0,42126.0,35359.0,37436.0,31707.0,33387.0,26651.0,26509.0,32538.0,38210.0,38721.0,38732.0,39767.0,37586.0,35185.0,37371.0,29214.0,34041.0,25696.0,26334.0,36305.0,41043.0,41396.0,45979.0,45720.0,40922.0,39774.0,37918.0,30154.0,38231.0,27347.0,28313.0,38146.0,40316.0,42336.0,46783.0,41349.0,44144.0,40330.0,38478.0,37412.0,38048.0,29657.0,28516.0,41109.0,38807.0,45873.0,50275.0,41678.0,46031.0,39971.0,40056.0,36837.0,36074.0
54.0,Texas,2,23751.0,25841.0,26494.0,27716.0,28150.0,25176.0,21372.0,21800.0,15389.0,19109.0,14876.0,16391.0,21517.0,21139.0,21731.0,25696.0,26958.0,23542.0,22489.0,22151.0,21728.0,21498.0,14350.0,16487.0,23994.0,25387.0,26256.0,27666.0,20880.0,21025.0,18781.0,17729.0,17375.0,18804.0,15615.0,14898.0,21768.0,20711.0,22870.0,24029.0,21696.0,24688.0,20042.0,18452.0,17566.0,19346.0,15938.0,17493.0,21681.0,21062.0,26025.0,26111.0,26194.0,25672.0,20356.0,23096.0,18562.0,20951.0,18182.0,18965.0,24292.0,29699.0,30533.0,29543.0,32518.0,31910.0,26549.0,25807.0,21445.0,23904.0,19002.0,19328.0,26126.0,28773.0,31172.0,32523.0,32759.0,26906.0,30098.0,28785.0,22347.0,27416.0,19641.0,20112.0,29392.0,28717.0,31197.0,36686.0,35344.0,30657.0,31358.0,29395.0,22580.0,29309.0,21516.0,24485.0,31859.0,31303.0,33633.0,37432.0,33941.0,36630.0,32188.0,28482.0,27490.0,29892.0,22848.0,24112.0,33575.0,30906.0,37450.0,38712.0,35153.0,36453.0,32243.0,32496.0,29414.0,
43.0,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9437.0,8588.0,8277.0,9893.0,9757.0,9862.0,11691.0,11833.0,12439.0,10948.0,10086.0,9153.0,9608.0,9221.0,7743.0,8924.0,9062.0,10575.0,11990.0,11998.0,12395.0,11219.0,11003.0,9672.0,10095.0,10455.0,8681.0,9372.0,9827.0,11971.0,11955.0,13955.0,15951.0,14934.0,14495.0,12067.0,13296.0,11181.0,9027.0,10175.0,10579.0,12499.0,13449.0,15324.0,15573.0,14755.0,15334.0,12027.0,14192.0,11244.0,10521.0,11872.0,11788.0,12368.0,15779.0,18006.0,17710.0,17895.0,16529.0,14517.0,16093.0,12910.0,12502.0,14992.0,13711.0,14748.0,18022.0,18026.0,20229.0,18648.0,16866.0,16230.0,17063.0,14984.0,13741.0,15281.0,14180.0,16610.0,18140.0,17888.0,21900.0,17980.0,17581.0,,
14.0,Florida,4,17462.0,19516.0,19798.0,20438.0,20938.0,17637.0,17738.0,18058.0,13639.0,17995.0,16101.0,16080.0,21236.0,21709.0,22609.0,25638.0,25772.0,23002.0,23141.0,24588.0,21961.0,26214.0,20530.0,19155.0,28266.0,27523.0,26744.0,29935.0,25957.0,23577.0,23105.0,22653.0,20795.0,26355.0,23748.0,22977.0,30843.0,29871.0,28701.0,29360.0,26011.0,27572.0,24098.0,22378.0,22452.0,25551.0,21e3,21530.0,27825.0,29116.0,30472.0,28788.0,28170.0,28272.0,24463.0,29482.0,26450.0,30061.0,27614.0,26316.0,32331.0,37270.0,37732.0,36215.0,37514.0,36041.0,31754.0,34029.0,28777.0,34029.0,28514.0,28216.0,35345.0,39323.0,40042.0,39742.0,40789.0,37192.0,36024.0,38643.0,32295.0,40412.0,29485.0,31850.0,42881.0,44877.0,42813.0,48596.0,46067.0,40939.0,40384.0,38198.0,33127.0,39627.0,30208.0,32183.0,40918.0,41295.0,43117.0,46745.0,39807.0,41386.0,36027.0,35603.0,36153.0,40667.0,32098.0,32615.0,43925.0,41846.0,45948.0,48617.0,41978.0,44605.0,29928.0,38286.0,35429.0,
21.0,Illinois,5,11618.0,13010.0,13759.0,15142.0,16270.0,14879.0,13984.0,13366.0,9292.0,9860.0,8011.0,7489.0,10080.0,10986.0,11225.0,13909.0,15173.0,13835.0,13775.0,14846.0,13661.0,13605.0,9634.0,8646.0,12213.0,13525.0,14388.0,16780.0,13680.0,12353.0,10948.0,10226.0,9777.0,10529.0,9263.0,7509.0,10500.0,10034.0,11727.0,13979.0,12022.0,14270.0,11928.0,11178.0,10659.0,11185.0,9999.0,8852.0,11078.0,11498.0,13934.0,15416.0,13831.0,16555.0,12294.0,12901.0,11076.0,11295.0,12055.0,9475.0,11467.0,13982.0,14681.0,16017.0,19547.0,18547.0,15976.0,17811.0,14665.0,14371.0,13359.0,10760.0,12693.0,15716.0,16686.0,19250.0,19160.0,17548.0,19153.0,19543.0,13578.0,15830.0,11778.0,10744.0,14672.0,16386.0,17433.0,22553.0,22978.0,22457.0,20413.0,19046.0,14334.0,15818.0,12980.0,12728.0,15399.0,16663.0,20276.0,23666.0,21355.0,24109.0,19818.0,18135.0,16350.0,16989.0,14373.0,11663.0,17025.0,17023.0,21216.0,23816.0,20755.0,24340.0,18632.0,18499.0,17056.0,
47.0,Pennsylvania,6,10167.0,11189.0,12010.0,13490.0,13900.0,12668.0,11577.0,11344.0,8806.0,9258.0,6598.0,5938.0,8026.0,8898.0,9511.0,12215.0,13233.0,12360.0,11744.0,12017.0,11856.0,11574.0,6501.0,5965.0,9678.0,10673.0,11448.0,15057.0,11745.0,9738.0,9464.0,8983.0,8415.0,9509.0,7138.0,6517.0,8791.0,8466.0,9881.0,12091.0,10710.0,11904.0,9687.0,9351.0,8781.0,9429.0,7778.0,7072.0,8630.0,9232.0,11320.0,11837.0,12507.0,12132.0,8967.0,11172.0,10452.0,10484.0,8814.0,7577.0,8958.0,11276.0,12836.0,13260.0,15228.0,14411.0,12524.0,12900.0,10792.0,11492.0,8961.0,7372.0,9459.0,10895.0,12448.0,14754.0,14848.0,14274.0,12858.0,13850.0,11253.0,13278.0,9401.0,8752.0,11783.0,12451.0,13676.0,16862.0,18902.0,16094.0,15654.0,15855.0,12458.0,14783.0,10580.0,10254.0,12583.0,13805.0,16345.0,18834.0,17548.0,18623.0,15828.0,15100.0,14652.0,15512.0,12049.0,10342.0,14098.0,13868.0,17117.0,19193.0,17610.0,19079.0,15773.0,15050.0,13519.0,
44.0,Ohio,7,11018.0,12233.0,13055.0,14199.0,14032.0,12811.0,12325.0,12493.0,9162.0,9943.0,7325.0,7651.0,9797.0,10293.0,10336.0,12658.0,13066.0,12231.0,12060.0,12719.0,11463.0,11021.0,7746.0,7438.0,11004.0,12081.0,13246.0,14599.0,10418.0,10253.0,10476.0,9457.0,8738.0,9551.0,7936.0,7337.0,10529.0,10150.0,11088.0,12166.0,11097.0,12058.0,11003.0,10198.0,9357.0,9632.0,8364.0,8386.0,10545.0,10464.0,11859.0,12505.0,11637.0,11977.0,9967.0,11479.0,10057.0,10115.0,9650.0,8999.0,11386.0,12588.0,14559.0,15443.0,16052.0,15800.0,13313.0,13948.0,11765.0,11047.0,9086.0,8408.0,10144.0,11572.0,13645.0,14973.0,14942.0,13168.0,13627.0,14070.0,11088.0,12683.0,9560.0,9646.0,13008.0,14192.0,15172.0,18208.0,17722.0,16467.0,15473.0,14685.0,11156.0,12080.0,10678.0,10426.0,12753.0,14234.0,16393.0,19627.0,17413.0,18636.0,16939.0,15367.0,13971.0,13548.0,11387.0,10974.0,15872.0,15719.0,18831.0,20896.0,19349.0,21760.0,19433.0,19153.0,,
30.0,Michigan,8,9394.0,10679.0,11515.0,11788.0,12404.0,12102.0,12175.0,13112.0,10214.0,9537.0,9504.0,8288.0,10634.0,11357.0,11734.0,12346.0,13991.0,13115.0,13021.0,12807.0,13376.0,12038.0,10557.0,9445.0,11882.0,12630.0,12603.0,14199.0,11454.0,11329.0,11909.0,11698.0,12724.0,10362.0,10339.0,8840.0,11506.0,10785.0,11237.0,12306.0,11659.0,14669.0,12719.0,11880.0,16310.0,10570.0,10773.0,10725.0,11833.0,11269.0,13463.0,13746.0,13377.0,15101.0,13615.0,16752.0,22564.0,12166.0,13414.0,11309.0,11905.0,12989.0,14689.0,15388.0,16162.0,16929.0,16899.0,18107.0,21535.0,13065.0,12342.0,10167.0,10754.0,12451.0,13619.0,15226.0,16557.0,16006.0,16308.0,17685.0,19722.0,14634.0,11891.0,9887.0,12307.0,13853.0,13685.0,18373.0,16775.0,17676.0,17172.0,18382.0,19362.0,13747.0,13289.0,11706.0,13723.0,14319.0,16595.0,19373.0,18240.0,20378.0,19750.0,15709.0,14594.0,14668.0,14171.0,11644.0,15427.0,14125.0,18962.0,21674.0,19281.0,22917.0,19958.0,20121.0,,
16.0,Georgia,9,12638.0,13645.0,13694.0,13523.0,14226.0,13100.0,12743.0,13068.0,9717.0,10720.0,7994.0,7658.0,10697.0,9863.0,9897.0,11819.0,12286.0,11782.0,10637.0,11085.0,10491.0,11399.0,7482.0,8507.0,11548.0,11604.0,11281.0,12046.0,9821.0,9619.0,10937.0,11318.0,10182.0,10406.0,9208.0,9167.0,11786.0,10565.0,12645.0,13360.0,12921.0,16201.0,17216.0,16219.0,15902.0,15289.0,15684.0,16115.0,18828.0,19848.0,21795.0,23660.0,22148.0,23094.0,19922.0,20717.0,19559.0,18029.0,19456.0,18037.0,20588.0,21995.0,23438.0,23370.0,23869.0,24220.0,20414.0,20549.0,18023.0,16848.0,17069.0,16027.0,19719.0,19664.0,21400.0,21800.0,22604.0,21655.0,20213.0,20653.0,17163.0,17482.0,16645.0,15654.0,19753.0,20959.0,15386.0,17327.0,17157.0,16118.0,20148.0,17375.0,11531.0,17988.0,15970.0,17172.0,21044.0,21814.0,23592.0,26553.0,20462.0,21350.0,19310.0,17587.0,16497.0,17788.0,12031.0,12550.0,18121.0,16425.0,20004.0,20528.0,17429.0,19144.0,16114.0,16186.0,14931.0,
36.0,North Carolina,10,9458.0,10309.0,11141.0,11186.0,10951.0,9901.0,8567.0,8240.0,5895.0,6870.0,5248.0,5926.0,7351.0,7521.0,8124.0,9427.0,9843.0,8597.0,8678.0,8891.0,8213.0,8039.0,5437.0,5871.0,8638.0,9635.0,9859.0,10816.0,7903.0,7557.0,7324.0,6770.0,6192.0,7797.0,5518.0,5625.0,7962.0,7727.0,8073.0,8989.0,7627.0,8389.0,7307.0,6419.0,6234.0,6936.0,5599.0,6372.0,7904.0,7874.0,9271.0,9332.0,8174.0,8414.0,7190.0,7691.0,7467.0,8554.0,7080.0,7180.0,9123.0,10495.0,11920.0,11582.0,11674.0,11616.0,9648.0,9844.0,8685.0,9375.0,7542.0,7411.0,9411.0,10371.0,11885.0,12225.0,12427.0,11060.0,9654.0,11052.0,8670.0,10788.0,8052.0,8015.0,11203.0,8610.0,8581.0,13465.0,14431.0,12156.0,10984.0,10152.0,7205.0,8708.0,7470.0,8365.0,11270.0,12938.0,14708.0,16903.0,14236.0,15349.0,14020.0,12997.0,13249.0,13499.0,10835.0,10893.0,15846.0,14735.0,17260.0,19375.0,16055.0,18280.0,16843.0,16610.0,15614.0,
