RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
9.0,California,1,387800.0,370500.0,347900.0,332800.0,318200.0,305200.0,291300.0,278500.0,264500.0,253100.0,240500.0,234300.0,226500.0,220600.0,216400.0,221300.0,231500.0,238900.0,244900.0,248900.0,255400.0,259400.0,261e3,261400.0,261300.0,260300.0,264e3,263800.0,267200.0,262400.0,265500.0,262100.0,261400.0,257e3,254400.0,253800.0,251300.0,250600.0,246800.0,245800.0,244700.0,245e3,245900.0,244600.0,245e3,242600.0,245e3,246300.0,249900.0,255100.0,260200.0,266200.0,272600.0,278700.0,287500.0,293300.0,300800.0,305900.0,308100.0,309600.0,314900.0,325e3,336700.0,346600.0,354500.0,358100.0,358900.0,360400.0,363600.0,366100.0,367700.0,369900.0,373100.0,375700.0,378100.0,377900.0,380400.0,382400.0,385600.0,386e3,386e3,383800.0,386300.0,390900.0,396800.0,400200.0,4e5,402800.0,403e3,405100.0,405700.0,406200.0,409800.0,411600.0,417100.0,416300.0,417100.0,416600.0,419500.0,422400.0,423400.0,424200.0,425500.0,429600.0,431700.0,431700.0,434600.0,439600.0,446200.0,446500.0,448700.0,452400.0,457600.0,457800.0,459e3,458200.0,463200.0,461500.0
54.0,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170800.0,172400.0,174400.0,177200.0,177900.0,178400.0,179200.0,183e3,183900.0,186100.0,183600.0,184600.0,184300.0,185300.0,185600.0,185400.0,185500.0,186300.0,187600.0,191600.0,192800.0,194100.0,192e3,193100.0,192400.0,193700.0,195300.0,199e3,201700.0,203200.0,204100.0,207400.0,208500.0,208600.0,205200.0,203900.0,202100.0,207100.0,212900.0,218200.0,217100.0,214100.0,
43.0,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228800.0,231100.0,242200.0,248500.0,255400.0,246600.0,241300.0,243600.0,238400.0,234700.0,220500.0,214900.0,208500.0,209500.0,209800.0,215300.0,219800.0,226800.0,235900.0,238900.0,239800.0,239100.0,236e3,239700.0,243400.0,245200.0,242e3,238e3,235400.0,241200.0,242200.0,255600.0,256100.0,261600.0,257600.0,257e3,256100.0,254e3,256900.0,254700.0,254400.0,255300.0,253700.0,251600.0,246300.0,244600.0,246e3,246900.0,249800.0,247e3,250500.0,248400.0,250400.0,245700.0,248400.0,246100.0,248900.0,249300.0,251700.0,255100.0,255e3,249600.0,246500.0,254100.0,265300.0,265600.0,264900.0,268600.0,273200.0,271900.0,264800.0,264800.0,265800.0,265800.0,269800.0,269200.0,281300.0,285700.0,282400.0,274e3,268700.0,286200.0,292200.0,,
14.0,Florida,4,206300.0,197900.0,191300.0,186300.0,183100.0,179600.0,174800.0,168900.0,162400.0,155500.0,149500.0,144700.0,139300.0,133800.0,128200.0,125100.0,125700.0,126800.0,128900.0,128400.0,129300.0,129900.0,129800.0,129200.0,127900.0,127100.0,125400.0,124e3,120600.0,117700.0,114800.0,114800.0,115300.0,116100.0,114700.0,112400.0,109900.0,110500.0,112700.0,114100.0,115600.0,115900.0,116500.0,115800.0,115400.0,117200.0,120300.0,122900.0,123400.0,123900.0,124700.0,126500.0,126200.0,126900.0,127500.0,129100.0,13e4,132900.0,135700.0,138500.0,139e3,140900.0,142600.0,145e3,146100.0,148200.0,149100.0,149600.0,149700.0,150300.0,151200.0,151e3,151600.0,151900.0,152400.0,152700.0,154400.0,155800.0,157500.0,158200.0,159500.0,160300.0,161700.0,163800.0,166200.0,167800.0,170100.0,170900.0,171700.0,171400.0,172600.0,173800.0,174100.0,175700.0,179500.0,183700.0,185100.0,184300.0,184400.0,186100.0,187600.0,189700.0,190700.0,194100.0,196900.0,200300.0,203600.0,206400.0,207e3,206100.0,203300.0,203300.0,203200.0,205300.0,205300.0,205800.0,204500.0,
21.0,Illinois,5,207400.0,204400.0,191100.0,182300.0,178500.0,177900.0,175500.0,173900.0,172500.0,172700.0,167e3,164300.0,160500.0,157200.0,152100.0,147400.0,149200.0,153400.0,154600.0,156200.0,156200.0,161800.0,164700.0,166300.0,163900.0,16e4,155900.0,154700.0,154900.0,152900.0,146e3,144200.0,146200.0,150700.0,149800.0,146300.0,143500.0,139e3,135800.0,135300.0,137900.0,140100.0,138e3,135800.0,133e3,134100.0,132600.0,130600.0,131300.0,130900.0,132900.0,132900.0,134500.0,136700.0,133800.0,133300.0,133800.0,136200.0,137500.0,136500.0,137600.0,137400.0,139900.0,143100.0,150500.0,154600.0,156400.0,158500.0,160500.0,163800.0,163200.0,165400.0,165200.0,165600.0,164900.0,167e3,166700.0,165900.0,167e3,169200.0,171500.0,171400.0,171800.0,173400.0,175200.0,177e3,177e3,175800.0,177400.0,178300.0,178800.0,177e3,175700.0,175700.0,175e3,176100.0,178700.0,181e3,181800.0,181100.0,181200.0,181400.0,177700.0,177700.0,178400.0,184e3,186100.0,188300.0,192600.0,194400.0,194200.0,190200.0,187e3,185500.0,180400.0,181300.0,182900.0,
47.0,Pennsylvania,6,146800.0,145100.0,143700.0,140200.0,141400.0,142e3,143300.0,140700.0,139500.0,137200.0,136600.0,136100.0,138800.0,138200.0,137400.0,135500.0,136800.0,138600.0,141200.0,141100.0,142700.0,143400.0,143500.0,143200.0,144100.0,144500.0,144100.0,140100.0,139100.0,135900.0,135200.0,134500.0,136700.0,138e3,140300.0,140700.0,139800.0,135900.0,133300.0,132500.0,134e3,134100.0,132200.0,130200.0,130400.0,133900.0,137500.0,139900.0,140200.0,139400.0,139500.0,139800.0,141300.0,140200.0,138400.0,137300.0,139400.0,142e3,143200.0,143e3,142900.0,142600.0,143e3,143300.0,145800.0,146e3,145800.0,144100.0,143400.0,143700.0,143200.0,144100.0,144400.0,142800.0,142100.0,140600.0,142e3,143200.0,145e3,145300.0,145e3,145400.0,146200.0,146400.0,147300.0,147400.0,147400.0,146900.0,148600.0,148700.0,149400.0,147900.0,148300.0,147400.0,148800.0,149800.0,149800.0,149900.0,15e4,151700.0,152e3,152100.0,151300.0,152e3,153200.0,154e3,154e3,154900.0,156500.0,158200.0,158600.0,160200.0,161900.0,162700.0,162100.0,160500.0,159100.0,
44.0,Ohio,7,110300.0,107800.0,106800.0,105100.0,104200.0,103700.0,102100.0,99600.0,93e3,88500.0,85800.0,85100.0,84600.0,85800.0,88700.0,92600.0,95800.0,98600.0,101500.0,103900.0,105500.0,105400.0,103e3,102100.0,101500.0,101700.0,103e3,102900.0,99100.0,94600.0,90400.0,90700.0,91100.0,96e3,96900.0,93200.0,86200.0,83800.0,86200.0,89500.0,92300.0,93100.0,91700.0,90500.0,89600.0,92200.0,91800.0,90600.0,88900.0,90600.0,95400.0,97500.0,100400.0,100200.0,100200.0,99300.0,99200.0,101800.0,103500.0,102800.0,101200.0,99200.0,102400.0,104800.0,108400.0,109400.0,108700.0,107100.0,107800.0,108700.0,110700.0,109600.0,110800.0,111600.0,113100.0,114200.0,114900.0,115600.0,116100.0,116600.0,116600.0,118600.0,117100.0,118700.0,117900.0,118800.0,118400.0,117400.0,118e3,118e3,118600.0,118600.0,114400.0,114500.0,115900.0,121600.0,122100.0,122800.0,122200.0,122500.0,121500.0,122e3,122500.0,125100.0,125400.0,126e3,129200.0,131400.0,134300.0,132500.0,131400.0,128900.0,126300.0,126400.0,126800.0,127700.0,,
16.0,Georgia,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110500.0,109200.0,105700.0,100200.0,94700.0,94900.0,95800.0,97300.0,96300.0,97200.0,97900.0,98400.0,98500.0,99800.0,102500.0,104500.0,105600.0,107400.0,111e3,114700.0,117300.0,118600.0,120900.0,122100.0,124300.0,126200.0,131e3,133400.0,134100.0,132300.0,131500.0,132200.0,132500.0,132300.0,131300.0,131400.0,134e3,136600.0,139600.0,139800.0,140800.0,141500.0,143400.0,145100.0,146800.0,149100.0,151200.0,153e3,153200.0,152900.0,153100.0,155300.0,156700.0,156600.0,157100.0,158900.0,162e3,163300.0,162700.0,162800.0,161700.0,162200.0,160900.0,160100.0,160200.0,162200.0,163300.0,165200.0,166600.0,171400.0,172900.0,173300.0,171300.0,170600.0,17e4,170500.0,172600.0,175400.0,
36.0,North Carolina,9,155e3,154100.0,149700.0,147500.0,147800.0,147900.0,147400.0,147900.0,145400.0,144300.0,143900.0,150700.0,153900.0,152400.0,148e3,146e3,147800.0,148600.0,149800.0,150700.0,150900.0,149100.0,151e3,152900.0,154500.0,151e3,148100.0,147500.0,148400.0,148800.0,149800.0,149700.0,150200.0,150800.0,151900.0,152400.0,150500.0,148500.0,147100.0,148600.0,148300.0,150300.0,148500.0,148600.0,146500.0,147400.0,148500.0,150700.0,152900.0,152700.0,150500.0,149800.0,150500.0,151200.0,150400.0,149300.0,150600.0,152500.0,154e3,154900.0,154400.0,155700.0,155300.0,155700.0,155600.0,156e3,156600.0,156900.0,156300.0,156500.0,156500.0,157400.0,157100.0,156600.0,157500.0,157e3,157500.0,155800.0,156e3,156e3,157700.0,158200.0,160200.0,163500.0,165800.0,163900.0,160900.0,161200.0,164900.0,166500.0,166300.0,164500.0,162e3,159200.0,160700.0,162800.0,165400.0,167e3,168800.0,171600.0,171e3,172400.0,173200.0,176700.0,178200.0,178900.0,178300.0,179400.0,182100.0,183400.0,182500.0,182100.0,181600.0,181800.0,181500.0,182200.0,183700.0,
40.0,New Jersey,10,326400.0,328600.0,324300.0,311500.0,305600.0,301500.0,298800.0,295700.0,296300.0,296500.0,292900.0,288400.0,289900.0,288500.0,285800.0,276400.0,272300.0,269900.0,266500.0,267100.0,267e3,269700.0,270900.0,272600.0,278900.0,279500.0,278100.0,273100.0,272300.0,272100.0,268e3,266300.0,267e3,273100.0,273900.0,273e3,272200.0,273600.0,273700.0,271500.0,271e3,268e3,264600.0,260400.0,257800.0,258200.0,256200.0,257100.0,258700.0,263700.0,265900.0,267400.0,265700.0,264700.0,259100.0,258800.0,259200.0,261200.0,261900.0,261400.0,261700.0,261400.0,262400.0,264100.0,266800.0,271600.0,273300.0,275300.0,273600.0,276600.0,277400.0,275500.0,278400.0,278200.0,282100.0,277700.0,279400.0,278500.0,274600.0,270200.0,269900.0,273500.0,274300.0,274700.0,275600.0,277200.0,277e3,276300.0,275700.0,274e3,272500.0,273e3,276e3,274700.0,272700.0,271400.0,273400.0,268900.0,261700.0,257800.0,262200.0,269400.0,275200.0,275900.0,274800.0,278700.0,275300.0,272900.0,265e3,267300.0,268300.0,264900.0,260600.0,257500.0,257100.0,253900.0,,
