"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289000,285000,279900,284900,297000,304900,309900,315000,318000,315000,309900,305000,299700,289000,295000,299900,310000,315000,325000,325000,325945,330000,335000,334900,329000,325000,325000,329000,339000,349000,349900,350000,359000,359000,360000,359900,355000,349000,349000,354900,368888,375000,379990,380000,384888,385000,388000,389000,385000,375000,376000
"Texas",2,105000,106900,109900,109900,109000,108000,109000,105900,118900,114900,112000,109000,105000,109500,109000,109000,110000,111900,109900,106900,99900,89500,103900,1e+05,99900,105000,105000,105000,105000,105000,105000,105000,99900,1e+05,110000,113000,114500,117000,119500,119900,120000,121995,123825,120000,122900,125000,120000,119900,117000,119900,124900,125900,130000,129900,129500,130000,132000,129900,129500,130000,134900,139900,142000,149500,149900,150000,155000,156000,159900,159900,159000,159900,159900,160000,169000,169900,175000,175000,175000,175000,178000,179021,178000,178000,175000,179500,185000,190000,194734,195000,194200,189900,185000,189000,190000,192700,191900
"New York",3,249000,244990,250000,249000,249900,249000,244900,235000,239000,239000,235000,230000,229900,219900,235000,229000,225000,224000,224000,220000,219000,214900,215000,214900,213159,215000,219000,221950,220000,219000,211000,209900,212000,212000,225000,225000,227950,229000,229000,225000,219900,209000,199900,199900,199900,199000,212500,214900,219000,220000,220000,218000,219000,228000,215000,219000,219900,219990,219000,219000,225000,220500,219990,218000,217950,218000,215000,210000,210000,215000,218000,219500,235000,235000,224900,239000,225000,225000,215500,215000,217000,219000,224900,225000,229900,235000,239000,238000,232000,229000,226500,220000,222000,225000,225000,225000,235000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,129900,129900,130000,130000,134900,134900,129999,134900,135000,138000,139000,139900,139900,140000,145000,142500,140000,145289.5,145450,148495,151998,156820,159000,165000,168500,169000,169900,170000,174900,174900,174900,174900,174900,179000,179900,179900,183000,188000,189000,189900,192500,196500,195099.5,197800,198898,199500,199999,203900,203900,2e+05
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e+05,1e+05,102500,105000,109900,112900,114945,114900,114900,115000,114900,109900,109900,107500,114900,119900,125000,129000,129900,129900,128900,126000,124900,120000,119000,119900,122900,129900,134900,139900,139900,139900,137500,136000,133000,129900,129900,129000,130000,135900,139900,144000,142900,140000,139900,139900,138500,134900,130000,129900,135000,142000,145000,149900,153000,150000,149900,149900,149900,149500,142900,144900
"Pennsylvania",6,129900,130000,137794,137900,137800,136900,137900,134900,137500,135000,132900,129900,129900,129900,129900,129000,129000,128900,129500,125000,123999.5,120000,124900,120000,121500,122000,122900,122500,123900,121500,124900,119900,119900,119900,124900,124900,124900,124942.5,125000,129000,129800,129900,127000,125000,125000,124900,124900,124900,124900,124900,128500,129900,129900,129900,129000,125000,124900,124900,124000,120000,120000,124793.5,127500,129200,129500,129900,128500,125000,125000,124900,124900,120000,119900,120000,125000,127900,129000,127900,125000,124900,124900,124900,124900,120000,122900,125000,129900,130000,135000,135000,135000,135000,134900,136000,136900,132000,133000
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,79500,79900,79900,80000,84500,84500,83900,80000,80000,81900,79900,79900,79900,79900,82500,84900,85000,86400,85000,84900,84000,82000,79900,79500,79900,79900,80600,84500,84900,84900,84900,84900,84900,82900,80000,79900,79900,79900,84500,85900,89000,87900,87900,85000,85450,86000,85000,83000,83000,84900,89000,89900,92900,93800,92750,93900,92900,92000,92000,89900,89999
"Michigan",8,84900,83900,83000,84900,79900,79900,79000,79000,84900,82900,79900,75000,73900,73900,70000,74400,75000,76900,75000,75000,74900,70000,70000,69900,65500,65000,69000,69900,70000,70000,72500,70000,70000,72500,84900,84500,84900,83000,85000,89900,93500,98000,98000,98500,99900,99000,94500,94900,92500,95000,98000,99900,109000,109000,107000,108950,109900,103000,99000,94949.5,99000,1e+05,109000,114500,115000,115000,116900,115000,114250,112000,112430,110000,110000,110000,115000,119000,119900,120000,119900,120000,120000,122500,124000,120000,121914.5,124900,125000,130000,130000,134900,130000,131300,131670,134900,135000,135000,137000
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,109900,113900,113950,115000,118410,119500,119999,119900,120000,119900,119900,112510,110000,115825,115775,120000,120000,123500,119900,122000,121900,120000,117900,115900,118000,119900,124900,125000,127500,127900,125000,125900,125000,125000,124900,124500,120000,125000,129900,130354,135000,135000,138000,136000,137500,139777,139000,135000,139000,141700,148900,150000,155000,155000,159900,160000,164900,164250,164500,162500,164900
"North Carolina",10,124900,124900,124900,125000,123900,123900,122000,119000,119900,119900,117700,114900,110000,110000,111500,112000,114900,115000,118000,117900,115000,110000,115000,115000,118000,115000,116900,115000,112500,112000,113900,114900,110000,112500,119900,119900,119000,119900,119900,121500,122900,124900,124583,122300,124995,125000,120000,120000,118900,119000,119900,121000,124900,124900,124900,124900,124500,124500,121500,119500,119900,120000,124000,125000,129900,129900,130000,129900,129900,130000,134900,135000,137500,135000,139000,139900,142500,144900,144900,144900,145000,147000,146950,145900,145000,145000,148500,149900,150000,152000,153900,154999.5,159900,161400,161500,162500,164900
