"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729694,725000,699000,699999,729000,750000,775000,775000,760417.5,749000,749900,729000,699000,649900,689000,729000,750000,774500,799000,799000,795298.5,795000,786888,775000,775000,769972.5,775000,8e+05,834500,849000,850000,859000,850000,839000,835000,830000,833000,819900,845000,859974.5,895000,9e+05,899900,898000,898000,889999,890000,895000,890000,899000,899000
"Texas",2,369000,369000,368900,369253.5,369000,369900,369000,369000,361995,356901.5,350000,345000,335000,338500,338500,349900,349990,342000,340000,333950,345000,339000,334950,329990,334900,335949,345000,349990,352950,360000,356182,350000,353480,353102,375000,380990,379000,389900,399000,4e+05,413106.5,411290,417500,411990,415757,416305,416995,424900,421564,429990,435769,449500,445990,447990,449900,453900,456379.5,457350,450000,457200,462990,469900,475000,479900,475000,475000,474994.5,469900,459990,469000,464990,453000,464990,469950,479900,485000,489900,480000,479000,477000,475000,465126,470900,460000,460825,469000,481990,489990,498250,499000,491377,484000,486761,483700,475000,474945,474900
"New York",3,515000,519000,529000,509000,499999,499000,495000,480000,499000,481000,469250,459000,449000,437000,450000,429000,428876,429990,449000,449000,445000,449000,449900,449000,450000,460000,469000,479000,479000,469000,460000,465000,469000,475000,515000,525000,525000,538999.5,529000,529000,529000,519000,519000,519000,519000,529000,538999,548999.5,549000,549900,549000,559000,566000,569900,559000,549995,550000,559000,549000,549000,549000,549000,550000,569000,579000,569000,565000,575000,569900,579000,575000,575000,599999,629000,630000,639000,630000,649000,599000,599000,599999,625000,6e+05,629000,650000,659000,639999,6e+05,569000,549000,510000,489000,490000,489900,495000,492250,499000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454950,475000,475000,485000,495000,475000,479000,480900,454990,459000,449900,469000,467845,460000,472511,469770,475000,459000,453000,459000,449900,449900,445000,439900,453945,454990,469900,464900,462990,465000,469900,473475,479489,472220,481048,493995,499000,495000,525000,529932.5,534900,529000,525000,516995,509990,524900,527000,525000,525000,545000,550000,550000,557000,550000,550000,548000,542005.5,544900,549000,537777,545000,550000
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,289900,275000,294000,309000,324000,349900,355000,349000,339900,344000,339900,329900,314900,297250,310000,343000,349900,359900,359900,359900,359000,359900,359900,349900,330000,325000,349900,372450,387250,393749.5,395000,384873,370000,360000,350000,348994.5,330000,324990,349900,369000,379000,389500,398000,390000,379000,379000,376000,369900,350000,358450
"Pennsylvania",6,299900,299900,299900,299900,299000,295000,294000,284900,285000,279900,269900,254900,249000,249900,240000,249692,252950,249900,259000,249000,244700,249900,249900,241450,249000,249900,252610,259900,264900,257995,250000,249900,249000,248000,264900,259878,250000,264900,284900,285000,299900,310000,294900,279844,284000,279900,275900,275000,250000,260000,284900,299999,324900,319000,299900,294900,295000,289500,275000,274999,260000,265000,285000,299900,330000,328950,305000,299900,299900,293000,299000,285000,279900,289000,299900,322500,329000,335000,325000,312000,319000,315000,299900,299000,289900,299900,325000,339900,350000,358000,349900,336775,335000,339900,331897.5,329000,328535
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209900,208500,199900,207950,2e+05,222000,234900,234900,230000,225000,224500,220000,212000,199900,214950,220500,225000,229900,239900,249900,250000,249000,239900,230000,234600,226000,220000,229700,249000,257200,267700,269000,268500,254000,250000,249000,233200,229900,224900,234900,260995,279900,298900,294900,289900,287900,281490,277990,265000,249900,249900
"Michigan",8,299900,299000,295000,295900,289900,279900,277223.5,269900,295000,286731,279900,259900,249900,246500,249000,246500,249900,256400,250000,249900,249625,243937.5,245000,239900,234950,235000,239900,250000,256900,264500,269900,265000,259900,269900,289900,289900,289900,290000,297000,299900,318000,324000,309900,315000,328500,325000,315000,325000,319900,320000,329900,339000,350000,350000,353950,350000,349000,339689.5,339900,334950,334950,344450,359900,377000,399000,389900,395000,394950,398000,398000,397500,398950,399000,399000,399900,416200,424900,424900,424450,412000,399934.5,408950,415000,399999,399500,412500,429850,439000,446750,440000,429900,424900,438362.5,449000,439900,445000,447000
"Georgia",9,375000,376900,379900,379900,378800,369900,374625,374900,350000,345000,324900,3e+05,300990,299900,299900,299900,3e+05,299500,299000,285000,290000,292300,279000,270000,274900,279000,285000,290000,299625,299900,297000,294990,294900,294900,339900,339000,339994.5,349800,350000,364900,370900,375000,378000,369900,368500,359900,359900,359800,354900,364900,365000,379900,379900,372891.5,372559,375000,375000,374900,364813.5,369223,368990,375900,378900,377000,389000,390900,375000,373491,368500,374399,374900,364900,360000,379900,379999.5,390177,395700,389900,390000,395000,389000,389000,389000,384162.5,382801,389000,395943,399900,402230.5,405945,410815,404974,403990,402415,394802,396900,398900
"North Carolina",10,450000,450000,450000,449700,449000,449000,449000,444900,444900,429900,425497.5,404075,398000,395000,394900,389900,395000,390000,394900,389027.5,394750,380000,369900,370000,379770,385500,385000,393900,371087.5,374900,379779,379900,379945,389000,412590,412815,407187.5,412900,420485,434900,424000,450000,422700,419900,419900,417990,414900,389900,4e+05,414900,416200,425000,435000,438900,429015,425000,429900,435000,429900,434999,429000,437500,440700,452900,452900,457250,450000,453537.5,453076,459000,454862,459000,479000,499000,484645,495000,489900,475000,472962,474000,474000,482450,479900,472999,475000,479900,484794,489900,489900,480645,485000,488000,489900,494900,490000,493970,487495
