"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,398700,385000,394500,399900,419900,424900,428984.5,429000,425000,419900,415000,399900,381025.5,399000,410000,424900,429900,445000,449000,445000,449000,449900,449900,449000,444900,439989,449900,459999,475000,479900,485000,485000,479900,479900,479888,475000,465000,468000,475000,494000,499900,499999,499900,499950,499900,499950,499990,499000,495000,492000
"Texas",2,160000,161000,162185,163900,162950,164000,160000,160400,169990,169135.5,165000,161000,159900,159900,162900,164900,167300,168000,166100,165000,159900,159000,155000,153400,154900,155000,156900,159450,159900,160000,159900,159775.5,158000,159850,172900,174900,174108,179000,182497.5,185000,189000,189900,189900,189900,189950,193500,189900,190000,189900,195000,199900,208900,214550,210000,211545,218000,215000,215000,215000,220990,225000,230000,238990,242000,242000,243765.5,245000,246990,248189,249540,249900,253000,250000,244900,249900,250000,255000,256000,256400,255000,253995,257990,250000,249999,249900,255000,263990,269900,272000,274780.5,270000,269900,269000,269000,269000,269000,268500
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e+05,3e+05,319000,319900,315000,312971,299900,299000,290000,290000,299000,299900,299990,309000,320000,320000,325000,325000,329000,320000,319000,319000,319990,319999,319000,325000,329900,330000,329500,329000,334900,328000,319000,315000,319000,319000,319000,330000,339000,329999,347900,339000,339900,325000,319999,320000,320000,329000,328700,339000,349000,349900,349992.5,349000,345000,339900,329900,338900,339900,340000,345000,349990
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199999,199990,199900,204900,207990,210000,209405,205000,214800,215000,215990,215000,216990,215000,219900,225000,225000,224999,227990,229000,229900,238900,239900,242000,249000,249900,249500,249938,252000,259000,258372.5,259000,259000,255000,259900,260000,260990,264900,269900,273900,275000,279000,279900,279900.5,279999,279900,283900,279900,284900,285000,285000
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,155000,164900,172500,179900,187900,189900,189700,185900,184900,180000,178000,169900,169900,175000,187500,190000,199900,199900,199500,195000,190000,189900,186900,179900,179900,189000,199500,207110,209900,209900,205000,199900,199500,197500,189900,185000,185000,197900,209500,215900,219900,224900,219900,215000,214900,210900,209900,199900,2e+05
"Pennsylvania",6,169900,169900,174900,174500,170000,169900,169900,169900,169999,169200,165000,164000,160000,164900,165000,167400,169900,169900,169900,169900,165000,164500,159900,158000,159000,159000,159900,159900,159900,159900,156900,150000,149900,149900,165000,162500,163700,168000,169900,173000,179900,179900,175000,170000,172900,169900,169900,174900,169000,169900,173500,179900,180667,181220,179900,175000,175000,177500,174000,169900,169900,170000,177900,179900,185000,184900,179900,178500,179900,175000,174900,169900,169000,167900,174900,179000,179900,184900,179900,175000,176500,179900,174900,170000,169900,174900,189000,195000,195000,194900,194500,189900,189900,189999,189900,188500,187900
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122900,120000,119900,124500,128000,129900,134900,135900,134900,132900,129999,129900,127500,124900,125000,129900,132900,135000,139000,139750,139500,137400,135000,133900,130900,129900,129900,129900,134900,139900,143900,144900,144900,139900,139900,139900,138000,134900,134900,137000,144900,149900,154900,156000,155000,155000,154900,154900,149900,148900,149000
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121500,119900,118475,119900,124900,130000,137500,139900,139900,139900,138000,134900,129400,124900,124900,129900,133900,139000,142500,145000,145000,144900,142900,139900,139000,134900,130000,130000,139000,144900,149900,150000,151700,150000,149900,149900,149000,145000,144500,149900,155000,160000,169000,169900,169900,169900,169600,168900,164900,159900,159900
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179000,175000,171419,169500,173900,179900,184900,187900,189990,189900,189000,185328,184900,181500,178900,179900,185000,189000,189900,194900,195552.5,196990,199000,199000,197500,195900,196000,195900,195000,199900,206000,212000,215000,215000,211335,210000,212000,210000,208900,209900,212485,220000,229900,232000,235000,235000,235000,236605,239000,239899,239000,239900
"North Carolina",10,189900,189900,189900,189000,187500,185000,184000,179900,184900,179000,174900,169900,165850,165000,169900,170000,175000,179000,179000,175000,171900,169900,165000,164900,169900,169900,170000,169900,169000,167000,165675,165000,162900,164700,179900,179900,179900,184000,187000,189900,194000,198990,195000,195000,195000,195000,189900,194000,189000,189900,195000,198900,199900,199900,199900,199900,199900,199000,199000,195900,197190,199900,199900,205000,214000,215000,215000,215000,215000,215000,214900,213900,216945,219000,221325,225000,228000,229000,229000,229000,229000,229311,229000,229000,225400,229900,235000,245000,249000,249900,249900,249500,249900,250000,250000,250000,254000
