"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349950,347250,340000,349000,356000,365000,365000,372950,375000,375000,378000,375000,369000,350000,356995,369950,382000,389000,399000,399000,399900,399900,405750,404900,399900,399000,399000,405000,415000,420000,425000,435000,435000,435000,439000,435000,429500,420000,424888,430000,440000,449880,455000,458000,457000,459000,459999,460000,457000,449000,449900
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174000,169000,175000,179000,179900,189000,189000,190000,189275,187500,189275,190000,198999.5,199000,199000,199900,204999.5,209000,209900,214500,219900,222000,224900,227500,229500,228000,229000,229000,225000,225000,229999,232715,230000,229900,225500,225000,225000,225000,225000,220000,225000
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665000,595000,658000,590000,599000,599000,599000,625000,639000,659000,674250,685000,720000,718000,736500,749000,750000,738000,7e+05,729000,749000,750000,749000,740000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161000,169900,170000,170000,175000,175000,175000,175000,174500,174850,175000,179900,179900,180000,179950,180000,184000,181990,179900,180000,185000,187900,189000,194900,197000,198000,199000,196687.5,198900,199000,197000,199000,205000,210000,214900,225000,229500,229000,229900,229000,230000,230000,234930,235000,235000,239900,244500,245000,247000,248775,249000,249000,249900,249900,249900,249900,249900,254400,249900,254500,255000,250000
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,154900,150000,165000,179000,183500,189900,190000,189900,189000,189000,185000,184000,176900,174900,185000,190000,189990,194900,194900,192000,189000,187189,184900,179900,179000,182000,189900,199500,204900,2e+05,205000,2e+05,199900,2e+05,205000,204999,199900,207900,219000,224900,225000,225000,229000,225000,219900,220000,224500,222900,219900,225000
"Pennsylvania",6,189000,193900,195000,189900,189900,187900,187500,177900,179900,179000,171250,169900,175000,176670,171900,169900,169900,169900,165000,169900,169000,164900,164900,155000,155000,164000,154250,154000,158900,164900,159900,159900,159900,167000,184900,182750,185000,189000,189990,191900,197000,196900,189900,187900,187950,189900,189900,189000,184500,185000,187950,189900,189200,189900,185000,185900,189900,187000,185077.5,185000,185000,184900,189900,189875,184900,188500,189000,189900,189900,191789.5,194900,194900,190640,194900,193900,199000,199500,199000,198900,199000,197995,199000,199000,199000,199000,199250,208120,212825,209900,209787.5,209900,210000,214500,219900,220000,215000,218950
"Ohio",7,122900,120000,121900,121900,120000,120000,119725,119900,119000,116000,114500,110000,109000,109900,109900,110000,112900,112500,110000,110000,109900,109900,107900,105000,107900,107500,109900,109900,109500,109900,109900,105900,104000,103900,110000,109900,109900,109900,110000,114900,114900,115000,114900,114975,114900,118500,114900,115000,115000,119100,119900,119900,119900,119900,117812.5,116900,115000,117900,115000,112900,114900,115250,116500,117900,117500,118000,119900,119900,119900,119400,119900,118900,119900,122900,124900,125950,128250,125700,125000,127000,129900,129900,129900,129000,129900,132000,135800,136900,139900,139000,139900,142000,144800,144900,145000,144900,142900
"Michigan",8,115000,115000,114800,114900,114996.5,110000,109900,107000,108900,109000,102500,99900,99900,99999,105000,109500,115000,119900,119500,117900,117500,114900,110000,109900,109900,109900,114000,115900,119900,122500,123900,121000,121000,120000,125000,129500,129800,129500,129900,132900,139000,139900,139900,144900,149900,149900,148500,145000,149000,149900,154000,159000,159900,159900,159900,160000,164900,159900,154900,149900,150000,159900,159900,159900,167500,169900,169900,169900,169700,169000,169900,169900,169000,169000,169900,172500,179900,184999,185900,189500,189900,189900,189000,189000,187500,191000,197700,199900,204850,208312.5,204900,2e+05,207900,205000,205000,199900,199850
"Georgia",9,149900,149900,149900,149900,149998.5,148600,149500,144900,140000,139900,135000,130000,129900,129900,131000,132000,134900,134900,132100,130000,130000,128000,123833,122200,124900,124900,124900,124900,126000,124900,123950,124900,129900,132000,139900,139900,145000,149500,149900,150000,155000,155000,155000,155000,159500,159900,164900,149900,149900,150000,154900,157900,149900,154900,154950,154900,155000,157900,157900,154245,157500,163000,169900,169900,167000,169500,164900,185000,187995,190000,190000,189900,188000,189900,188000,189900,195000,194900,195000,189900,189000,185000,185000,185900,184900,178582,180000,189500,189887.5,190000,195900,199000,199900,2e+05,199994.5,199900,2e+05
"North Carolina",10,164949.5,160950,162000,164500,159900,159900,159900,152900,156000,149900,145000,144000,139900,139900,144000,145000,146000,149000,148500,146900,145900,147500,143945,139900,144900,139900,139000,139500,135000,135000,135000,139900,140000,147000,156900,159900,159900,165000,169900,173900,175401,188141,175000,170900,171900,172500,175000,170000,172000,165900,165900,174000,174000,164900,159900,159999,159900,159899,156900,154900,159900,164900,159900,164000,165000,165000,164900,167250,166140,169000,169900,174900,188788,189000,182700,187500,189000,189900,197500,194900,192500,199000,199900,199990,199900,196000,197250,199000,199000,198500,197000,194900,199500,202500,209900,210000,209900
