"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,375000,379000,379900,380000,395000,388000,385000,379900,389000,395000,383450,368250,349900,344700,339000,329000,339000,339000,335000,339000,336000,349900,349900,348000,319000,340000,349000,349900,355000,359500,359900,360000,344990,370000,379000,385000,395000,399900,415000,440000,465000,469000,479000,480000,484900,488344,435000,483500,469990,475000,493357.5,499900,510000,520000,519000,519000,509900,514000,499000,499000,5e+05,519000,525000,550000,551200,559900,559000,575000,584449.5,585000,589000,579000,575000,579975,599000,599000,605000,625000,625000,629900,649000,650000,650000,649250,659000,669999,681648,698894,699000,699000,698000,710126,7e+05,719000,719000,715000,725000
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,140000,141950,140000,139900,140000,137500,145000,145845,149000,149900,153250,156245,155900,159900,159900,167250,165900,169900,170000,170000,169900,165000,167990,160000,169900,170000,165900,169000,172500,170000,173750,174977,176900,175000,169900,172700,175000,174977,174900,175500,185000,180495,173500,169900,175000,175000,179000,179900,179500,189900,195000,199900,2e+05,199900,199900,199900,199900,210000,209000,215000,224000,229500,230000,235495,229000,225000,228495,229000,231000,230000
"New York",3,459000,450000,469000,450000,449900,449000,440000,439000,445000,435000,429999.5,429000,425000,419000,425000,409000,4e+05,410000,413500,4e+05,4e+05,409000,419000,419000,4e+05,425000,415000,415000,409000,399900,399000,399990,405000,409000,429000,439000,449000,450000,450000,450000,450000,440000,449000,450000,449010.5,469000,479000,479000,485000,489000,499000,479000,480000,480000,485388.5,489000,495000,489000,495000,495000,497250,499000,499000,499000,499000,519000,519000,519949.5,509007,520000,499900,499999,529000,548999,549000,559000,550000,575000,549000,550000,550000,569000,565000,585000,599000,599000,579000,565000,549000,539000,549000,525000,519000,5e+05,506500,5e+05,510722
"Florida",4,165000,169900,169000,164999.5,165000,164407,159000,145995,150000,165000,169900,164945,149500,150000,150000,152000,159100,159000,156900,154990,152000,149990,149990,149000,134900,140000,149900,150000,149999,149900,149900,149000,149900,155990,175000,179900,179000,181990,185000,181050,182000,185000,189000,188990,195000,206868.5,239900,229000,199000,199900,199900,199900,204000,2e+05,212500,213483,215900,219900,215945,219900,221348,225000,223145,224950,220000,225000,225000,234240,236990,242480,250000,250000,255000,255020,255000,260000,258325,250000,259900,259900,265450,270000,265900,275000,280000,285000,280000,289900,289900,288495,289900,290000,299000,295000,295000,295000,299000
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,139900,134995,140000,149900,149900,150000,159990,163000,164900,164245,161750,157500,149945,147000,145000,154900,165000,175000,175000,175000,175500,174900,169900,169000,159900,159900,159500,169900,170000,174900,175000,174950,175000,179000,174900,170000,169700,164350,165900,179900,184500,199900,199900,199000,195000,195000,199900,194900,189900,179900
"Pennsylvania",6,129900,129000,129900,129900,129900,129686,126900,124900,124900,125000,125000,125000,124900,124900,125000,125000,127900,129900,129900,129900,128000,125000,129000,126950,123450,120000,123500,124900,120000,124900,130000,127999.5,124900,124900,124000,120000,119900,120000,124900,125000,127700,128000,125000,125000,129250,125000,129900,129900,125900,125000,125000,128000,125000,128900,125000,125000,125000,129500,125000,125000,124900,125000,129900,129900,129900,129900,129000,125000,125000,124000,124000,119900,119900,118000,119000,119000,117900,119900,122700,119900,114900,114900,115000,115000,114000,114900,119000,125000,129900,129900,129900,128000,125000,125000,125340,125000,127500
"Ohio",7,69900,72450,72000,74900,73000,73000,69974.5,71500,74900,73900,70000,69900,69500,69450,69000,69000,69900,69900,70000,72000,74000,73900,75000,73700,71950,74900,74900,76120,74500,75000,74900,75000,71563,72000,64900,74500,69999,74500,75000,75000,78900,79900,79900,79900,79900,79900,84000,79900,79000,79000,80000,79900,82950,82500,80000,79900,79900,78900,78000,75000,75000,75000,75000,79000,79000,79900,79900,79900,79900,79900,79900,79900,79000,78000,79000,79900,80000,82500,83500,82000,80000,79900,79900,79900,79000,79900,79900,79900,82000,84900,85500,89000,87500,87500,88800,85000,85000
"Michigan",8,,,,,,,,,,,,,,1e+05,106499.5,104900,105000,109900,109900,105900,99900,97900,93500,94900,89959,89900,89000,89900,89000,89900,89880,87500,85450,88000,89900,94500,94900,94950,99000,99900,106000,105000,105000,109450,106000,110000,106000,104900,99900,104900,104900,106000,109900,105000,107950,109900,108000,109250,99900,99500,94900,99900,108900,102000,114900,108000,108000,109950,112000,114900,110000,110000,110000,110000,109950,119000,115000,117900,119900,119000,119900,119900,120000,119900,112000,110500,115000,118450,124000,129900,129900,134250,129900,129900,130000,128000,124900
"North Carolina",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192250,194445,204990,193990,196650,189900,209000,209250,209900,2e+05,199500,209000,219945,215000,211750,214400,199500,205000,214950,199000,195000,185000,180000,187450
"New Jersey",10,299000,299000,299000,299000,290000,289900,289000,279900,289000,295000,298250,295000,285000,279900,279000,274900,272000,274900,271750,274650,270000,274900,269000,269900,269000,269000,269000,272000,269000,260000,259900,259000,260000,259900,260000,259900,259900,265000,260000,265000,269990,274900,269900,274900,275000,274200,269900,269900,269000,275000,275000,275000,289000,292990,298000,289200,285000,279900,275000,269000,265000,249999,249999,269000,275000,280000,279000,279000,279900,279000,275000,269900,265000,269900,285000,279000,279900,285000,279000,279000,279000,269900,265000,260000,265000,269900,269450,279000,279000,285000,289000,295000,297900,299900,299000,299000,299000
