"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,407000,398500,399950,419000,433990,439950,448888,448000,439900,430000,425000,415000,389900,405000,424900,433802,440000,454900,464000,450000,459900,459900,459999,459500,450000,450000,460000,475000,489000,495000,499000,499000,495000,492900,491995,488800,475000,479000,489000,499900,519000,519999,515000,518952,515000,515000,515000,510000,499888,499000
"Texas",2,161054.5,163000,164500,164900,164900,164900,162000,163900,172500,169900,167749,163780,160000,159990,164900,165000,169000,169070,168500,165000,160000,159900,155500,154900,155000,155950,158450,159900,159900,162500,159999,159900,159000,159900,174900,175000,174999,179900,184900,188000,189900,192000,192000,190000,192000,195000,189990,192500,190975,197500,2e+05,210000,215000,214365,214900,219000,218900,217500,217500,224500,226603,233995,239900,245000,245000,245000,247000,249000,249500,249900,249990,255000,253990,245000,250000,253995,256900,259000,259000,255900,254990,259000,250000,250000,250000,256900,264992,269999,274900,275000,274000,270990,269900,269900,269900,269900,269572.5
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000,314999,325000,329000,319990,319800,3e+05,299000,297000,295000,299000,299000,299000,299900,319000,315000,315000,314900,309900,299900,299000,299000,299900,299900,299000,299000,303819,309900,309900,305000,304000,299000,295000,289000,289500,289000,289000,289990,295000,299000,299900,3e+05,3e+05,289900,288888,284000,279900,285000,280000,290000,299000,3e+05,305000,299900,299000,299000,293900,298468,299000,295000,295000,299900
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209900,209900,208132.5,214990,216990,219900,218500,214970,222000,223900,224900,224000,221315,220000,225000,230000,229900,229900,234900,235900,237000,244900,249000,249900,251990,252500,254500,259000,260000,267315,265000,265000,265000,260000,265000,267000,269000,269900,275900,279900,282990,289000,289900,289900,289900,289000,290000,289900,292990,295000,296990
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,155900,164900,170000,179900,186000,189900,189000,185000,182500,179900,175000,169900,169000,174995,185000,190000,199999,2e+05,199900,197400,194500,189900,189000,180000,179900,187000,199500,209000,211447.5,209900,205900,199900,199000,194900,189900,182000,179900,190000,204873,214900,219900,222000,219900,214900,212000,209900,205000,199500,199500
"Pennsylvania",6,168900,169900,172450,170000,169900,169900,169900,169900,169900,169000,165000,162900,159900,162900,164900,166900,169900,169900,169900,169900,165000,164000,159900,158900,159500,159000,159900,159900,159900,159900,155900,150000,149900,149900,164900,159900,159990,165000,169900,169900,179000,179900,175000,169900,170000,169900,168500,172000,165900,169000,170000,179900,180000,180000,179000,175000,175000,175000,170000,169000,169000,169900,175000,179900,185000,184000,179900,176300,179900,174900,174500,169900,165500,165000,174900,176000,179900,184500,179000,174900,175000,179000,174900,169900,169900,173995,186900,194900,194999,194000,191625,189900,189900,189900,189900,185000,185000
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,122900,120000,124900,129900,132000,135000,139900,138000,134900,134900,132000,129500,124900,127500,130000,134900,139700,139900,139900,139900,139900,139000,134900,134850,129900,129900,130000,135000,140000,145000,146900,146977,142900,140000,139900,139480,135000,134900,137900,144900,149900,155900,159700,159000,157900,154900,154900,149900,149000,149500
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,119000,114900,117500,120000,129900,134900,138000,137900,137000,134900,130000,125900,120000,122000,126810,129900,135000,139900,142900,144500,139900,139900,137000,134900,129900,129000,129000,134900,139900,146900,149900,149900,149900,149000,147000,143900,139900,139900,144900,149900,159000,164900,168500,168000,165000,164900,164900,159900,155000,155000
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,175000,174900,169900,175000,180000,187500,189900,194900,194900,189900,189500,187500,184900,179900,184000,189000,189900,193277.5,197990,199500,199900,199900,199900,199000,197500,197990,198000,196500,2e+05,209900,215000,217990,218000,214900,214900,214900,213295,209900,210000,215000,224900,230900,235000,239000,239900,239000,239900,239900,240873,240000,240855
"North Carolina",10,190000,189900,189900,189900,189000,187500,185000,183000,185000,179900,175000,169900,169000,167500,169900,174500,179000,179900,179900,178750,174900,169900,168000,165000,170000,170990,174900,172500,169900,169900,169000,168000,164900,165000,179990,180000,182500,185000,189000,192900,195000,199000,199000,198900,199000,199000,193000,196675,189900,192990,199000,199900,2e+05,203000,201900,201675,2e+05,199900,199900,199500,199500,201000,2e+05,210000,217700,219900,219900,219900,219000,219900,219000,215490,219900,219980,225000,229000,229900,229900,229990,229900,229900,229900,229900,229900,229000,230000,239000,248500,249900,250000,250000,249900,250000,253900,254900,254495,255200
