"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,2100,2100,2000,1995,1950,1950,2000,2000,1700,1695,1675,1745,1595,1600,1600,1650,1675,1650,1600,1600,1595,1545,1500,1500,1500,1500,1555.5,1525,1500,1525,1500,1550,1580,1560,1545,1525,1500,1550,1569,1549,1550,1510,1545,1539,1635,1645,1540,1695,1700,1645,1610,1679,1795,1800,1800,1800,1850,1895,1895,1911,1925,1950,1970,2000,2000,2025,2050,2085,2100,2100,2150,2150,2165,2195,2205,2200,2200,2195,2240,2188.5,2250,2125,2195,2150,2200,2295,2315,2350,2357,2355,2375,2350,2350,2340,2300,2300,2300
"Texas",2,,,995,1050,950,950,970,995,900,900,925,900,945,935,950,925,925,950,930,925,900,895,900,927,949,966,989,949,959.5,965,965,995,1004,899,999,1031,1031,995,1024,1042,1054,1050,1075,1039,1100,1128,1150,1140,1155,1110,1105,1150,1130,1135,1115,1119,1119,1122.5,1120,1115,1125,1125,1127,1169,1174.5,1190,1177,1187.5,1185,1179,1250,1248,1250,1246,1289,1265,1259,1254,1245,1239,1263,1200,1200,1168.5,1228,1250,1266.5,1300,1331.5,1346,1343,1329,1329.5,1300,1319,1325,1309
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525,2555,2500,2500,2500,2500,2500,2500,2550,2600,2590,2500,2500,2500,2500,2495,2450,2400,2450,2499,2500,2525,2550,2550,2550,2600,2650,2595,2400,2400,2350,2375,2400,2400,2450,2450,2449,2399,2333,2300,2300,2300
"Florida",4,,,,,,,,,,,,,,1350,1350,1350,1300,1300,1300,1295,1300,1250,1250,1250,1200,1250,1250,1250,1250,1250,1250,1250,1220,1200,1200,1200,1175,1200,1200,1200,1200,1225,1300,1300,1350,1350,1400,1400,1380,1350,1300,1300,1350,1350,1350,1350,1375,1375,1350,1350,1339,1365,1395,1375,1400,1407,1500,1500,1500,1500,1550,1550,1550,1593,1600,1550,1500,1500,1496,1500,1500,1500,1600,1465,1500,1500,1550,1555,1564,1574,1594,1600,1600,1600,1616,1635,1612
"Illinois",5,,,1325,1350,1350,1395,1395,1350,1350,1400,1395,1450,1425,1495,1500,1557.5,1585,1650,1600,1590,1600,1500,1450,1480,1475,1450,1425,1395,1405,1495,1450,1468.5,1465,1495,1420,1450,1425,1500,1494,1495,1558,1600,1640,1650,1620,1550,1550,1625,1500,1450,1500,1500,1585,1599,1650,1580,1650,1600,1550,1450,1459.5,1575,1500,1550,1575,1550,1550,1550,1595,1550,1600,1548,1500,1600,1530,1550,1595,1593,1595,1550,1500,1495,1450,1495,1500,1500,1500,1550,1590,1595,1590,1550,1540.5,1500,1500,1500,1515
"Pennsylvania",6,,,1212.5,1199.5,1200,1212.5,1300,1325,1200,1150,1177.5,1100,1069,1015,1039,1100,1095,1050,1050,1075,1050,1000,1045,1057.5,1100,1125,1150,1175,1195,1200,1175,1145,1100,1100,1055,1040,1015,1050,1085.5,1100,1161,1186,1100,1100,1100,1050,1050,1075,1050,1050,1050,1100,1160,1180,1150,1100,1100,1095,1075,1095,1099,1100,1155,1195,1200,1199.5,1192.5,1150,1100,1100,1150,1125,1195,1195,1200,1200,1250,1200,1200,1195,1145,1150,1100,1120,1145,1195,1200,1250,1254.5,1250,1250,1250,1250,1230,1214,1200,1200
"Ohio",7,,,,900,875,825,850,804.5,677,695,689,700,675,667.5,650.5,725,729.5,700,700,700,700,689,700,720,749,726,725,695,685,685,675,700,699,700,725,700,685,698,705,700,700,700,689,685,700,700,675,750,700,700,700,713,725,721.5,700,709,740,760,795,780,775,800,825,840,850,825,810,800,800,805,850,850,839,825,850,875,870,850,850,850,850,850,825,825,850,850,889,899,895,890,895,875,875,875,870,869,875
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,679,700,720,715,735,750,750,717,715,735,750,750,750,700,683,735,760,740,752,750,750,750,850,855,850,875,850,850,850,850,925,900,900,900,900,925,900,900,900,900,925,950,950,975,900,900,925,950,975,967,950,925,950,975,970,930,1015,990,975,995,1025,958,975,975,1000,1000,995,1000,1005,1000,1025,1015,1000,995,995
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,1100,1095,1115,1140,1051,1095,1075,1100,1125,1015.5,1050,1050,1120,1150,1185,1200,1249,1245,1250,1259,1260,1254.5,1266,1270,1275
"North Carolina",10,,800,800,800,800,799.5,825,800,825,825,800,825,750,775,775,775,750,765,769,765,750,750,750,750,750,775,795,795,785,775,780,800,795,795,791,775,776,800,825,829,825,800,807,795,775,775,755,775,780,775,775,795,800,800,800,800,795,799,799.5,800,800,800,825,850,850,850,850,850,850,850,944,925,930,925,995,985,995,980,998,1035.5,1065,975,975,950,1000,995,1000,1050,1100,1109,1138,1120,1116,1103,1122,1105,1104
