"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,,,,,,,,,,2400,2400,2450,2495,2450,2400,2400,2300,2300,2200,2200,2200,2200,2200,2100,2150,2195,2195,2150,2100,2050,2000,1999,2000,2000,1999,2000,1995,2000,2100,2000,2100,2100,2000,2100,2099.5,2039,2050,2095,2200,2295,2300,2300,2300,2295,2275,2297,2300,2300,2350,2400,2450,2500,2500,2500,2500,2500,2500,2500,2500,2550,2650,2600,2600,2700,2700,2662.5,2600,2600,2695,2500,2650,2700,2800,2900,2980,3000,3000,3000,2983.5,2900,2895,2900,2900
"Texas",2,1500,1497.5,1675,1825,1872.5,1750,1695,1650,1650,1662.5,1700,1650,1595,1595,1595,1595,1595,1595,1550,1525,1500,1500,1500,1500,1550,1600,1550,1550,1595,1595,1550,1500,1499,1500,1500,1500,1500,1550,1550,1595,1595,1600,1600,1600,1595,1550,1595,1595,1550,1550,1595,1650,1700,1700,1750,1700,1695,1700,1700,1700,1700,1750,1769,1800,1800,1800,1800,1800,1795,1800,1795,1795,1795,1800,1843.5,1800,1800,1800,1800,1800,1777,1795,1750,1800,1800,1800,1850,1850,1850,1850,1850,1850,1800,1800,1800,1800
"Florida",3,,2200,2200,2050,2100,1795,1750,1850,1800,1800,1900,1850,1850,1850,1900,1900,1995,2000,2000,1995,1900,1895,1800,1800,1900,1999,1900,1940,1975,1950,1900,1900,1900,1900,1825,1800,1895,1900,1950,1900,1875,1975,1895,2000,2000,2100,2095,2000,2000,1950,1980,2000,2000,2100,1995,2000,1999,1950,1900,1900,1950,1900,1900,1950,1950,1990,1995,1950,1950,1995,1995,2000,2000,2050,2000,2000,1999.5,1950,1995,1995,1995,2000,1900,1987,2000,2000,2100,2100,2100,2150,2175,2150,2195,2200,2196.5,2200
"Illinois",4,2500,2300,2300,2300,2150,2300,2300,2100,2300,2250,2400,2050,2072.5,2150,2250,2400,2425,2333.5,2250,2200,2100,2000,2000,2000,2000,2100,2050,2100,2177,2150,2086,1950,1900,1800,1800,1800,1800,2000,1900,2047,2050,2100,1995,1900,1850,1800,1900,1800,1800,1800,1900,2100,2153,2175,2200,2100,2000,2000,2023,1992,1995,2000,2049,2200,2250,2250,2148.5,1999,1950,1965,1862,1875,1850,1950,2000,2100,2200,2200,2150,1962.5,1800,1800,1770,1795,1800,1900,2050,2215,2295,2300,2200,1995,1900,1895,1900,1899.5
"Pennsylvania",5,,,,,,,,,,,,,1650,1650,1800,1770,1797.5,1700,1700,1700,1600,1695,1795,1775,1775,1800,1800,1800,1800,1800,1800,1700,1700,1625,1600,1600,1800,1836.5,1870,1985,1950,1900,1800,1723,1650,1650,1700,1750,1725,1750,1800,1875,1900,1850,1800,1722.5,1700,1795,1775,1800,1800,1895,1900,1900,1900,1900,1800,1799,1750,1800,1700,1750,1800,1800,1850,1850,1850,1800,1800,1750,1600,1800,1695,1600,1700,1800,1800,1850,1850,1800,1750,1650,1650,1795,1700,1750
"Ohio",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1495,1475,1450,1450,1450,1425,1400,1475,1495,1495,1500,1500,1450,1500,1495,1495,1500,1450,1485,1500,1600,1650,1600,1655,1650,1595,1500,1400,1350,1300,1400,1400,1430,1500,1500,1450,1450,1400,1430,1495,1450,1431.5,1430
"Michigan",7,,,,,,,,,,,,,,,,,,,,,,1350,1500,1497.5,1400,1450,1500,1600,1500,1550,1500,1495,1525,1600,1400,1200,1400,1400,1350,1500,1500,1600,1700,1777.5,1800,1700,1685,1650,1600,1600,1600,1800,1800,1800,1885,1950,1900,1875,1875,1850,1875,1880,1900,1900,1900,1999,1900,1950,1900,1900,1900,1900,1850,1875,1900,1950,1800,1800,1950,1999,1950,2000,1850,1800,1800,1800,1800,1900,1800,1900,1825,1850,1850,1700,1700,1640
"Georgia",8,,1475,1500,1500,1500,1500,1500,1500,1500,1495,1500,1400,1400,1395,1400,1450,1450,1400,1400,1395,1395,1350,1300,1300,1300,1300,1300,1300,1350,1350,1300,1300,1300,1295,1295,1273,1295,1300,1300,1300,1300,1335,1300,1300,1313,1300,1300,1295,1295,1295,1295,1350,1374,1365,1375,1369,1362,1375,1395,1395,1395,1400,1400,1447,1450,1450,1450,1425,1400,1425,1447.5,1450,1450,1450,1457.5,1495,1500,1500,1500,1500,1500,1500,1495,1500,1500,1550,1575,1600,1600,1600,1595,1580,1577,1575,1580,1595
"North Carolina",9,,1500,1500,1595,1500,1500,1550,1595,1550,1495,1500,1450,1400,1400,1400,1400,1400,1395,1375,1395,1350,1350,1300,1325,1350,1350,1375,1395,1400,1397,1375,1350,1350,1350,1300,1300,1300,1350,1350,1399,1395,1395,1395,1350,1350,1350,1300,1300,1300,1347,1350,1395,1395,1395,1395,1395,1377.5,1395,1395,1395,1375,1400,1450,1425,1415,1400,1400,1400,1400,1400,1400,1400,1445,1450,1495,1495,1470,1495,1495,1459,1450,1492,1449,1500,1525,1575,1600,1595,1595,1600,1595,1575,1595,1595,1580,1595
"New Jersey",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2550,2500,2500,2395,2500,2500,2595,2600,2600,2800,2800,2600,2650,2500,2500,2500,2500,2500,2600,2700,2700,2750,2600,2700,2625,2500,2500,2400,2475,2450,2600,2700,2500,2800,2812.5,2600,2500,2450,2500,2500,2450,2500,2500,2600,2800,2800,2900,2600,2500,2400,2400,2450,2400,2450
