"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,,,,,,,,,,2750,2700,2800,2800,2900,2850,2900,2800,2950,2750,2750,2690,2700,2700,2550,2500,2550,2500,2500,2450,2374,2350,2300,2350,2350,2300,2300,2300,2395,2450,2400,2495,2450,2350,2450,2450,2400,2400,2400,2600,2600,2695,2650,2650,2650,2685,2600,2664,2700,2800,2800,2875,2995,2990,2995,2950,2900,2850,2800,2900,2995,3000,3000,3200,3000,3152.5,3000,3045,3000,3200,3000,3000,3200,3309.5,3400,3595,3600,3500,3500,3450,3395,3350,3395,3300
"Texas",2,,,,,,,,,,,,,,2100,2195,2200,2200,2197.5,2125,2100,2000,2000,2000,1995,1995,2000,2000,2000,2000,2050,2000,1995,1982.5,2000,1950,1925,2000,2000,2095,2000,2095,2100,2100,2090,2000,2000,2100,2000,1995,1995,2075,2295,2300,2300,2300,2397,2250,2250,2250,2295,2262.5,2290,2395,2450,2500,2495,2499,2500,2550,2500,2450,2495,2500,2500,2500,2482.5,2500,2500,2495,2600,2495,2419.5,2400,2400,2395,2475,2500,2500,2500,2500,2495,2500,2500,2500,2500,2495
"Florida",3,,,,,,,,,,,,,,,,,,3000,3000,3000,2995,2950,2950,2900,2800,3200,3000,3100,3270,3300,3250,3000,3000,3000,2950,2950,2900,2950,2900,2900,2700,2900,2800,2995,3000,3000,2995,2900,2900,2800,2810,3000,3000,3200,2800,2800,2750,2800,2800,2800,2750,2750,2850,2800,2800,2796,2800,2700,2699.5,2800,2900,2900,2800,2895,2855.5,2800,2800,2700,2800,2949.5,2800,3000,2800,2800,2800,2800,2950,2900,2950,3000,3100,3000,3000,3100,3000,3000
"Illinois",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1750,1800,1600,1600,1690,1690,1750,2000,2200,2400,2484,2045,1997.5,1995,2000,2000
"Georgia",5,,,,,,,,,,,,,2000,1950,2000,2000,2000,2100,2000,2000,2000,1950,1995,1800,1850,1975,1950,1950,1950,1900,1800,1700,1700,1700,1650,1650,1600,1650,1700,1650,1695,1685,1628,1680,1650,1575,1600,1595,1550,1550,1600,1700,1700,1700,1700,1750,1790,1750,1750,1750,1750,1750,1750,1797.5,1895,1900,1895,1850,1850,1800,1795,1825,1854,1895,1920,1950,1900,1900,1897.5,1950,1937,1950,1895,1799,1800,1895,1995,1995,1995,2000,1995,1995,1900,1932.5,1950,1925
"North Carolina",6,,,2650,2495,2300,2195,1950,2000,2200,2150,2300,2199.5,1950,1837.5,1792.5,1790,1850,1900,1895,1850,1800,1695,1600,1850,1700,1695,1825,1900,1850,1800,1850,1872.5,1750,1724.5,1699.5,1799.5,1800,1800,1775,1750,1800,1800,1800,1800,1825,1800,1795,1750,1762.5,1790,1792.5,1800,1895,1862.5,1812.5,1800,1800,1800,1875,1925,1895,1895,1895,1837.5,1895,1895,1800,1797.5,1880,1845,1895,1897.5,1950,1995,2000,1900,1825,2000,1995,1935,1875,1912.5,1847.5,2000,1985,1999,2025,2000,2000,2050,1999,1995,1995,2000,1995,1995
"New Jersey",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3500,3695,3900,3700,3500,3475,3000,3000,2925,3075,3000
"Virginia",8,2200,1995,2000,2200,2250,2400,2395,2300,2275,2200,2195,2100,2150,2200,2047.5,2195,2200,2200,2285,2200,2200,2200,2200,2295,2200,2225,2339,2395,2350,2400,2300,2200,2200,2195,2200,2195,2200,2250,2300,2300,2300,2375,2400,2300,2300,2250,2250,2200,2200,2200,2250,2400,2450,2500,2400,2400,2300,2300,2250,2200,2195,2200,2297.5,2395,2495,2495,2400,2400,2300,2300,2300,2250,2250,2250,2200,2337.5,2300,2400,2495,2395,2400,2385,2250,2395,2300,2350,2400,2500,2600,2500,2485,2500,2500,2400,2500,2385
"Washington",9,,,,,,,,,,,,,,1795,1800,1950,1995,1850,1797.5,1850,1850,1850,1795,1775,1695,1695,1725,1700,1750,1795,1795,1750,1695,1595,1625,1677.5,1785,1750,1817.5,1800,1800,1847,1840,1772.5,1790,1795,1800,1775,1700,1725,1750,1995,1895,1895,1995,1950,1900,1895,1895,1895,1950,1947.5,1995,2013,1995,1995,2090,2150,2147.5,2078.5,1917.5,2139,2000,2150,2095,2200,2160,2250,2200,2225,2185,2250,2200,2295,2450,2500,2499,2595,2700,2600,2595,2595,2495,2400,2300,2300
"Massachusetts",10,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3900,3800,3700,3600,3750,3600,3600,3700,3900,3900,3800,3800,3800,3800,3800,3700,3600,3700,3695,3900,4200,4100,4100,4195,4000,3997.5,3900,3850,3900,3900,3800,4000,4200,4200,4000,4000,4000,3800,3800,3800,3650,3500,3750,4100,4400,4400,4300,4200,4200,4000,4000,4000,4000,3800,3750,4000,4500,4500,4400,4350,4300,4295,4200,4125,4100,3995,4200,4500,4750
