"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,1500,1517.5,1499,1500,1585,1600,1500,1485,1490,1495,1250,1250,1287.5,1250,1275,1250,1250,1200,1195,1195,1180,1175,1250,1275,1275,1275,1275,1200,1150,1150,1107.5,1150,1150,1150,1150,1195,1200,1200,1200,1195,1200,1200,1225,1250,1275,1250,1250,1250,1250,1285,1350,1295,1350,1295,1295,1295,1295,1300,1350,1350,1395,1450,1450,1495,1450,1525,1495,1495,1650,1745,1795,1850,1900,1900,1975,1750,1800,1650,1695,1700,1670,1695,1775,1800,1841,1895,1895,1850,1850,1850,1850,1895,1875,1875,1850
"Texas",2,,835,850,850,885,815,850,850,850,875,850,850,850,855,854,855,850,827,825,819,800,795,775,875,950,950,915.5,960,875,800,795,795,780,789,795,799,795,800,825,850,865,915,944.5,1020,1018,1045,995,1085,1025,1022,1035,990,950,944,1000,999,1014,1019,1000,1004,995,950,995,950,900,895,895,895,900,925,900,900,925,957.5,960,950,975,983,995,995,950,955,950,975,954,975,995,995,995,995,995,980,980,960,970,975
"New York",3,,,,,,,,,,,,,,,,,,,,,,,2500,2592.5,2600,2600,2630,2650,2700,2700,2725,2700,2700,2700,2700,2695,2750,2750,2775,2800,2845,2800,2800,2850,2895,2795,2750,2700,2750,2795,2800,2850,2850,2500,2500,2500,2500,2500,2495,2495,2500,2500,2600,2625,2600,2550,2600,2595,2575,2500,2500,2500,2500,2500,2500,2550,2595,2595,2600,2600,2695,2600,2450,2500,2495,2451,2500,2500,2500,2550,2595,2500,2500,2450,2400,2400
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1550,1450,1400,1400,1450,1500,1450,1500,1450,1500,1500,1400,1400,1400,1400,1400,1400,1400,1450,1500,1550,1575,1650,1550,1599.5,1550,1550,1500,1550,1654,1675,1580,1600,1585,1600,1600,1650,1644,1600,1650,1650,1600,1600,1600,1650
"Illinois",5,,1250,1300,1300,1206,1195,1207.5,1299,1345,1358.5,1351,1324.5,1333,1350,1410,1425,1472,1450,1407.5,1400,1399,1395,1390,1300,1260,1300,1375,1468,1499,1495,1495,1415,1441,1421,1450,1450,1504,1489,1500,1580,1564,1550,1585,1550,1500,1522,1599,1550,1490,1495,1500,1485,1501,1640,1580,1600,1605,1650,1495,1550,1745,1561,1565.5,1625,1600,1650,1591.5,1778,1850,2002,1795,1650,1800,1509,1450,1495,1500,1450,1450,1425,1400,1400,1450,1400,1400,1400,1435,1450,1450,1473,1499,1500,1550,1550,1555,1515
"Pennsylvania",6,837.5,875,885,897.5,850,850,850,840,850,895,850,800,800,825,800,825,810,800,800,842.5,800,800,820,875,895,875,850,872.5,850,855,850,825,795,799.5,800,800,850,895,915,950,950,950,950,925,900,950,940,900,900,900,939,975,975,950,900,910,925,950,950,950,950,995,1015,1020,1000,1050,995,995,959.5,1000,990,995,995,1000,1050,1095,1000,995,925,900,895,895,900,900,950,975,1000,1000,1005,1025,995,995,990,1000,995,995
"Ohio",7,,,,,,,,750,775,800,750,650,650,609.5,650,625,625,600,630,632.5,650,600,582.5,599,625,600,597,600,599,590,590,595,595,595,575,565,565,580,595,589,575,579.5,585,595,595,599,600,575,590,595,600,599,595,599,599,600,625,600,600,600,600,649,650,650,636,605,620,625,615,636,650,650,650,692.5,695,715,679,650,700,635,695,650,695,669,695,700,715,709,699,700,700,715,719.5,719,700,700
"Michigan",8,,,,,,,,,,,,697.5,700,675,697.5,685,750,697.5,697.5,650,625,600,600,625,625,625,639,634.5,600,610,600,617.5,600,625,600,600,635,625,625,645,630,625,635,650,695,699,675,675,700,700,700,750,750,725,750,750,750,725,700,725,700,725,725,725,745,747.5,725,750,760,750,775,750,750,795,800,750,775,850,800,775,793,850,795,750,775,800,825,800,800,775,779,845,825,800,825,880
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,850,835,850,900,950,950,950,950,975,950,895,900,899,897
"North Carolina",10,575,620,612.5,662.5,600,600,637.5,662.5,650,625,700,680,680,675,675,675,675,675,675,675,669,650,650,650,700,735,730,725,700,682.5,690,695,695,695,650,695,695,700,740,745,725,695,700,700,750,725,720,720,725,725,750,750,765,762.5,750,735,727,725,745,725,735,725,750,700,728,745,725,725,700,710,750,750,750,750,800,824,825,824,785,800,750,775,750,725,795,795,800,820,825,824,795,775,775,795,800,825
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1500,1500,1550,1595,1595,1600,1595,1500,1500,1575,1600,1600,1650,1750,1600,1650,1650,1650,1600,1650,1650,1700,1612.5,1630,1650,1700,1700,1700,1700,1700,1650,1650,1650,1650,1650,1650
"Virginia",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,850,850,964,1000,925,950,999,995,999,999,1039,1050,1025,950,950,950,950,995
"Washington",13,,,,,,,,,,,,,925,895,900,900,900,900,850,825,850,850,850,895,902.5,895,915,895,875,825,825,825,825,825,825,800,847,850,850,850,850,882.5,900,900,950,970,960,965,950,965,975,945,905,950,975,985,950,950,950,945,950,995,995,995,1045,1025,1050,1040,1025,1150,1150,1175,1195,1200,1195,1200,1175,1195,1165,1195,1225,1199,1172.5,1250,1225,1225,1250,1280,1325,1350,1350,1350,1350,1340,1325,1350
"Massachusetts",14,,,,,,,,,,,,,,,,,1700,1750,1790,1795,1700,1700,1700,1800,1825,1800,1800,1825,1800,1800,1800,1850,1795,1862.5,1895,1977.5,2000,1900,1925,1925,1930,1995,2010,2050,2000,2025,2010,2059,2100,2100,2100,2150,2150,2195,2149.5,2100,2100,2060,2058,2200,2200,2220,2250,2250,2229.5,2250,2250,2200,2200,2200,2200,2300,2350,2400,2375,2400,2500,2400,2400,2445,2395,2250,2300,2400,2400,2450,2500,2500,2500,2500,2500,2430,2400,2375,2350,2450
"Indiana",15,,,,,,,,,,,,,562.5,562.5,575,595,600,595,575,600,595,595,595,650,650,650,595,600,579,572.5,555,567,595,595,575,559,560,575,595,600,600,600,580,626.5,650,629,637,625,630,630,630,619,625,599,600,600,600,600,600,600,600,619,619.5,600,615,605,600,600,625,625,605,600,600,620,620,625,625,625,625,699,625,624.5,617.5,625,600,625,645,650,635,650,655,650,650,651,650,675
"Arizona",16,,,,,,,,,,,,,615,607.5,615,650,622.5,600,600,600,600,595,595,656,700,708.5,700,745,695,625,625,630,625,629,645,650,650,650,650,650,650,650,685,700,714,699,695,700,700,700,700,698,695,695,695,675,675,651,675,685,687.5,675,700,699,725,700,697,700,700,710,725,725,725,750,750,750,750,730,750,750,729.5,725,725,775,799,825,850,850,850,850,850,850,850,850,839,850
"Tennessee",17,,,,,,,,,662.5,650,710,650,644.5,600,620,650,630,650,652,695,675,650,650,675,650,651,635,640,625,600,600,650,650,650,650,675,650,650,650,650,615,625,630,695,699,700,700,669,699,700,705,700,685,685,630,675,680,650,655,675,675,695,692.5,695,677.5,709.5,695,695,702.5,695,695,722,745,750,784,750,735,725,700,717,725,770,725,750,750,755,800,795,800,831,800,802.5,800,800,750,725
