"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,,,,,,,1595,1595,1600,1495,1515,1550,1650,1650,1675,1650,1652.5,1600,1500,1400,1400,1425,1433,1480,1465,1457,1478,1475,1500,1529.5,1495,1472,1450,1429,1457,1495,1480,1495,1490,1495,1500,1600,1600,1500,1645,1650,1600,1595,1625,1750,1750,1758,1795,1810,1850,1850,1850,1860,1895,1895,1915,1929,1950,1955,1995,2000,2000,2000,2005,2066.5,2099,2110,2100,2100,2095,2137,2045,2115,2013.5,2050,2000,2100,2175,2200,2200,2200,2200,2222,2200,2200,2200,2195,2195,2190
"Texas",2,,950,950,950,975,1050,950,895,860,899,900,892.5,889,895,899,899,900,900,885,750,770,791,800,825,845,897,919,890,900,900,900,908,929,925,929,950,998,950,972,970,973,978,1009,975,1073,1090,1110,1099,1131.5,1085,1079,1100,1100,1100,1099,1095,1090,1099,1100,1098,1099,1100,1095,1130,1125,1140,1134,1143.5,1150,1145,1195,1183,1195.5,1190,1220,1205,1200,1200,1190,1189,1202,1151,1146,1125,1182,1200,1201,1225,1244,1242,1240,1245,1240,1225,1249,1250,1242
"New York",3,,1825,1875,2087.5,2000,2200,2000,1900,1900,2100,2000,2200,2000,1967.5,2300,2450,2495,2457.5,2550,2600,2595,2500,2450,2400,2400,2500,2500,2550,2600,2625,2650,2695,2700,2700,2700,2695,2650,2711,2700,2750,2800,2825,2795,2795,2800,2850,2750,2750,2700,2700,2750,2750,2800,2895,2450,2400,2450,2400,2400,2400,2400,2400,2450,2500,2500,2500,2495,2500,2500,2475,2400,2400,2400,2400,2400,2495,2500,2500,2505,2500,2550,2600,2550,2350,2400,2350,2350,2400,2400,2450,2450,2440,2400,2340,2300,2300,2300
"Florida",4,,,,,,,,,,,,,,1393,1375,1400,1400,1350,1340,1325,1350,1300,1250,1290,1250,1250,1250,1250,1250,1275,1250,1245,1200,1200,1200,1180,1115,1150,1175,1195,1200,1200,1320,1300,1350,1400,1400,1400,1399,1350,1300,1300,1350,1350,1355,1360,1395,1390,1350,1350,1330,1400,1400,1395,1429,1450,1550,1600,1550,1599,1595,1590,1600,1610,1625,1599,1554,1532,1500,1500,1509,1544,1635,1500,1519,1545,1550,1570,1565,1575,1580,1600,1600,1600,1600,1610,1600
"Illinois",5,1550,1300,1295,1295,1275,1250,1250,1250,1294,1360,1365,1400,1337,1350,1350,1400,1430,1425.5,1400,1400,1400,1370,1328,1350,1350,1340,1325,1301.5,1350,1350,1372,1394,1400,1435,1395,1400,1394,1500,1450,1475,1500,1537,1550,1550,1549,1500,1502,1558,1505,1479,1495,1499,1525,1570,1632,1545,1630,1620,1552,1450,1495,1600,1510,1500,1550,1549,1545,1500,1580,1595,1646,1570,1525,1600,1517,1504.5,1545,1530,1517,1500,1495,1461,1475,1485,1475,1495,1495,1500,1550,1550,1550,1550,1550,1550,1550,1525,1520
"Pennsylvania",6,,,1195,1200,1250,1262.5,1200,1200,1000,995,1016.5,994.5,995,983.5,995,1000,1050,1000,995,1050,1025,965,962.5,970,997,1035,1055,1100,1100,1100,1100,1080,1050,1000,1020,1000,985,1025,1050,1070,1125,1100,1050,1000,1000,995,1000,1025,1000,1000,1000,1050,1175,1150,1100,1100,1077,1085,1085,1050,1075,1095,1125,1195,1200,1185,1150,1125,1100,1095,1175,1100,1195,1195,1200,1210,1225,1195,1193,1150,1100,1145,1100,1100,1100,1150,1200,1200,1250,1250,1250,1229,1209,1200,1200,1200,1200
"Ohio",7,,,,,,,,,,654,649,649,640,640,635,690,695,695,695,699,700,640,650,649,665,675,675,649,639.5,630,630,650,650,650,655,649,635,650,675,659,669,650,650,645,635,650,625,669,650,650,650,675,675,675,625,639,694,700,710,715,712.5,750,766,765,800,775,765,750,750,750,810,815,800,799,825,850,850,825,840,825,825,822,800,800,834,849,860,875,875,870,874,859,875,865,850,855,863
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,885.5,900,950,950,970,850,850,900,925,950,950,925,900,902,940,925,900,980,980,950,995,1025,950,945,945,959.5,975,950,980,995,975,1004.5,1000,995,979,960
"Georgia",9,,1050,1050,1050,1075,1100,1000,950,895,900,910,995,900,927,950,950,950,950,925,925,925,825,810,825,815,865,853,850,859,850,852,886,855,865,854,850,846,867,879,885,886,900,906,900,950,950,925,975,1000,1000,1000,1000,995,1000,995,995,999,995,1000,995,1000,1001,1008,1049.5,1074,1100,1079,1100,1100,1095,1200,1195,1195,1182,1200,1200,1109,1159,1159,1171,1219,1139,1150,1145,1209,1215,1245,1255,1275,1275,1275,1285,1275,1270,1275,1279,1285
"North Carolina",10,,,875,875,900,865,895,875,875,875,875,875,765,775,789,775,750,759.5,775,775,775,750,767,764.5,775,795,795,795,795,785,790,825,825,825,806,797,795,810,833,844,850,850,849,815,809,815,800,825,825,815,800,815,850,857,850,850,845,850,850,869,875,860,878,889,895,895,895,910,900,900,1000,980,993,1009,1090.5,1050,1080,1079,1100,1085,1105.5,1065,1029,1009,1079,1046,1075,1100,1120,1127,1145,1145,1139,1135,1153,1141,1146
