"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,,,,,,,,,,,2150,2150,2200,2200,2200,2100,2100,2000,1989,1895,1895,1850,1850,1895,1850,1840,1850,1829,1800,1800,1800,1795,1750,1770,1795,1795,1795,1799,1800,1850,1795,1850,1850,1800,1895,1850,1800,1800,1825,1995,2000,2000,2000,2000,2000,2000,2000,2025,2095,2100,2150,2200,2250,2250,2275,2295,2295,2300,2300,2299,2300,2395,2395,2395,2400,2400,2400,2400,2350,2400,2300,2400,2500,2550,2650,2700,2700,2700,2700,2700,2695,2650,2650,2695
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221,1025,1075,1087,1171,1180,1275,1201,1275,1275,1275,1250,1255,1250,1250,1289,1300,1350,1375,1395,1395,1375,1368.5,1375,1375,1375,1395,1400,1425,1450,1495,1450,1450,1425,1425,1425,1425,1425,1425,1450,1450,1450,1450,1450,1450,1400,1400,1400,1395,1450,1475,1495,1500,1550,1550,1550,1525,1525,1500,1500,1500,1500
"Florida",3,,,,,,,,,,,,,,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1375,1400,1495,1450,1450,1500,1475,1490,1450,1450,1450,1400,1400,1450,1450,1500,1500,1500,1550,1500,1595,1600,1650,1625,1600,1550,1500,1500,1600,1600,1600,1595,1600,1589,1550,1525,1500,1550,1575,1575,1600,1600,1600,1600,1600,1600,1605,1619,1650,1650,1700,1695,1650,1650,1600,1600,1600,1600,1695,1595,1600,1650,1670,1700,1700,1729,1750,1750,1750,1750,1755,1750,1750
"Illinois",4,,1600,1600,1562.5,1597.5,1600,1650,1600,1575,1600,1600,1600,1563,1511,1500,1551,1600,1600,1634.5,1600,1600,1513,1500,1495,1475,1495,1500,1490,1500,1525,1510,1525,1475,1450,1450,1455,1459,1445,1475,1475,1500,1500,1506,1550,1500,1500,1500,1513,1500,1500,1500,1495,1550,1562,1575,1575,1579.5,1575,1549,1500,1519.5,1545,1550,1575,1595,1595,1595,1600,1575,1550,1550,1527,1500,1500,1500,1545,1550,1550,1550,1550,1500,1500,1500,1500,1475,1450,1492,1500,1545,1550,1575,1550,1500,1500,1495,1495,1475
"Pennsylvania",5,,1397.5,1392.5,1400,1400,1395,1395,1400,1400,1350,1350,1350,1250,1242.5,1250,1300,1300,1300,1350,1300,1300,1250,1200,1200,1200,1200,1250,1250,1250,1250,1292.5,1250,1200,1200,1200,1170,1200,1200,1240,1250,1300,1300,1300,1295,1250,1250,1200,1200,1200,1200,1200,1200,1300,1350,1350,1300,1295,1250,1250,1250,1250,1250,1300,1300,1350,1375,1350,1300,1300,1250,1275,1250,1250,1250,1300,1350,1350,1300,1300,1300,1250,1250,1250,1250,1250,1250,1300,1350,1350,1350,1350,1300,1275,1250,1275,1275,1252.5
"Ohio",6,,,,,,,,,,,,,,895,895,995,1000,1000,1050,1000,1000,950,900,895,950,950,945,850,850,875,850,875,870,875,900,850,815,800,850,850,895,875,875,895,975,995,900,1000,925,900,900,900,1000,995,975,995,995,995,975,975,975,995,1025,1050,1050,1095,1000,1000,1000,1000,1025,1000,1000,1000,1095,1100,1075,1050,1100,1050,975,995,975,950,975,950,995,1050,1050,1050,1050,1000,1000,1000,995,995,975
"Michigan",7,,,,,,,,,,,,,,,,,,,,,,,775,799,800,800,800,800,825,800,800,825,825,825,800,800,800,800,825,825,850,850,850,850,850,875,850,850,850,850,850,850,890,895,895,900,900,900,900,900,895,895,900,900,900,900,900,900,925,950,950,940,950,925,950,985,985,950,1000,1000,982.5,1000,1000,995,975,950,995,1000,1000,1050,1072.5,1025,1050,1034.5,1000,1000,999
"Georgia",8,1062,1150,1200,1200,1200,1200,1200,1200,1200,1200,1195,1200,1125,1100,1100,1150,1175,1150,1125,1100,1100,1100,1075,1050,1050,1025,1050,1050,1050,1077,1050,1050,1050,1025,1000,1000,1000,975,1000,1000,1075,1075,1075,1095,1089,1079,1050,1095,1075,1050,1050,1050,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1149,1153,1195,1199,1195,1150,1150,1150,1150,1150,1150,1150,1200,1200,1230,1200,1250,1225,1200,1225,1225,1200,1250,1250,1290,1300,1325,1340,1350,1300,1300,1300,1300,1300,1300
"North Carolina",9,,1050,1000,1050,1100,1150,1150,1150,1150,1150,1100,1150,1050,1000,1000,1050,1050,1050,1075,1050,1050,1000,1000,1000,1000,1000,1050,1050,1075,1075,1050,1025,1000,1000,1000,997,995,995,1000,1050,1095,1095,1098,1100,1075,1050,1050,1050,1050,1050,1050,1050,1100,1100,1100,1100,1095,1095,1095,1095,1100,1100,1107.5,1150,1150,1150,1150,1100,1100,1100,1100,1100,1100,1100,1150,1175,1195,1195,1200,1200,1175,1150,1150,1150,1200,1200,1225,1250,1275,1295,1295,1250,1275,1275,1295,1295,1295
"New Jersey",10,,1650,1650,1650,1695,1650,1650,1650,1600,1675,1650,1700,1680,1700,1700,1800,1800,1800,1800,1800,1700,1650,1700,1700,1700,1700,1750,1800,1800,1850,1800,1800,1700,1682.5,1700,1700,1700,1700,1750,1800,1900,1850,1800,1850,1800,1800,1750,1800,1800,1750,1750,1750,1900,1950,1900,1895,1825,1800,1800,1800,1800,1850,1900,1925,2000,1975,2000,1975,1875,1850,1850,1850,1850,1850,1900,1995,1975,2000,1950,1950,1900,1875,1850,1800,1820,1850,1900,2000,2000,2050,2000,1999,1950,1900,1900,1895,1885
"Virginia",11,,1350,1300,1350,1400,1495,1500,1450,1350,1295,1320,1395,1322.5,1350,1395,1450,1500,1500,1500,1495,1400,1395,1350,1350,1350,1350,1400,1395,1450,1495,1495,1450,1400,1400,1400,1400,1400,1425,1480,1495,1500,1550,1565,1550,1550,1500,1495,1500,1475,1450,1450,1495,1595,1600,1650,1650,1600,1595,1575,1550,1500,1500,1550,1595,1600,1650,1650,1650,1600,1595,1550,1545,1500,1500,1550,1595,1650,1600,1695,1650,1595,1600,1550,1500,1500,1500,1500,1595,1650,1695,1700,1650,1600,1595,1595,1595,1550
"Washington",12,,1325,1395,1395,1400,1450,1500,1595,1575,1500,1500,1470,1400,1400,1450,1450,1495,1500,1495,1450,1400,1395,1350,1350,1350,1350,1375,1395,1395,1395,1400,1395,1395,1375,1350,1345,1301,1313.5,1350,1395,1450,1450,1450,1495,1475,1475,1495,1495,1475,1450,1450,1450,1495,1500,1500,1550,1550,1500,1500,1500,1500,1500,1500,1550,1595,1595,1600,1650,1600,1600,1600,1600,1600,1647.5,1625,1626.5,1650,1695,1750,1750,1750,1729,1710,1695,1795,1800,1850,1945,1975,2095,2100,2100,2095,1995,1995,1975,1990
"Massachusetts",13,,,1450,1515,1562.5,1600,1550,1600,1540,1530,1562.5,1695,1750,1700,1700,1900,2000,2000,2000,1900,1900,1800,1800,1800,1850,1900,1975,2000,2095,2200,2200,2000,2017.5,2000,2000,2000,2100,2100,2100,2160,2250,2385,2400,2400,2300,2260,2200,2250,2300,2250,2242.5,2300,2650,2600,2500,2460,2300,2250,2250,2325,2500,2500,2550,2595,2600,2600,2600,2500,2400,2350,2395,2500,2597,2700,2700,2700,2700,2750,2625,2600,2495,2400,2380,2350,2550,2650,2734.5,2800,2800,2800,2800,2694,2600,2500,2500,2600,2700
"Indiana",14,,1100,1195,1197.5,1250,1250,1250,1250,1100,1107.5,1150,1025,850,840,850,898.5,895,850,800,800,799,795,795,800,825,850,815,795,775,775,795,800,800,800,799,750,750,765,795,810,850,850,900,850,900,900,850,900,900,887,877,895,950,942.5,925,955,950,950,950,945,925,950,999,1000,1025,1000,975,950,925,900,900,895,900,900,975,1000,1017.5,1000,1050,975,975,950,995,995,950,995,1000,1050,1050,1065,1095,1050,1050,1050,1000,995,995
"Arizona",15,,,1450,1400,1350,1350,1300,1300,1275,1280,1275,1250,1195,1171.5,1175,1195,1195,1195,1150,1150,1100,1100,1095,1095,1100,1100,1100,1150,1150,1150,1150,1100,1100,1100,1100,1100,1100,1100,1100,1125,1150,1150,1145,1100,1125,1100,1100,1109.5,1100,1100,1100,1125,1195,1200,1199,1200,1195,1195,1195,1195,1199,1200,1250,1250,1275,1265,1250,1250,1250,1250,1250,1250,1275,1295,1299,1300,1295,1300,1295,1295,1275,1275,1295,1250,1295,1308,1350,1396,1400,1400,1400,1395,1395,1395,1390,1395,1395
"Tennessee",16,,,1050,1200,1300,1350,1300,1200,1250,1200,1200,1185,1000,995,1000,1100,1150,1150,1150,1150,1100,1100,1050,1050,1050,1050,1095,1100,1100,1100,1100,1100,1050,1035,1000,995,969,966.5,990,995,975,1050,1050,1075,1050,1050,1050,1050,1050,1000,1000,1050,1100,1100,1095,1095,1095,1095,1095,1075,1095,1095,1095,1095,1100,1100,1125,1100,1100,1095,1100,1095,1095,1095,1100,1120,1175,1150,1200,1150,1175,1100,1195,1100,1150,1159,1199,1200,1250,1250,1250,1265,1275,1250,1250,1250,1250
"Missouri",17,,1175,1200,1100,1100,1050,1000,1050,1050,1000,1000,1000,875,895,900,995,997,950,925,950,925,925,900,900,950,900,900,925,900,900,900,899,895,875,850,850,850,850,850,850,850,850,850,860,875,875,855,875,850,850,850,850,895,900,900,900,900,895,895,875,885,875,875,875,895,900,900,900,895,895,875,850,875,895,900,900,942.5,950,950,950,900,925,900,950,900,900,900,925,950,950,950,955,975,950,950,950,947
"Maryland",18,,1675,1650,1650,1700,1750,1750,1750,1700,1700,1695,1695,1600,1600,1600,1650,1695,1700,1700,1712.5,1700,1675,1650,1625,1600,1600,1650,1500,1500,1600,1600,1600,1600,1600,1600,1580,1595,1595,1600,1600,1650,1650,1700,1695,1695,1695,1650,1750,1695,1650,1650,1650,1750,1795,1800,1799,1750,1750,1700,1700,1750,1750,1750,1750,1775,1800,1800,1800,1750,1745,1725,1700,1700,1700,1700,1700,1750,1775,1800,1800,1700,1700,1700,1700,1699,1675,1700,1750,1775,1800,1800,1795,1750,1700,1700,1700,1695
"Wisconsin",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1190,1195,1200,1200,1199,1200,1195,1100,1099.5,1095,1100,1195,1195,1195,1200,1200,1200,1150,1100,1100,1100,1150,1150,1150,1200,1195,1150,1100,1100,1097,1100,1100,1125,1185,1150,1150,1095,1195,1099,1100,1100,1100,1075,1125,1200,1200,1200,1200,1200,1200,1150,1100,1190,1150,1150,1125
"Minnesota",20,,,,,1485,1647.5,1795,1672.5,1495,1405,1392.5,1450,1350,1350,1350,1395,1395,1395,1395,1395,1395,1375,1349,1300,1300,1350,1342.5,1325,1350,1362.5,1350,1350,1395,1395,1350,1350,1350,1325,1350,1350,1395,1395,1395,1395,1395,1395,1400,1400,1400,1400,1400,1395,1400,1450,1450,1450,1445,1400,1400,1400,1400,1400,1425,1450,1460,1475,1475,1450,1450,1450,1450,1450,1495,1495,1495,1450,1492.5,1495,1495,1450,1450,1450,1495,1450,1495,1495,1499,1500,1500,1525,1550,1500,1500,1500,1550,1550,1500
"Colorado",21,,1837.5,1850,1600,1445,1350,1300,1300,1250,1200,1200,1295,1300,1292.5,1295,1325,1350,1300,1300,1300,1300,1295,1280,1250,1250,1275,1295,1350,1325,1350,1350,1320,1300,1300,1300,1295,1325,1320,1350,1395,1350,1350,1400,1400,1400,1400,1400,1400,1400,1395,1395,1400,1450,1475,1495,1495,1500,1500,1500,1500,1500,1595,1600,1680,1695,1700,1700,1750,1750,1750,1750,1750,1795,1795,1800,1795,1800,1800,1795,1800,1795,1795,1795,1750,1800,1850,1895,1900,1925,1950,1950,1900,1895,1895,1900,1895,1900
"Alabama",22,,,,,1095,1100,1100,1050,995,950,995,950,990,975,967.5,1000,1050,1000,1000,995,975,970,995,1000,995,1000,1020,850,825,850,850,850,850,850,875,850,850,850,850,875,850,850,850,875,950,925,850,900,850,850,850,850,950,950,989.5,952.5,950,950,945,950,950,900,925,950,950,975,975,950,926,950,950,950,950,950,975,995,980,1000,1000,1000,950,995,995,950,995,1000,1000,1000,1000,1000,1000,995,995,995,995,995,975
"South Carolina",23,,,1195,1200,1200,1250,1200,1200,1180,1150,1145,1100,1095,1095,1100,1150,1195,1100,1100,1145,1100,1100,1100,1100,1100,1100,1150,1100,1150,1150,1100,1125,1125,1150,1100,1100,1100,1100,1100,1150,1150,1190,1200,1200,1200,1200,1195,1200,1195,1150,1150,1150,1200,1200,1200,1250,1200,1200,1200,1195,1200,1200,1220,1250,1250,1250,1250,1250,1200,1200,1200,1200,1200,1250,1250,1250,1275,1300,1250,1295,1250,1250,1250,1225,1250,1275,1295,1350,1350,1350,1325,1350,1350,1300,1325,1300,1320
