"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,1850,1597.5,1600,1600,1650,1600,1600,1550,1395,1360,1386,1350,1395,1310,1335,1375,1300,1200,1000,999,1075,1100,1143.5,1138,1154,1150,1148,1150,1175,1150,1150,1125,1125,1175,1206.5,1225,1250,1199.5,1199,1195,1236,1250,1050,1200,1250,1200,1175,1195,1295,1275,1295,1300,1392.5,1395,1407.5,1423,1450,1425,1495,1525,1495,1580,1550,1605,1615,1635,1595,1595,1695,1709.5,1750,1755,1784,1720,1795,1654.5,1775,1695,1700,1650,1725,1850,1860,1850,1845,1869.5,1915,1911,1920,1900,1877,1895,1895
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1150,1200,1225,1200,1195,1150,1100,1100,1100,1000,1056,1070,1100,1075,1095,1100,1150,1200,1200,1180,1200,1200,1199,1200,1200,1295,1300,1350,1325,1300,1299,1300,1300,1300,1300,1325,1350,1375,1400,1390,1390,1350,1350,1323,1300,1300,1300,1325,1350,1350,1358.5,1399,1395,1350,1355,1350,1350,1350,1350,1350,1400,1400,1425,1450,1400,1400,1395,1395,1390,1375
"New York",3,2000,2145,2300,2200,2375,2200,2000,2000,2100,2000,2300,2100,1900,2000,2095,2100,2100,2200,2200,2200,2100,2100,2075,2050,2100,2100,2150,2199,2195,2200,2200,2200,2200,2200,2200,2175,2200,2200,2200,2200,2225,2200,2250,2295,2279,2295,2300,2295,2295,2295,2295,2300,2340,2300,2275,2295,2300,2300,2300,2300,2310,2350,2400,2420,2450,2429,2495,2495,2400,2400,2400,2395,2390,2396,2400,2395,2375,2370,2350,2350,2350,2383,2200,2300,2400,2450,2475,2495,2500,2500,2495,2500,2450,2400,2400,2380
"Florida",4,,1400,1400,1395,1350,1400,1500,1500,1400,1400,1400,1400,1350,1350,1395,1350,1250,1300,1300,1300,1300,1300,1295,1250,1250,1295,1275,1295,1300,1295,1300,1295,1300,1300,1300,1295,1300,1350,1350,1350,1350,1400,1400,1400,1495,1495,1500,1490,1450,1400,1395,1500,1500,1500,1500,1500,1495,1495,1450,1450,1450,1500,1500,1500,1500,1500,1525,1545,1550,1550,1550,1595,1600,1625,1600,1595,1550,1500,1500,1500,1500,1600,1500,1500,1525,1590,1600,1600,1600,1650,1675,1700,1695,1695,1695,1695
"Illinois",5,1475,1475,1500,1497,1500,1500,1500,1500,1500,1550,1600,1500,1425,1365,1379,1396,1375,1350,1350,1360,1306.5,1285,1294,1275,1250,1250,1300,1300,1300,1349,1395,1381.5,1354,1360,1356,1360,1400,1400,1400,1420.5,1421,1425,1475,1485,1460,1425,1450,1450,1420,1400,1400,1464,1500,1546,1471,1552,1542,1425,1425,1470,1550,1500,1475,1500,1500,1495,1483,1500,1495,1500,1475,1460,1495,1450,1450,1452.5,1450,1444,1405,1417,1450,1470,1450,1430,1425,1400,1425,1435,1450,1450,1475,1495,1475,1450,1443,1450
"Pennsylvania",6,,1375,1225,1200,1200,1200,1175,1125,1100,1200,1125,1000,997.5,1000,1025,1000,1000,1135,1135,1150,1000,950,995,900,922.5,955,950,995,985,989,992,975,950,900,950,985,1000,1100,1095,1050,1000,1000,1000,1100,1095,1000,1022,1000,1000,1042,1049,1175,1117,1000,995,1100,1150,1100,1000,1050,1000,1050,1150,1177,1195,1100,1085,1050,1075,1100,1100,1100,1150,1175,1200,1195,1167,1095,1100,1100,1105,1075,1100,1095,1100,1141,1175,1165,1195,1168.5,1182,1195,1195,1199,1150,1155
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,650,700,750,650,700,700,719,719,719,700,750,844,750,720,725,765
"Michigan",8,950,995,1000,1050,1100,1000,1095,1000,950,992.5,950,850,850,850,900,900,900,900,950,889,750,750,750,750,750,775,775,795,750,750,795,795,800,782.5,750,750,775,800,795,795,780,800,800,800,800,800,800,800,800,800,800,800,800,800,825,850,850,775,825,825,800,825,850,850,850,850,850,850,850,850,850,850,850,850,895,895,880,900,900,900,925,900,895,900,875,900,900,900,940,950,950,950,950,950,925,925
"Georgia",9,,,1250,1262.5,1200,1250,1250,1200,1200,1200,1200,1100,1100,1100,1150,1150,1150,1100,1100,1100,1050,1000,1000,1000,1000,1000,1000,1011,1050,1050,1050,1075,1000,1000,995,965,975,1000,1000,1050,1035,1025,1050,1075,1095,1050,1075,1050,1050,1050,1050,1095,1100,1100,1100,1100,1117.5,1125,1095,1095,1050,1100,1100,1100,1100,1100,1095,1095,1100,1125,1150,1150,1153.5,1200,1200,1250,1200,1225,1200,1249.5,1200,1200,1200,1200,1245,1250,1295,1300,1300,1300,1295,1295,1259,1263,1280,1275
"North Carolina",10,,,,,,,,,,,,,1175,1195,1250,1200,1200,1200,1195,1150,1100,1100,1100,1125,1100,1150,1170,1200,1200,1200,1195,1150,1162,1150,1100,1100,1095,1100,1150,1195,1200,1195,1175,1175,1195,1195,1195,1195,1175,1195,1195,1250,1250,1250,1249.5,1250,1225,1225,1200,1250,1195,1200,1225,1200,1200,1275,1250,1200,1200,1200,1200,1200,1250,1259,1295,1300,1300,1350,1300,1275,1275,1287,1275,1295,1300,1350,1395,1395,1395,1360.5,1350,1350,1345,1349,1350,1300
