"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,19100,15001,15000,14000,14900,14999,14900,15000,15000,15000,15000,14995,14900,14900,13900,11367.5,13900,13000,14000,15000,15000,16000,16000,16000,15000,15000,15000,14000,14750,15000,16000,15900,19000,19100,16900,15000,14050,14000,11000,10500,10100,10100,11000,11000,11500,12850.5,11999,11000,11000,10362.5,10001,10000,10000,10001,11000,14000,14000,14000,14000,13000,13000,13740,12500,11000,12000,11600,14000,14500,15000,15000,15000,14000,14000,14000,12100,10100,11000,12500,14000,14500,15000,14901,14100,11111.5,11100,11000,10100,10000,10992.5
54,"Texas",2,6950,6001,6000,6000,6000,6000,6000,6000,6000,6000,5901,6000,6000,6000,5930,6000,6000,5900,5500,5900,5700,5900,5563,5500,5500,5400,5500,5500,5600,5100,5500,5900,6000,5900,6000,5900,5500,5900,5600,5600,6000,5600,6000,6100,6228,6600,6492.5,6100,6001,6900,6000,6500,7500,7500,8000,9000,9000,9100,9000,8100,8700,8600,7600,7470,8100,9000,9600,9600,9913,9900,9000,8800,8501,8000,7185,7000,7000,7500,8300,9000,9000,9000,8000,7400,7000,7000,6750,6205,7000
43,"New York",3,14000,12000,10990,11000.5,10990,10990,12400,10900,10100,10500,10000,10000,10000,10000,10000,10000,10000,10002,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000
14,"Florida",4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9874,9100,9100,9000,9000,9000,9000,9100,9600,9100,9100,9000,9000,9100,8900,8500,8000,9000,9000,9000,9000,9000,8700,8400,8000,8000,8000,7954.5,8000,8000,8000,9000,8700,9000,9100,9000,8900,9000,9000,9000,9000,9100,9000,9600,10000,10000,10000,9900,9900,9000,8900,8000,9000,9000,9000,9410,9901,9900,9500,9100,9000,9000,8000,7500,8000,7900,7500,9000
21,"Illinois",5,10000,10000,9500,9500,9910,9900,9250,9100,9100,9900,9100,9000,9000,9100,8000,7900,8225,8522.5,8000,8900,8000,7600,7800,7500,7100,7000,6000,6090,6000,6500,6000,6500,6288.5,6400,7000,6100,6100,6500,6000,6000,6400,6300,6400,6000,7000,7000,7000,6800,7000,7000,6400,6100,6000,6900,6000,7000,7000,7100,7000,6100,6500,6000,5900,6000,5600,6000,7000,7000,7000,7000,6500,6000,6000,5500,5100,5000,5100,5100,6000,6375,7000,7000,6400,6000,6000,5400,5000,5000,5000
47,"Pennsylvania",6,9000,8099,7400,7400,7400,7000,7300,7000,7100,7400,7500,7000,7000,7400,7200,7000,6900,6500,6600,6400,6600,6700,6000,6000,6000,6000,5500,6000,5900,5600,5500,5500,6000,5900,6000,5900,6000,5900,5800,5500,5500,5400,5100,5600,6000,6000,5900,5900,5900,5950,5400,5500,5100,5500,5400,6000,6100,6000,6000,5900,6000,5900,5400,5575,5100,5100,5100,6000,6000,6000,6000,5900,5900,5400,5100,5000,5100,5100,5500,6000,6000,6000,6000,6000,6000,6000,5100,5100,5100
44,"Ohio",7,5900,5100,5100,5016,5100,5400,5100,5000,5000,5100,5000,5000,5000,5000,5000,5000,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5100,5000,5000,5000,5000,5000,5000
30,"Michigan",8,8000,7000,7000,6000,6000,5900,5900,6000,6000,6500,6600,6000,6000,5832,5100,5100,5100,5100,5400,5500,5100,5600,5900,5500,5500,5000,5000,5000,5000,5000,5000,5000,5000,5100,5450,5400,5100,5000,5000,5000,5000,5000,5000,5000,5099,5100,5400,5100,5100,5001,5000,5000,5000,5000,5000,5000,5100,5200,6000,5600,5100,5000,5000,5000,5000,5000,5000,5100,5500,6000,6000,5900,5100,5100,5000,5000,5000,5000,5100,5999,6000,6900,6801,6000,5900,5100,5000,5000,5000
16,"Georgia",9,10000,10000,10000,9900,10000,10000,9900,10000,9900,10000,9900,9900,9900,9500,9100,9100,9000,9100,9900,10000,9900,10000,9900,9500,9000,9000,9500,8900,9000,9100,9012.5,8900,9000,9000,9100,8600,8000,8000,7100,7500,7095,6100,7000,7000,7500,7027.5,7500,6000,6100,6100,6000,6000,6000,6000,6500,7000,7000,6900,6100,6100,6000,6000,6000,5900,5900,6000,6000,7000,7400,7660,6500,6900,6910,6200,6000,5900,6000,6000,6399.5,7500,7600,7900,7387.5,7000,7000,7000,6000,5100,7000
36,"North Carolina",10,10000,9900,9100,9100,9000,8200,8500,8100,8795,9100,9100,9000,9000,8100,8000,8000,8000,7900,7748,8000,8000,7900,7700,7600,7100,7000,7000,7000,7000,7000,6300,6500,6900,6500,7000,6900.5,6100,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5600,5425,5500,5476,5888,6000,6000,6500,6500,6000,5949.5,6000,5900,6000,6000,6000,6900,6900,7000,7000,7000,6840,6375,6900,6000,5999,6000,6000,6500,7000,8000,8000,7000,7000,7000,7000,5900,5400,5700
