"RegionID","RegionName","SizeRank","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,43.66,41.88,40.51,38.87,39.11,35.82,33.79,32.74,30.58,28.45,25.68,24.95,23.72,22.73,21.1,18.91,17.47,16.19,16.68,16.36,16,14.75,15.4,14.98,16.08,16.65,15.94,15.73,15.74,15.97,15.47,14.48,14.68,16.04,14.42,12.76,12.41,11.92,11.67,11.86,10.99,10.18,9.7,9.23,8.95,7.97,8.36,7.45,7.49,7.81,8.5,9.53,10.86,11.95,12.86,14.29,16.84,19.7,21.69,20.93,21.58,20.97,18.71,15.19,12.36,10.02,5.58,4.95,4.63,4.16,4.09,4.09,4.14,5.23,6.75,8.2,8.86,8.24,7.12,6,5.17,4.32,3.37,2.94,2.74,2.19,1.72,1.45,1.17,1.13,1.13,1.12,1.2,1.31,1.35,1.61,1.84,1.99,2.57,3.44,4.15,4.54,4.1,3.86,3.35,3.75,4.17,4.82,5.68,6.96,8.63,10.86,14.16,18.9,24.8,31.4,38.64,45.51,52.31,57.72,61.45,65.5,68.7,71.68,75.22,77.77,79.75,81.47,82.97,84.01,85.33,87.06,88.73,90.53,92.22,93.16,94.01,94.59,95.24,95.54,95.78,96.09,96.23,95.45,94.6,93.37,92.16,91.09,90.07,88.45,86.41,83.76,81.04,77.19,72.53,72.91,70.89,67.05,63.21,59.34,56.92,56.21,55.97,56.56,58.06,59.77,62.52,65.92,69.05,72.3,74.79,77.55,79.08,79.52,79.54,78.97,77.74,76.08,74.38,71.52,67.1,62.3,56.24,48.34,40.55,32.85,26.61,21.98,18.03,15.08,12.67,10.39,8.7,7.01,5.71,4.79,4.15,3.74,3.44,3.28,3.16,3.23,3.43,3.64,3.94,4.35,4.67,6.42,8.76,11.19,13.73,16.39,19.5,21.9,23.9,25.37,24.26,22.93,20.14,18.75,17.53,16.74,15.99,15.8,16.56,17.77,18.11,14.52,16,16.5,16.63,8.15,8.4,11.36,10.83,9.89,9.32,9.17,8.96,8.99,8.88,9.25,8.99,8.24,7.2,9.65,7.97,7.74,7.86,8.53,9.08,8.78
43,"New York",2,45.21,43.35,39.71,44.67,38.51,35.5,37.65,37.03,37.04,35.7,37.63,41.9,37.05,39.22,40.12,36.77,40.65,34.9,33.53,32.56,32.35,34.11,31.89,27.18,30.74,29.67,29.8,30.84,31.49,27.06,26.67,27.25,26.25,26.14,27.45,29.8,27.43,27.45,24.48,23.74,25.32,25.32,24.24,23.78,23.79,22.4,20.93,22.91,22.3,20.7,22.03,22.95,23.09,22.13,22.01,22.48,22.31,22.38,21.45,22.1,22.14,21.91,22.79,22.7,20.16,20,14.99,21.51,15.57,15.29,12.82,15.94,13.11,14.71,16.79,18.15,19.35,18.15,12.25,13,13.92,17.51,22.76,22.43,25.45,20.57,19.03,16.2,14.6,14.33,20.49,16.26,19.26,16.76,16.24,14.35,12.65,16.97,13.88,16.45,16.21,15.42,16.55,14.4,14.04,13.5,13.61,14.07,14.92,16.13,16.99,17.53,18.65,19.84,21.14,22.47,24.97,28.05,30.69,32.74,33.91,35.13,37.01,38.41,39.32,41.5,43.14,44.3,45.56,46.32,47.72,48.42,50.14,52.88,54.1,56.99,59.21,60.3,61.39,63.21,63.89,64.69,65.11,64.83,65.81,66.05,66.61,66.26,65.65,65.16,64.69,63.71,62.52,60.68,58.82,58.34,57.14,55.86,53.48,51.82,49.19,47.78,46.59,46.39,47.83,49.5,51.11,52,53.28,53.87,55.78,57.8,59.19,59.73,59.71,59.34,59.13,58.92,58.37,58.13,57.81,57.54,56.13,54.91,52.7,51.13,49.12,46.83,45.33,43.8,42.32,41.35,39.99,39.19,37.59,35.14,32.81,31.1,29.2,28.53,27.38,26.92,27.49,27.3,26.56,25.87,27.67,30.49,33.12,34.95,36.78,38.25,39.47,40.11,40.58,41.28,40.83,39.63,37.57,36.71,36.16,35.75,34.86,34.09,37.42,38.94,32.34,32.17,33.6,34.09,31.35,23.75,23.64,23.63,22.72,23.06,22.73,22.27,21.7,22.91,20.79,19.46,18.13,18.38,20.01,22.78,23.25,22.6,22.1,23.57,25.09,24.48
14,"Florida",3,38.78,37.4,37.05,38.69,36.29,35.14,34.91,35.92,33.17,32.61,31.52,30.11,30.41,30.85,30.89,29.23,28.6,27.66,26.46,25.19,26.49,26.45,27.14,25.25,26.17,24.75,25.9,25.03,25.02,23.67,23.54,23.13,21.89,22.71,20.09,20.73,19.48,19.38,17.82,17.77,17.36,17.7,17.27,16.44,16.53,15.57,16.24,15.62,14.89,15.55,14.98,14.16,14.4,13.54,13.07,13,12.44,12.87,13.3,12.99,13.94,13.41,13.87,13.37,13.12,12.27,8.57,8.71,8.26,8.16,7.64,7.68,7.66,7.78,7.23,7.09,8.25,7.99,6.89,6.78,6.76,6.82,6.04,5.9,5.48,5.03,4.5,4.3,3.68,3.16,2.79,2.45,2.37,2.36,2.1,1.84,1.73,1.5,1.38,1.18,1.09,1.1,1.12,1.21,0.63,0.69,0.77,0.92,1.06,1.29,1.71,2.42,3.76,5.81,9.15,13.71,19.81,26.83,34.58,41.51,47.96,55.21,61.72,67.34,71.91,76.02,79.56,82.28,84.89,87.12,88.79,90.11,91.88,93.56,94.59,95.41,96.09,96.47,96.82,97.12,97.33,97.49,97.74,96.06,94.68,93.42,92.46,91.75,91.2,90.68,90.05,89.04,87.73,85.65,83.2,87.38,88.26,87.21,85.37,83.04,81.16,79.82,78.77,79.32,79.82,80.66,81.35,81.84,81.91,81.56,81.68,82.04,82.19,81.82,80.71,78.81,76.08,73.56,70.19,66.26,62.23,57.84,52.79,47.15,41.72,36.31,32.15,28.5,25.88,23.69,21.85,20.22,18.78,17.33,16.24,15.05,14.09,13.09,12.37,12.03,11.06,10.55,10.32,10.02,9.95,10.03,9,10.18,11.61,13.24,14.74,16.21,18.51,19.98,21.22,22.51,22.42,22.01,19.33,18.05,18.01,18.14,17.44,17.51,18.75,19.69,13.25,13.68,13.84,14.07,14.42,9.08,9.43,10.45,9.85,9.45,8.95,8.64,8.39,8.51,8.68,9.28,9.54,10.31,10.73,13.16,12.88,13.56,15.42,17.16,19.21,19.24
21,"Illinois",4,40,35.9,38.16,37.51,37.64,36.97,37.17,37.2,36.16,37.42,36.29,35.06,36.33,35.27,35,36.02,34.77,33.15,29.72,28.28,29.74,28.57,27.36,26.98,27.42,28.74,27.36,25.74,25.35,24,23.28,22.03,22.54,20.06,19.84,17.92,18.56,19.6,20.26,19.93,20.23,19.27,18.42,18.38,17.59,18.25,18.71,17.98,18.24,17.66,16.81,15.86,14.9,14.97,14.66,14.29,14.57,15.14,15.71,16.77,18.49,18.15,20.11,20.38,20.67,19.29,14.68,14.55,14.32,14.53,14.49,12.91,13.47,11.79,13.11,12.87,9.67,15.36,14.86,14.9,14.72,14.53,15.32,16.89,17.22,19.77,15.61,15.87,33.7,14.29,14.26,15.35,15.37,14.93,14.99,14.21,12.12,13.23,12.52,11.93,10.88,11.26,10.32,10.11,8.11,8.38,8.74,9.04,9.47,10.72,10.96,11.16,11.78,12.51,14.27,15.41,17.43,19.26,21.27,24.08,25.86,28.69,31.58,34.81,37.93,40.32,43.11,45.29,48.43,50.63,54.35,57.46,61.25,64.2,67.43,68.62,70.41,72.4,74.25,75.21,75.78,76.81,77.99,75.6,75.19,73.99,73.36,73.38,72.81,72.2,71.46,71.07,70.27,69.38,67.68,70.92,71.56,71.96,71.33,70.42,70.07,70.35,71.77,73.34,76.02,77.62,78.5,79.28,79.96,79.42,81.27,82.76,83.5,84.11,83.81,83.82,83.2,82.46,81.38,80.41,79.57,78.68,76.82,73.92,70.7,66.95,64.03,60.77,57.33,54.27,51.87,49.19,45.54,42.96,40.81,38.09,34.28,30.55,27.85,25.58,23.4,21.91,21.69,20.77,20.51,19.92,21.4,24.06,27.3,30.56,32.81,34.55,36.65,38.56,40.18,42.76,43.8,44.57,43.61,42.33,41.9,40.28,40.36,40.49,41.6,41.77,34,33.9,33.29,32,31.93,25.33,26.12,27.05,26.49,25.78,24.21,23.88,22.59,20.89,20.83,20.96,23.85,25.48,24.77,28.16,26.98,28.02,29.57,30.56,33.04,35.76
47,"Pennsylvania",5,43.04,42,43.05,44.66,42.06,41.49,44.1,39.67,36.62,33.72,34.52,39.24,37.4,34.75,33.71,30.17,33.94,33.8,31.5,31.99,31.42,30.42,31.23,29.12,29.16,34.36,33.56,36.54,32.79,30.59,31.18,31.82,30.59,32.21,30.09,31.36,32.88,28.98,29.64,27.46,27.91,26.7,26.58,24.98,26.72,25.07,26.22,25.72,28.13,29.37,26.4,26.81,27.7,28.61,27.55,27.46,28.37,28.02,27.14,25.58,24.78,24.1,24.28,24.89,22.52,20.08,19.49,20.37,17.99,20.86,17.94,21.73,21.34,19,19.5,17.76,16.98,16.79,17.41,16.65,16.69,17.04,18.72,18.99,17.61,19.17,17.44,18.28,17.57,15.42,16.14,15.79,16.03,16.23,15.67,14.09,13.7,13.52,14.53,14.4,15.23,15.13,13.35,14.42,11.16,11.35,11.18,11.56,11.9,12.39,12.91,13.64,14.4,15.31,16.56,17.94,20.19,21.82,24,24.89,25.87,26.84,28.11,29.21,30.12,31.88,33.3,34.76,36.21,37.99,40.23,43.56,46.54,49.67,51.24,53.05,54.44,55.89,56.89,58.16,58.32,58.45,57.89,55.45,54.75,54.46,54.84,54.97,55.03,54.96,54.42,53.87,52.92,51.03,50.15,50.73,50.52,49.57,48.51,47.59,47.02,47.56,49.69,52.19,54.73,57.8,59.46,60.45,61.21,62.55,64.52,65.96,67.67,67.92,67.31,66.15,64.96,63.48,62.55,61.21,60.08,58.47,56.47,55.11,53.35,51.58,50.51,50.24,50.26,50.21,49.55,49.41,49.17,48.38,47.63,45.73,43.14,40.34,38.14,36.25,33.12,30.84,29.11,27.57,26.24,25.62,25.31,27.12,29.57,31.58,33.72,35.57,38.19,40.58,43,45.39,45.63,45.53,44.97,44.86,44.82,44.6,43.72,42.4,41.33,40.51,34.97,34.65,33.24,32.3,32.24,29.14,29.3,28.8,27.68,25.7,24.23,22.66,21.68,20.82,21.51,21.84,22.79,23.18,23.54,26.54,25.88,26.51,27.19,28.87,29.62,30.88
44,"Ohio",6,26.04,26.09,26.08,26.66,25.6,27.57,28.28,30.49,25.12,24.45,23.6,26.01,26.83,28.43,26.67,26.54,25.65,24.88,25.14,23.55,24.03,24.55,24.02,20.4,23.17,24.09,23.22,22.21,21.43,21.62,20.89,19.68,21.95,22.61,23.06,25.06,22.71,21.64,22.61,23.17,23.81,23.92,25.96,25.08,25.24,26.33,26.57,27.13,30.33,28.93,31.18,30.81,30.36,29.44,27.09,28.44,28.91,27.33,28.37,27.03,26.76,27.64,28.9,29.02,26.94,26.04,26.82,27.2,26.11,26.41,25.63,24.69,23.85,25.57,22.64,22.81,23.49,20.42,21.44,22.39,21.85,24.26,24.51,27.18,26.03,25.71,26.14,26.7,26.79,28.15,28.64,27.36,26.91,26.55,26.3,26.27,27.23,26.51,27.32,26.87,23.6,25.48,25.57,25.29,22.16,23.17,25.35,27.32,28.59,30.32,32.19,34.22,35.6,36.93,37.72,38.81,40.72,43.28,44.53,46.03,47.42,48.98,50.28,50.84,52.41,53.92,55.46,57.89,60.33,62.24,64.44,66.6,68.6,71.13,72.92,74.5,75.28,76.36,76.84,77.09,77.14,77.15,77.79,76.06,74.84,72.86,71.39,70.03,68.44,66.85,65.63,64.02,61.53,58.78,55.6,57.4,56.43,55.26,53.72,52.45,52.31,53.72,55.02,56.32,59.28,62.06,64.12,65.66,67.54,68.39,69.85,71.13,71.86,71.34,70.7,70.25,68.63,66.86,64.2,61.74,59.52,57.52,55.17,52.54,50.1,47.54,45.46,43.59,42.05,40.89,40.37,39.35,37.88,36.77,35.65,34.62,32.66,30.44,28.99,28.27,26.81,25.06,24.22,23.36,22.75,21.62,22.06,24.44,27.42,29.76,32.03,33.89,35.82,38,39.58,41.37,40.74,40.61,37.93,36.27,34.86,34.31,32.98,32.61,33.34,33.58,27.91,27.27,28.62,28.31,27.83,22.99,22.68,21.48,22.02,21.38,20.14,19.18,17.26,16.32,16.52,16.55,16.94,17.69,17.32,19.19,18.66,19.54,21.02,22.39,25.94,27.43
30,"Michigan",7,26.03,25.6,34.72,32.21,32.93,29.08,28.07,28.78,30.19,31.82,31.09,29.58,29.78,30.2,25.7,26.14,25.32,25.11,23.38,21.75,20.61,21.33,22.91,21.41,22.36,24.44,27.69,24.71,22.65,21.82,22.26,21.46,21.7,20.66,21.06,19.47,20.35,19.41,20.46,23.88,23.62,25.41,23.88,25.03,26.74,24.56,26.24,27.65,28.4,28.69,28.56,23.23,26.78,24.97,25.94,25.53,24.87,25.6,28.47,28.22,31.4,31.35,31.52,34.14,33.39,31.7,27.83,28.3,26.12,28.6,31.77,29.38,26.42,27.64,25.51,24.87,26.6,26.78,25.9,25.36,24.58,25.89,23.88,25.36,27.12,28.85,30.96,30.96,28.89,29.81,30.82,30.62,31.8,31.06,29.69,31.19,31.47,32.99,27.14,30.22,31.83,31.67,32.18,35.22,31.13,32.51,34.5,37.03,38.61,40.91,44.47,47.1,49.79,51.99,54.49,56.8,59.8,61.19,63.88,65.09,66.49,67.14,67.49,69.12,71.38,72.82,73.74,74.95,75.64,77.95,79.07,80.28,81.73,83.59,84.48,85.33,85.55,87.3,88.16,88.49,89.29,89.52,89.65,86.59,84.54,83.03,82.01,81.14,80.51,79.9,79.67,78.72,77.57,75.41,72.9,75.36,75.31,73.57,70.97,68.18,65.95,64.05,62.76,61.73,60.97,60.98,61.41,62.39,63.14,63.71,64.86,65.82,66.28,66.06,65.26,64.45,62.47,60.55,57.75,54.75,52.37,50.18,46.9,42.77,38.92,35.28,33.06,31.48,30.59,29.7,28.9,27.78,26.12,25.24,23.76,22.54,21.77,21.29,19.99,18.78,17.3,17.73,18.23,18.35,18.54,18.7,20.15,23.27,26.01,27.84,29.73,31.64,33.77,35.18,36.2,37.77,38.18,38.16,35.67,34.98,33.81,32.37,30.96,30.46,32.97,34.6,26.34,26.54,26.52,26.57,25.95,19.14,18.49,17.65,17.77,17.02,15.83,15.34,14.62,13.99,14.15,14.28,13.72,14.15,14.47,16.63,15.43,15.86,16.35,17.67,20.46,21.94
16,"Georgia",8,28.46,28.55,27.48,29.55,26.3,25.96,24.4,25.05,23.53,24.47,22.57,24,24.73,25.07,23.23,21.54,23.17,21.91,20.93,19.45,20.25,21.68,22.26,16.43,17.89,18.97,17.72,16.9,16.21,15.88,15.7,15.99,16.94,14.3,16.55,15.85,15.43,15.58,16.68,18.58,17.61,18.76,18.35,18.47,19.52,21.28,20.03,23.59,21.87,21.89,22.71,22.23,21.48,21.87,21.43,21.82,22.35,22.95,25.01,24.08,24.35,25.41,25.14,25.74,25.98,26.07,23.53,24.84,23.03,25.87,25.44,25.14,26.09,26.68,24.63,25.26,26.38,25.98,25.07,24.98,28.2,26.52,26.84,29.13,28.76,26.02,27.14,26.28,26.18,25.22,26.5,26.9,25.89,25.83,23.83,24.22,21.25,24.44,21.34,20.75,21.02,20.76,19.84,19.95,14.31,14.23,14.87,15.33,15.57,16.35,17.18,17.72,17.91,18.41,18.7,19.42,20.39,22.03,24.2,27.09,29.42,30.44,31.14,32.05,33.95,36.09,38.69,40.8,43.75,47.08,49.96,50.62,52.45,56.14,59.96,64.03,67.01,69.31,71.69,74.52,76.35,78.41,80.09,76.26,74.42,73.1,72.59,71.96,71.69,71.29,70.4,68.88,67.54,64.58,62.59,67.15,68.87,69.38,69.06,68.51,68.48,69.4,71.01,72.3,73.47,75.03,75.96,77.02,78.72,78.95,80.2,81.52,82.06,82.06,81.69,81.26,80.34,79.14,76.46,73.63,70.95,69.05,66,62.27,59.5,56.04,53.12,50.45,48.56,47.06,45.96,44.81,42.56,40.11,38.01,35.81,32.58,30.22,27.68,25.85,23.47,21.31,20.29,19.5,19.37,19.21,17.73,18.56,20.76,21.88,23.57,24.79,26.43,28.19,29.75,31.34,31.35,30.64,28.63,28.11,28.38,28.76,28.91,29.41,30.18,30.38,22.44,21.73,21.35,20.97,20.42,14.77,14.57,15.57,16.29,16.87,17.23,18.18,17.94,17.89,17.53,17.6,18.53,19.14,19.13,17.2,16.06,16.67,17.6,19.35,21.44,20.87
36,"North Carolina",9,26.05,26.21,29.09,27.96,26.6,28.74,26.04,25.98,23.97,22.07,22.82,26.46,24.38,24.72,27.38,26.57,25.77,24.96,25.6,25.15,27.63,28.66,26.39,24.55,27.14,28.7,27.43,26.39,25.86,25.85,28.18,29.58,24.99,25.84,26.31,27.34,25.26,25.14,25.41,27.05,26.78,28.73,27.38,25.54,28.08,28.08,28.95,28.57,30.65,30.44,31.26,31.9,32.96,32.16,31.84,36.53,37.39,37.82,36.23,36.37,37.89,39.65,40.08,39.89,39.37,39.56,34.58,31.56,32.88,32.34,32.4,31.99,34.21,32.01,29.24,28.4,29.25,29.62,26.89,28.19,28.03,26.25,27.18,30.37,27.77,28.75,28.54,26.87,25.62,24.86,26.31,25.01,24.3,26.14,24.86,23.83,22.05,21.01,21.52,21.78,21.66,20.72,19.11,19.65,14.49,14.58,14.26,14.55,14.74,14.97,15.26,15.25,15.42,15.23,15.49,16.09,16.9,17.77,18.83,19.57,19.73,20.06,19.93,19.96,19.87,20.35,21.51,22.75,24.73,26.57,28.95,30.91,33.44,35.88,38.16,40.58,42.32,45.02,47.42,49.83,51.88,54.15,55.36,55.36,55.11,55.58,56.65,57.44,57.98,58.39,58.61,58.51,57.93,56.98,56.18,58.28,60.22,60.57,60.9,61.27,62.41,63.84,65.91,67.66,69.28,70.76,71.83,72.3,72.11,71.18,72.57,73.04,72.73,72.48,70.92,69.57,67.73,65.69,62.5,59.58,57.26,55.9,52.5,49.64,47.04,44.45,42.41,40.91,40.73,40.2,39.84,39.64,38.71,37.83,37.54,36.48,34.98,33.29,32.86,32.16,30.68,29.2,28.38,27.57,27.15,26.57,26.11,28.26,31.01,33.1,34.79,36.13,37.67,38.69,40.18,41.8,41.06,39.99,37.8,36.53,35.32,33.73,31.97,31.33,31.18,30.81,24.48,23.76,23.77,23.75,24.4,19.93,20,19.94,19.87,18.74,17.73,17,16.82,16.95,16.45,15.63,15.88,17.02,16.86,16.75,16.37,18.06,19.79,21.24,23.55,23.72
40,"New Jersey",10,42.41,42.38,38.51,41.78,42.65,43.17,41.24,39.95,40.29,36.08,36.54,37.06,35.95,37.71,36.33,33.99,36.51,30.78,30.4,28.71,30.04,31.91,29.49,28.76,29.9,28.1,29.05,27.93,25.67,26.4,26.03,23.5,24.02,21.03,21.16,19.88,20.24,19.6,18.65,18.59,17.89,18.22,17.7,19.58,18.99,19.71,18.72,17.88,16.51,18.68,18.99,19.61,20.25,19.72,19.45,19.94,18.71,20.45,20.95,22.85,25.46,24.56,25.46,24.72,23.99,23.22,6.68,5.87,5.88,6.05,5.51,5.26,5.76,5.58,5.03,5.26,5.19,5.55,5.7,6.34,5.99,6.87,6.55,5.84,5.6,5.19,5.12,4.61,4.43,4.09,4.35,4.41,4.11,4.59,4.03,3.94,3.83,3.51,3.33,3.08,3.26,3.35,3.15,2.94,1.83,1.99,2.2,2.51,2.8,3.41,4.22,5.44,6.77,8.71,11.28,14.36,19.43,25.97,33.43,38.89,42.86,46.88,50.65,54.15,57.17,60.49,63.61,66.04,68.63,68.79,69.34,70.83,72.31,74.98,77.85,80.84,82.78,84.07,84.81,85.45,85.95,86.62,88.18,86.02,84.35,83.04,82.54,81.97,81.55,80.9,79.77,78.24,76.49,74,69.92,73.4,73.5,72.3,69.97,67.34,64.96,63.41,63.7,65.38,67.39,69.66,71.71,73.36,75.37,76.85,79.22,81.17,82.77,83.78,83.91,83.99,83.93,84.22,84.29,83.94,83.49,82.49,81.29,79.41,77.27,74.19,70.91,67.4,64.17,60.54,57.04,54.35,51.42,47.82,45.11,42.62,38.75,36.63,34.51,33.69,30.66,27.44,25.8,23.72,23.22,22.26,18.74,18.94,21,22.46,24.16,25.77,28.56,31.82,34.64,38.16,38.98,39.3,41.24,45.49,48.76,51.23,50.87,49.9,49.47,47.96,32.15,32.59,32.9,30.57,28.46,24.69,25.54,26.03,25.62,25.66,23.01,23.26,21.15,20.53,19.94,19.25,22.07,23.69,22.54,22.16,22.61,23.02,24.46,26.99,29.96,31.63
