"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,93700,92900,92000,91600,91300,91200,91000,91000,91000,91200,91500,91900,92200,92500,92500,92700,93200,94200,95000,96000,97100,98000,98700,99500,100200,100600,101400,102600,103300,103800,104600,105300,105800,106100,106900,108000,109200,110300,111400,112500,113600,114900,116400,117900,119200,120900,122700,124200,125700,127800,130100,132400,134600,136300,137900,140000,142300,144600,146900,148900,150800,152700,154500,156300,157900,159500,161000,162500,164500,166900,169300,171500,174100,176600,179000,181200,183500,186100,189200,192600,195700,198300,200900,203700,206400,208600,210700,213500,217200,221400,225500,229400,233400,237900,243100,248400,253800,260200,266700,272000,276400,280900,285200,289000,292600,296400,299800,303800,308200,312900,317700,322800,327500,331100,333800,336500,338700,339900,340900,342400,343700,343700,343200,342800,342300,341600,340400,338800,336600,334400,333200,332300,330900,329400,328100,326300,324000,321300,318800,316100,311800,306500,301000,295900,290700,286200,281500,276300,271400,267000,263000,259400,255000,250300,246400,242500,237900,232900,228500,225400,223100,220300,217600,214900,216100,219500,220300,217500,216000,215000,213500,211500,209500,207500,205700,204600,203600,202000,200000,197900,195700,193100,190300,187900,186200,184900,183800,182600,181400,180500,179800,179900,180300,181500,183200,184700,186100,188100,190400,192800,195100,197600,201400,207500,214400,220900,227100,233500,239400,244800,249400,252900,255300,257200,259500,262100,263900,266000,268600,271400,273500,275400,277000,278600,279400,280300,282400,285300,288200,290900,293300,295300,297300,299400,301700,303800,305500,307700,311000,314400,316900,318900,320800,322600,324600,326900,329500,332600,335500,337800,340100,342900,345800,348500,351300,354500,357700,360500,364100,368800,373700,376900
43,"New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140500,142100,144000,146400,146100,145000,146700,149700,150400,150400,149700,149200,149900,151900,154100,156000,155500,154300,155200,157700,159200,160500,161500,162800,164400,165500,165600,165400,165500,166200,167500,169300,171000,172100,172600,172700,172700,172900,173600,174600,174300,172600,171600,171900,171600,170700,168700,166700,165400,164700,164000,163600,162800,161600,160800,160400,160100,159500,159200,159000,158500,157700,157300,156700,156200,155800,155200,154200,153500,153000,152300,152000,152000,151700,151300,150900,150700,150600,150600,150300,150200,150500,150600,150600,150300,149800,149000,148400,147800,147200,146500,145200,143700,143000,142600,142100,141900,141600,141100,140400,140100,140100,139700,139200,138600,138200,138400,138900,139400,139700,139900,139800,139600,139200,140000,141400,142100,142200,142400,141800,140500,139800,140300,140600,140500,140300,140000,139900,140100,140000,139800,140000,140600,141100,141300,141500,141700,141800,142000,142300,142900,143300,143200,143300,143600,144400,145500,146700,147400,147700,148400,150500,152900,154900,156600,157800,158800,158900,158400,159000,160700,162000
14,"Florida",3,45400,45100,44700,44400,44000,43900,43900,43900,43900,43900,44000,44100,44200,44200,44300,44500,44500,44600,44800,45100,45300,45500,45500,45600,45800,46000,46100,46100,46300,46400,46300,46400,46700,46800,47100,47400,47700,48000,48200,48400,48600,48800,49100,49300,49500,49800,50200,50500,50800,51200,51800,52300,52500,52700,53100,53600,54100,54500,54900,55300,56200,56800,57300,57800,58300,58700,59100,59800,60700,61500,62100,62900,63600,64200,65000,65900,66700,67700,68600,69400,70200,71300,72500,73600,74300,75000,75900,77100,78400,79400,80400,81400,82400,83600,84800,86000,87400,89500,91600,93600,96000,99000,102000,104600,107400,110400,113800,117400,121100,124600,128300,132200,136200,139700,142900,146000,148400,150200,152000,153600,155200,156400,156900,157300,157300,157000,156400,155900,154900,154000,153400,152800,152000,150900,149700,148300,146700,145000,143400,141600,139000,135900,132800,129600,126000,122800,120000,117000,113700,110500,107300,104100,100400,96900,93900,91000,87700,84400,81200,78400,76300,74400,72500,70600,70500,70900,70400,68600,67500,66500,65400,64100,62700,61500,60400,59800,59100,58000,57100,56900,56700,56400,55900,55600,55700,55800,55700,55500,55400,55500,55800,56000,56500,57200,58000,58700,59300,60100,61000,61900,62900,63800,64500,65300,66400,67400,68500,69700,70500,71200,72200,73300,74100,74800,75700,76600,77500,78300,79300,80100,80500,81000,81600,82100,82400,82600,83300,84500,85700,86700,87500,88500,89400,90300,91200,92100,92800,93300,94200,95500,96800,97900,99300,100900,102100,102900,104100,105100,106000,107000,108000,108800,109500,110300,111000,111600,112700,114000,115000,115800,116300,116800
21,"Illinois",4,83800,83300,82900,82400,82200,82400,82600,82700,83100,83700,83900,84000,83700,83300,83200,83500,83700,83900,84100,84300,84500,84600,85000,85400,85800,86300,86700,87300,88100,88700,89300,89700,90000,90500,91100,91500,92100,93100,93900,94600,95400,95800,96500,97900,99200,99900,100900,102200,103800,105400,107000,108300,109100,109500,110200,111200,112500,113800,114900,115900,117000,118100,119500,121200,123300,125100,126600,127900,129100,130200,131100,132000,132800,133600,134100,134500,135100,136400,137500,138400,139300,140400,141700,143500,145100,146400,147400,148100,148400,149100,149800,150000,150000,150100,150500,151100,151700,152000,152400,153100,153900,154600,155400,156200,157100,158000,159100,160000,160500,161100,162100,163300,164200,165000,166000,166700,166900,167400,167800,167800,167900,168400,169100,169400,169600,169400,169300,169200,169200,169100,169000,169100,169200,169300,168800,168400,168500,168800,168600,168700,168700,167900,166900,166100,165300,164100,163000,161800,160000,157800,155700,153700,151300,148900,146700,144800,142500,139800,137600,136600,136000,135400,134600,133700,133800,134500,134100,132600,131400,130600,129000,126500,124300,123200,122400,121500,119900,118600,117700,116600,114800,113300,112100,110600,108700,106500,104300,102100,100700,99400,98200,97200,96800,96300,95400,94700,93800,92500,91700,91500,91200,91000,91000,91400,92000,92900,93800,94800,96200,97400,98200,98800,99700,100300,101000,101500,101800,102400,103500,104600,105500,106400,107200,107800,107900,107600,107300,107500,108300,108800,108600,108700,109400,110500,111400,112200,112300,112100,112500,113500,114600,115400,116800,118400,119100,119200,120000,120900,122000,122800,123400,124200,124400,124200,124000,123900,124100,124700,125100,125300,125600,126200
47,"Pennsylvania",5,61600,60900,60300,59800,59600,59200,59000,58700,58500,58500,58800,59000,59100,59200,59200,59100,59000,59100,59400,59600,59800,60100,60200,60300,60700,60900,60800,60900,61100,61200,61100,61300,61600,61700,61800,61800,61700,61600,61800,62100,62500,63000,63300,63600,63900,64200,64400,64700,65000,65300,65700,66000,66100,66100,66400,66600,66600,66800,67300,67900,68200,68500,68800,69200,69600,70100,70600,71000,71400,71800,72000,72200,72300,72800,73300,73800,74200,74600,75100,75700,76400,77000,77600,78300,79100,79900,80500,80900,81300,82000,82700,83300,83900,84300,84800,85700,86700,87700,88500,89300,90300,91100,91800,92400,93200,94100,95000,96000,97100,98100,99000,100100,101600,102800,103900,105000,105800,106400,107000,107500,107800,108400,109200,110000,110500,110800,111100,111700,112300,112700,112900,113100,113300,113400,113500,113900,114000,114100,114100,113900,113700,113500,113300,113300,113400,113500,113400,113200,112900,112800,112800,112900,112700,112500,112500,112600,112400,112100,111700,111300,111000,110800,110600,110300,110800,112000,112800,112600,112500,112200,111900,111200,110300,109600,109200,108900,108500,107900,107300,106700,106100,105400,104900,104600,104300,103900,103400,103000,102700,102100,101200,100600,100400,100300,100200,100300,100500,100700,101000,101300,101200,101300,101600,101700,101900,102200,102200,102100,102400,102700,102500,102000,101700,101600,101600,101900,102400,103100,103600,103700,103700,103600,103800,103700,103500,103400,103600,104000,104300,104400,104800,105500,105900,105900,106100,106600,106900,106900,107100,107300,107400,107600,107900,108300,108900,109600,110200,111000,112000,113200,114000,114500,114900,114900,115000,115600,116200,116800,117500,118200,118600,118800
44,"Ohio",6,52100,52000,51900,51900,51800,51600,51400,51400,51500,51500,51500,51600,51600,51600,51700,51900,52000,52200,52400,52700,52900,53200,53400,53600,53700,54000,54200,54400,54500,54600,55100,55400,55700,55900,56200,56400,56700,57100,57500,57800,57900,57900,57900,57900,57900,58100,58500,58900,59000,59100,59500,59800,60000,60300,60400,60500,61000,61400,61500,61500,61400,61600,61900,61900,62000,62300,62500,62400,62400,62600,62800,63100,63400,63500,63600,64000,64400,64500,64600,64900,65200,65500,65800,65900,66200,66500,66600,66600,66700,67000,67400,67900,68000,68000,68000,68100,68300,68500,68400,68500,68700,69000,69300,69500,69500,69600,69700,70100,70500,70500,70600,70800,70800,70800,71000,71200,71300,71200,71300,71200,71100,71000,71200,71300,71300,71300,70900,70500,70400,70500,70500,70500,70700,70800,70600,70300,70100,69800,69500,69400,69300,68900,68600,68300,68000,67700,67600,67400,67200,67000,67000,66900,66600,66400,66200,66100,65900,65600,65200,65000,65000,65000,65200,65100,65200,65600,65700,65300,65000,64800,64600,64400,64100,63600,62900,62600,62500,62300,62000,61900,61700,61900,62000,62100,61800,61500,61000,60800,60700,60400,60100,60100,59900,59700,59600,59500,59400,59500,59600,59600,59400,59300,59500,59700,59800,59700,59600,59400,59400,59700,59900,59800,59700,59800,59700,59900,60200,60400,60600,61000,61400,61700,61900,62300,62400,62700,62900,63000,63000,63400,63800,64200,64400,64600,64900,65100,65100,65200,65400,65600,65800,66000,66100,66200,66700,67200,67700,68300,69100,69800,70200,70500,71200,71700,72000,72300,72500,73000,73800,74300,74400,74500
30,"Michigan",7,66600,65700,65200,65100,65400,65700,65700,65700,65700,65500,65200,65300,65800,66300,66800,67300,67600,67800,68300,68600,68900,69400,70300,71200,71700,72000,72200,72500,72700,73300,74000,74600,74900,75300,75700,75900,76500,77200,77700,78100,78300,78600,79400,80100,80400,80800,81600,82400,83100,83900,84500,84900,85300,85600,85800,86100,86700,87300,87600,88000,88600,89400,90300,91100,91700,92200,92400,92700,93100,93300,93600,93800,94100,94500,95000,95700,96500,97200,97800,98300,98900,99700,100000,100200,100400,100500,100500,100700,100800,100800,101000,101700,102300,102600,103100,103600,103700,103600,103600,103900,104500,104800,104800,104900,105000,105000,105100,105300,105800,106400,106700,106700,106700,106800,106900,107000,106800,106500,106100,105900,105900,105500,104900,104500,104100,103700,103400,102900,102300,101600,101000,100500,99700,99000,98600,98200,97500,96800,96000,95300,94200,93000,92000,91300,90200,88900,87600,86100,84700,83400,82100,81000,79700,78300,77000,75900,74500,73000,71900,71200,70200,69000,68300,67300,67400,68300,68400,67100,66400,65900,65500,64600,63900,63400,62900,62400,61800,61100,60600,60300,60300,60400,59900,59100,58500,58300,58300,58300,58200,58100,58200,58600,59000,59100,59200,59600,60600,61400,62100,62700,63000,63000,63400,64100,64700,65800,66900,67900,69000,69900,70200,70600,71200,71800,72400,73000,73500,74100,74900,75600,75800,75900,76100,76600,77100,77400,77700,78100,78300,78500,79300,80200,80700,81100,81800,82500,82800,82900,83400,84300,84800,85100,85600,86400,87400,88200,89000,89700,90800,92000,92900,93800,95400,97000,98000,98800,99900,100700,101000,101200,101800,102500
16,"Georgia",8,74900,75500,75300,74900,74800,74600,74000,73400,73500,73800,74400,75300,76300,77500,78600,79300,79800,80000,80100,80300,80800,81400,81900,82300,83200,83900,84800,85900,87000,88500,89800,90700,91600,93000,94400,95500,96100,97100,99000,101000,102800,104700,106300,108000,109800,111200,112200,113100,114000,114700,115500,116900,118400,119400,120600,122100,123400,124700,126000,126800,126900,126800,126800,126600,126100,126300,126900,127400,127400,127300,127200,127700,128400,129000,129300,129400,129700,130300,130700,130700,130400,130300,130700,131200,131800,132500,132800,132700,132500,132000,131500,131600,132000,132200,132400,132900,133300,133600,133900,134700,135300,135400,135600,135800,136200,136800,137500,137800,137700,137200,137200,137600,138300,139000,139400,139500,139700,140200,140500,140400,140400,140700,140800,140600,140700,141300,141900,142500,143000,143100,143200,143300,143200,143000,143100,142800,142500,142300,142500,142600,142100,141300,140200,139300,138500,137900,137100,136100,134500,133100,131900,131000,129900,128600,127500,126400,124700,122800,121000,119700,118900,117800,116700,115800,114700,113300,112300,111400,110700,110000,108800,107400,106200,104400,102300,100400,98900,97900,96700,95200,93500,91800,90500,89200,87800,86800,85300,83500,82200,81700,80900,79900,79300,79100,79000,78900,78700,78500,78700,79300,80300,81200,82200,83700,85700,87700,89600,91000,92700,94700,96500,97600,98200,98300,98600,99400,100400,101300,102500,103600,104700,105800,106900,108100,109200,110300,111400,112700,113300,114000,114900,116200,117600,118900,120200,121700,122700,123000,123800,125400,126900,127500,127900,128300,128800,129500,130500,132000,133400,134900,136200,136900,138100,140100,141700,143000,144400,145600,146600,147700,149100,151000
36,"North Carolina",9,57400,57900,58200,58400,58600,58700,58900,58800,58500,58700,59200,59900,60400,60900,61400,61700,62200,62700,63100,63500,64500,65400,66200,66600,66600,66800,67100,67600,67800,68100,68500,68800,69000,69200,69500,69700,69800,69700,69800,70300,70500,70600,70800,71100,71200,71400,71400,71500,71900,72400,72700,72900,73400,73900,74300,74700,75200,75600,76100,76300,76200,76300,76400,76500,76700,77100,77600,78000,78000,78000,78200,78700,79300,79600,79700,80000,80300,80300,80300,80200,80200,80500,80900,81300,81700,82500,83100,83000,83000,83000,83100,83500,84300,85000,85200,85300,85600,85800,85900,86300,87000,87400,87600,87700,88000,88600,89500,90100,90400,90500,91000,91700,92200,93400,94800,96200,97500,98400,98900,99700,100700,102000,103200,103900,104800,105600,106200,107100,107900,108500,109000,109100,108900,109400,110500,111600,112200,112800,113500,113600,113200,113000,113300,113800,114400,114600,114400,114400,114400,114100,113700,113300,113100,113100,113000,112700,112300,111800,111000,110300,110000,109600,109200,108800,107400,105300,104100,103900,103200,102200,101200,100400,99600,98800,98100,97600,97600,98000,97800,96800,95900,95500,95700,95900,95000,93900,93300,92800,92100,91900,91500,91500,92000,92200,91600,91100,91300,91600,91800,92000,92500,92700,93000,93100,93000,93000,93200,93200,93200,93100,93100,93200,93500,93900,94400,94600,95000,95200,95300,95000,94600,94700,95000,95100,95600,96200,96200,96500,97500,98200,98500,98800,99500,99700,100100,100300,100500,100300,100500,100900,101600,102200,102900,103200,104100,105400,106600,107500,108500,109700,111400,112700,113400,114000,114600,116600,119200,120700,120700,121000,121200,121300
40,"New Jersey",10,89700,87200,85500,84100,83000,82400,82000,81600,81400,81700,82500,83200,83700,83700,83700,84000,84400,84300,83900,84100,84600,84700,85100,85800,86300,86500,87000,87500,87600,87800,88600,89100,89300,89700,89800,89900,90600,91700,92400,93200,94100,95100,95700,96200,96700,97100,97900,99100,100600,102000,103600,104500,105100,105800,106900,108300,109800,111000,111500,112300,113600,115000,115900,116700,118000,120100,121800,123200,124500,125800,126800,128200,130000,131700,133600,136100,138600,140300,141400,142600,144400,146400,148500,150500,152500,153900,155800,158200,160400,161800,163800,166500,169200,171600,173700,175400,177300,179300,181500,183800,186200,189000,192600,196000,198600,201000,204400,207600,210300,213500,216800,220000,223300,226500,229200,231900,234600,237100,239300,241500,243800,245600,246700,247100,247300,247300,246700,245500,244800,245000,245000,244500,244700,245000,244300,242600,241200,240300,239200,238000,237400,237300,236700,235500,234200,232600,231400,230300,228900,227200,225800,224400,223300,222300,221200,219800,218300,216400,214600,213300,212400,211400,210000,209200,207000,203100,199900,198200,196100,194600,193700,193300,192600,191500,190000,188700,187100,185600,184600,183600,182500,181300,179600,177800,176400,175300,174600,174000,173100,172500,172100,171300,170600,170300,170100,169300,168400,167700,167200,166800,166900,167500,168500,169500,170300,170800,171400,172200,172600,173500,174500,175100,175700,176100,175300,174600,174900,175100,174600,174600,175000,175100,175000,174900,175300,176000,176000,175800,176000,176200,176400,176400,176100,176200,176000,175300,175400,176600,177300,177600,178600,179600,180100,180900,182400,183900,185600,187600,189400,190300,193400,196800,197600,197400,199000,200700,201800,202700,203600,204600,205300,205700
