"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,265300,264300,262500,260800,259200,258500,258200,258100,258500,259600,260700,261800,262800,264400,266800,268900,270600,272800,275300,277700,280400,283400,286600,288500,289700,291500,295000,298600,301700,304500,308100,311700,314900,317500,319500,321800,324500,327500,330300,332800,335200,337500,339800,342600,345900,349700,353900,357800,362000,366900,371300,375700,379700,383300,387000,391200,395400,400100,405100,410000,414300,417700,420100,422600,425700,428900,432000,434700,437500,440500,443700,447000,450600,454500,458900,464200,470000,475200,480200,485800,491500,496700,502100,508200,513900,519100,524300,530100,537000,544900,553000,561000,569300,578400,588500,599400,611500,624700,637900,650300,661600,671900,681200,689900,698800,708100,717600,727400,737000,746400,755700,765000,773500,780800,786900,792500,797500,801000,803100,804800,806100,806800,806600,805300,803500,801400,799200,796800,793700,791200,789800,788400,785900,782700,778200,772700,766600,759800,752700,745100,736000,725900,714300,700800,687700,675800,664000,653200,644300,637000,630200,623700,617500,611900,606200,599400,591700,583300,576200,572000,569800,567900,566500,565100,565300,565900,565800,565300,564800,564100,563600,561700,558300,555000,551900,548900,545600,542400,539700,537200,533800,531100,529600,528000,525300,523200,522300,521800,520800,520000,519900,521000,523500,526800,530200,533800,537800,541400,545100,550500,557100,562900,568900,577700,588600,599400,609200,618400,626500,633300,638400,642000,645200,649200,653900,658100,661000,663400,666200,669000,671600,674400,676900,679000,681100,683800,687600,691500,695300,698700,701900,705100,708700,712000,714500,716700,718700,720800,723500,726900,730400,733400,735000,735800,737400,740400,743800,747300,751300,755500,759000,762600,767000,771300,774000,776600,780300,784300,789200,795000,800900,805800
43,"New York",2,153600,153600,153400,153300,152900,151900,152700,154500,156400,158500,160500,161000,161500,162100,162900,163500,164100,164800,165200,165700,166100,166600,167300,168600,169900,170800,171100,171200,171500,172100,172500,172900,173200,173500,174200,175300,176400,177500,178900,180600,182400,184200,185700,187300,189200,191300,193300,195200,197200,199300,201300,202900,204600,206400,208200,209700,211300,212900,214700,216400,218100,219600,220300,221000,222400,224300,226000,227500,228700,229900,230500,231200,232400,234000,235500,237700,240700,243800,246600,249200,251800,254500,257600,261200,264300,267800,272800,277100,279800,282000,284500,287200,289200,290300,292100,295000,297800,300300,303200,306700,310600,314100,317700,322100,325300,327500,331000,335900,340300,344500,348600,352500,356200,360000,364000,368000,369900,370300,371400,373900,376500,378900,380700,382600,384400,385500,386000,384800,392200,406500,415100,414800,416000,417000,417200,416600,415600,414600,413500,412400,409600,405700,402800,400700,397900,395300,392500,389300,385600,381700,377900,374600,369700,363700,359200,356300,352900,348800,344900,342400,341000,340000,339100,337900,337300,337100,336300,334400,332600,331200,330100,328700,327000,325400,324500,324300,323500,322200,320900,319900,319700,320600,321100,320500,319500,318600,317800,317000,315500,314000,313500,314000,313500,312300,311600,311900,312900,313800,314200,314700,315200,315300,315300,315900,317000,318100,319100,320300,321700,322400,322600,322600,322800,323100,323300,323600,324100,324900,325700,326500,327300,327800,328200,328900,329700,330100,330100,330600,331500,332500,333500,334700,335800,337000,338000,338700,338600,339000,340100,341200,341900,342600,343600,344800,345600,346500,348000,350100,351800,353400,355700,358700,361500,362800,362200,361200,361200,362400,363900,365100,366500,367600
14,"Florida",3,199900,200600,200200,199800,199700,199300,198800,198800,199100,199500,200800,202800,204300,204900,205400,205900,206400,207300,209200,211000,212600,214300,215900,217200,217600,218300,219300,219700,219900,220900,221700,222500,223500,224700,226100,227800,229100,230300,231600,233000,234600,236400,237900,239300,240700,242000,243500,245500,247900,250100,252400,254700,256500,258000,260100,262100,263700,265500,267700,270000,272000,273900,276000,278600,280700,282200,283800,285600,288000,291000,294500,297500,299900,301100,302900,306000,310000,313200,315600,318500,321200,323400,324900,326200,327800,329900,332100,334100,336700,340000,343200,346500,350800,355300,359500,363000,367500,373300,379900,386400,392900,399900,407400,414700,421900,429900,438100,447300,457900,469200,479900,489700,499600,509100,517600,525300,531000,534900,539400,545100,550100,554000,556300,557300,557000,555800,554700,554000,552100,550100,548900,547600,544900,541400,537300,532100,526300,520200,513900,507600,500100,491400,482300,473700,464800,456300,447700,440000,433800,428500,423100,417900,411800,405300,399600,394500,389100,383200,377800,373700,371000,368700,366500,363600,366100,372000,373100,368300,364800,362700,361600,360300,357500,354500,351900,349500,345800,342500,341200,341400,341100,340900,340800,340600,340100,339200,338200,338200,338100,337700,338400,340700,342600,344400,346800,349000,350700,351900,353400,355600,357300,358300,360000,362900,366300,369100,371500,374100,377300,380700,383600,385800,387800,389600,391500,394000,396900,399700,401200,401800,402300,403600,405100,406900,408400,409600,411300,413900,416300,418300,420400,422600,425000,427400,429300,430500,431600,433000,434800,436700,438500,440300,442600,444700,446500,449100,453000,457400,460200,461500,461500,461200,461100,461700,462100,462600,463800,465300,466900,468300,469000,469300
21,"Illinois",4,224000,223000,222600,222800,223600,224900,225800,226000,226700,228300,229500,230000,230900,231900,232500,233300,234200,234700,235100,235900,236300,237300,238500,239600,240200,240600,240900,241700,242800,243700,244800,246100,247300,248200,249400,250800,252300,253900,255200,256100,257100,258200,259900,261500,262800,264500,266500,268100,269400,271000,272900,274300,275200,276500,278000,279600,281800,284100,285800,287300,289200,291300,292900,294700,297100,299200,300500,302100,303500,304300,304900,306300,308100,309800,311400,313200,314900,317000,319100,321500,323800,326100,328500,331100,333200,335200,338000,340900,342800,344200,345200,346000,347400,349000,350300,351500,353300,355500,357600,359700,361800,363800,366400,369500,372500,374800,377400,380200,382700,384700,387000,389400,391900,394200,396300,397900,399400,401100,403000,404800,406800,408600,409500,410100,411100,412400,413800,414600,415100,415800,416700,417400,417700,417800,417300,416400,415300,414200,413100,411700,410300,408800,406800,403600,400600,398200,396100,393700,391300,388900,387000,385100,383700,382500,381400,379700,377200,374300,371400,369000,367100,365800,364800,364100,361900,358300,355600,354000,351900,350200,348300,346100,343600,340800,337900,335600,334100,333300,332200,330900,329200,326700,324100,322400,321500,321200,320200,318400,317100,315900,314100,312600,312400,313200,314900,316800,317800,317600,317600,318100,318600,319000,320000,321600,323800,326000,328400,330500,332500,334100,335400,336000,336900,338100,339300,340100,340900,341400,342400,344100,345700,346400,346300,346200,346400,347000,347700,348700,350300,351700,351900,351300,350900,350900,351400,352300,353400,353700,354200,355400,356800,357400,357400,357200,357100,358200,360000,361600,363000,364700,366100,366200,365800,366000,366200,365700,365400,365500,366300,366800,366800,366900
47,"Pennsylvania",5,146100,145600,145300,144900,144700,144800,144900,144700,145000,145300,145700,146300,146800,147000,147300,148000,148800,149300,149700,150100,150400,151000,152000,152700,153100,153400,153500,153400,153200,153200,153500,153900,154400,155000,155500,156100,156500,156800,157100,157400,157800,158400,158900,159300,159900,160500,161300,162300,163200,164100,164900,166000,167200,168200,169100,170200,171200,172000,172800,173900,175000,176100,177000,177900,178500,179100,179800,180800,181600,182300,183200,184400,185400,186500,187700,189000,190300,191800,193500,195300,197400,199500,201100,202600,204600,206800,209100,211300,213500,215500,217200,218900,220800,222800,224600,226400,228100,230000,232400,235000,237700,240300,242800,245000,247300,249400,251800,254200,256800,259500,261800,263800,266000,268500,271200,273700,275200,276500,277700,278800,279700,280700,281900,283000,283600,283700,283800,284100,284200,284300,285000,285800,286500,286700,286600,286300,286400,286500,286300,285900,285000,284000,283300,283000,282700,282300,281900,281800,281400,281000,280700,280500,280000,279200,278900,278900,278300,277600,276600,275500,274700,274200,273800,273100,274500,276600,277000,276000,275900,275500,275000,274300,273100,271900,270900,270100,269600,269500,269000,268100,267000,265900,264800,264000,263700,263400,263000,262600,262300,261900,261500,261100,260800,260900,261300,262000,262500,263000,263600,264400,265100,265600,266100,266600,267300,268000,268500,268800,269400,269900,270400,270700,270700,270900,271400,272100,272700,273900,274800,275500,276100,276500,276600,276800,276900,276600,276700,277900,278900,280200,281500,282500,283100,283500,283900,284200,284200,284200,285000,286300,287300,287800,288800,290700,292200,293400,294800,295900,296200,296600,297400,298600,299800,300800,301400,302000,302700,303700,304900,306000,306800,307400
44,"Ohio",6,154400,154600,154500,154600,154900,155000,155000,155200,155600,156300,156800,157500,158200,159000,159400,160000,160800,161400,161900,162300,163100,163900,164600,165100,165500,165800,166300,166600,166800,167100,167600,168200,168800,169300,170000,170700,171400,172200,173200,174000,174600,175100,175500,176000,176600,177300,178300,179200,179900,180600,181300,182000,182500,183000,183700,184400,184800,185200,185500,186100,186500,187000,187500,187800,188200,188900,189400,189800,190300,191100,191700,192200,192700,193200,193600,194300,195000,195800,196400,196900,197400,198200,199000,199900,201000,202000,202900,203800,204900,205900,207100,208700,210000,210300,210500,210800,211400,211900,212300,212600,213000,213400,213800,214200,214800,215300,215800,216500,217100,217300,217800,218300,218700,219000,219300,219700,220000,220400,220900,221200,221100,221100,221200,221000,220700,220700,220500,220200,219600,219200,219000,218900,218600,218300,217900,217600,217300,216900,216300,215400,214400,213500,212500,211600,210800,210100,209500,209000,208600,208400,208400,208700,208800,208800,208700,208700,208500,208000,207500,206900,206500,206200,206100,205600,205600,206000,205800,205000,204700,204700,204800,204700,204300,203600,202800,202100,201500,201000,200500,200000,199600,199500,199400,199300,199200,198900,198600,198200,198000,198200,198600,199100,199800,200300,200600,201000,201700,202000,202100,202400,202800,203000,203300,203900,204300,204700,205200,205800,206300,207000,207700,208300,209100,209700,210000,210400,211200,212300,212900,213200,213600,214200,214700,215000,215100,215400,216300,217500,218500,219400,220500,221700,222800,223700,224800,225800,226300,226700,227500,228200,228500,229100,229800,230200,230700,231300,232500,234600,236800,238200,239200,239900,240400,240800,241200,242000,243200,244300,245200,245900,246100,246400
30,"Michigan",7,166500,163600,161800,162000,162600,163200,163700,164200,164500,164300,164600,165900,167500,168900,170100,171000,171900,172600,173100,174000,175200,176000,176800,178000,179700,181600,183300,184400,185300,186200,187100,187900,189300,191100,193100,195100,196900,198600,200100,201200,202100,203100,204300,205400,206600,208100,209600,211100,212700,214400,216000,217600,219300,220600,221700,223100,224700,225800,226300,226900,228200,229500,230600,231600,232400,233100,234100,235200,235900,236500,237400,238400,239800,241100,242200,243400,245100,247000,248700,249800,250500,250800,251200,251700,252000,252600,253800,255000,255900,256800,258000,259200,260300,261100,261600,262100,262200,262300,262400,262700,263300,263900,264200,264400,265100,266200,267400,268200,268700,269000,269300,269500,269500,268900,268600,268600,269000,269400,269400,269000,268800,268600,268000,267300,266300,265100,264100,262900,261600,260600,260000,259100,257800,256500,255100,253400,251600,249800,247500,244900,242400,239900,237300,234600,232400,230100,227700,225600,223800,222000,220200,218700,217600,216700,215700,214400,212700,210700,208800,207500,206800,206500,206100,206000,205000,202900,201100,200400,199800,199700,199800,199500,199100,199100,199200,198800,198500,198400,198600,198600,198600,198600,198600,198300,197800,197700,197600,197300,197700,199000,200200,201500,203400,205000,205800,207000,208600,210200,212000,213900,215600,216900,218100,219200,220600,222000,223700,225800,227600,229100,230500,232000,233300,234400,235600,237200,238900,240700,242600,244200,245300,246000,246500,247500,248600,249900,251300,252600,253800,255200,256400,257100,257700,258300,258800,259500,260700,261900,263100,264400,265800,267000,268800,270700,272200,272900,273700,275000,277100,279200,281000,282400,283700,285200,286800,288400,290000,291600,293000,293800,294200,295100
16,"Georgia",8,212800,212500,212300,212100,212000,212000,212300,213200,214200,214700,215300,216600,218400,219700,220500,221500,222400,223500,224700,225600,226700,227900,229000,230000,230800,231400,232400,233600,235100,236700,238500,240000,241400,242500,244100,246100,248200,250100,252200,253900,255200,256200,257300,258400,259600,261100,262600,264100,266100,268500,270400,272100,273500,274800,276100,277000,277900,279600,281400,282500,283000,283500,284300,285400,286900,288800,290200,291400,292700,293800,294800,296100,297200,298100,298900,299900,300900,301700,302400,303500,304600,305400,306400,307400,308600,309900,311000,311700,312400,313000,314100,315500,316700,317600,318800,319900,321100,321900,323200,324900,326700,328400,330100,331700,333500,335400,337300,339600,341600,343300,345100,347000,348900,351200,353500,355900,358500,361300,363600,365300,366900,368900,370600,372400,374000,375100,375900,376800,376900,376700,376800,377200,377500,378000,378300,378200,377900,377200,375900,374500,372900,371400,369900,368200,366400,364500,362200,359500,356500,353700,351000,348500,345800,343400,341000,338400,334900,331000,327600,325200,324100,323200,322200,320800,320600,320700,319500,317400,316700,316500,315100,312500,309100,305600,302600,300200,297700,294500,291900,290300,288800,287100,286100,285900,286000,286000,285500,284800,283900,283300,283000,282700,282600,283500,284900,286000,286700,288200,290500,292700,294600,296400,298500,300700,302900,305000,307200,309400,311700,314000,316000,317900,319700,321000,322200,323700,325600,327200,328700,330000,330800,331100,331500,332500,333600,335200,337900,341300,343800,345600,347600,349800,351700,353100,354400,355800,357400,358800,360000,361500,363100,364600,365300,366000,367400,369500,371300,372900,374200,375600,376800,377400,377900,378800,379600,380500,381800,383100,384000,384700,385900,387500
36,"North Carolina",9,188900,189300,189500,189600,189500,189300,189900,190500,190900,191800,193100,194400,196300,198100,199500,200700,202300,203800,205100,206500,208200,209800,211400,212800,213900,215300,217100,219000,220900,222300,223200,223900,224400,224600,225000,226200,227200,227800,228300,228800,229000,229500,230400,231400,232400,233300,234500,235700,236700,237700,239100,240800,242300,243500,244700,245700,247300,249100,250600,251500,252300,252800,253300,253700,254100,254600,254600,255000,255700,256000,256100,256600,256800,256800,256900,257200,257400,257800,258300,259100,259800,260500,261200,261800,262300,263100,264000,264800,265400,266400,267700,268500,269100,270000,270900,271700,273100,274700,275900,277100,278700,280200,281700,283100,284300,285600,287500,289700,291500,293500,295400,297400,299600,301800,303600,305300,307100,308700,310100,311700,313400,315100,316400,318000,320000,321800,323300,325100,326100,326500,327600,329300,330400,331600,332900,334000,335000,335700,336500,337200,337400,337100,337100,337300,337500,337500,337400,336600,335200,333600,332200,331000,329300,327300,325700,324400,322700,320900,319300,318100,317000,316000,315200,313700,315300,319000,319800,317400,315800,314500,313400,312200,311000,310000,309100,308700,307700,306500,305100,303600,302000,301100,300200,299700,299300,298400,297300,296400,295300,294000,293800,295200,296700,297800,298600,299300,299800,300400,301200,301900,302300,302500,303200,304400,305500,306300,307200,307900,308900,309700,310400,311000,311600,312200,313000,313500,313400,314000,314800,315400,315800,316600,317400,318100,318500,319100,319900,321000,322100,322700,322900,323500,324000,324500,325200,326100,326800,327300,328000,329200,330900,332600,333800,334600,335900,337700,339200,340500,341900,343000,344100,345400,346600,347400,348300,349300,350400,351400,352700,353800,354300,354400
40,"New Jersey",10,226100,224000,223000,221900,220700,219900,219400,219400,219300,219300,219900,221200,222300,223000,223800,224600,225300,225700,226300,227500,229200,230800,232600,234500,236100,237000,237600,238500,239700,241300,243100,245000,247000,248800,250700,252800,255100,257200,258900,260900,263300,265600,267800,270200,272600,275600,278700,281900,285000,288100,291400,294600,297600,300600,303600,306700,310300,313600,316400,319700,323600,327000,330400,334300,338800,343200,347300,350500,353600,357300,361600,365500,369600,374000,378600,383400,388200,392900,397000,401100,405800,410800,415400,419800,423900,428300,433200,438000,442300,446600,450800,455100,459100,462700,466600,471200,476600,482400,487800,493000,499000,505500,512000,518700,525500,531600,536600,541500,547100,553200,559000,564600,569100,572500,576600,581200,585100,588100,590800,593200,595500,597400,598800,599500,600200,601100,601200,599900,599000,599500,599900,599500,599600,599300,598300,596500,594100,591500,589700,587800,586200,584900,583200,580900,577800,573900,569800,566000,562500,559500,556900,554400,552400,550800,548800,546200,542900,538800,534600,531400,529400,527600,525600,524500,519800,512400,508000,507200,505200,504100,503600,502400,500000,497500,495600,493500,491800,491200,490100,487000,483600,481100,479500,478100,475800,473000,470300,467800,466000,464900,464200,464000,464700,465100,465100,465400,466600,467800,468300,468700,470200,472200,473500,474300,476100,478000,479700,481500,483800,485800,487100,488000,489900,492100,493600,494700,496200,498100,499900,501400,502700,503300,503400,503700,504800,505900,506400,507000,507900,508200,508700,509700,510100,510200,511600,513100,514400,515500,516800,518200,520200,521200,521500,522000,523400,525800,529000,532400,535200,537200,539300,541300,542200,543000,544200,545500,547100,549800,551500,552200,553100,554600
