"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,157900,157800,157500,157300,157000,156800,156900,157200,157500,158100,159000,159800,160000,160300,160600,161000,161300,161900,162600,163700,165000,166400,168100,168100,168000,169500,171900,173000,174300,175300,176600,177900,179000,180000,181100,182800,184400,185700,187000,188800,190600,192300,194300,196300,198700,201300,204200,206900,209600,212300,215000,217500,219900,222400,225000,227500,230000,232900,235900,238700,241400,243600,245500,247700,250000,252200,254100,256200,258600,261300,264100,267000,270100,273600,277200,281200,285500,290100,294400,298800,303200,307500,311500,315900,320100,324000,327500,331500,336000,341200,346700,352500,358900,365600,372600,380200,388700,398000,407800,417200,425700,433100,439800,445800,451600,457400,463300,469700,476000,482300,489000,496200,503000,509000,514400,519500,523500,525800,527500,529300,530900,532100,532700,532100,530500,528200,525900,523600,520700,518300,517000,515800,513900,511300,507900,503500,498400,492800,487200,481300,473700,465300,455900,445600,435200,425700,416000,407100,399900,393900,388000,382600,376900,371400,366100,360700,354800,348400,342900,339200,336700,334600,333000,331500,332500,335100,336500,336300,336600,336300,335600,334300,332600,330800,329000,327300,325600,323700,321900,320000,317600,315600,313800,311500,309100,307500,306400,305400,304500,304100,304200,304900,306200,308000,310300,313000,316000,318600,321300,324900,329100,333000,337400,343500,350700,358400,366100,373300,379400,384700,389000,392500,395100,397500,400300,403200,406100,408700,411100,413200,415300,417300,419200,420900,422400,423800,426000,428800,431600,434300,436800,439400,442100,444700,447000,449400,451500,453500,456300,459400,462100,464300,467300,470600,473200,475600,478600,481800,484600,487200,490200,494000,498000,502000,505000,507600,510700,514300,518100,522200,526500,529900
54,"Texas",2,,,,,,,,,,,81200,81600,82000,82400,82900,83400,84000,84600,84800,84500,84400,84600,85000,85400,85700,86100,86400,86800,87000,87200,87600,87700,87700,88300,88900,89500,90200,91100,91800,92400,93000,93500,93800,94100,94200,94400,94400,94500,94900,95300,95500,95700,96000,96500,97000,97200,97300,97400,97700,97800,98100,98300,98500,98800,99200,99500,99900,100200,100300,100700,101200,101500,101600,101900,102300,102800,103200,103800,104400,104900,105100,105300,105600,106100,106400,106500,106800,107300,107900,107900,107700,107600,108400,109400,110800,112100,113400,114500,115500,116200,116900,117700,118200,118500,119000,119600,120200,120600,121100,121600,121900,122000,122200,122700,123200,123600,123800,124300,125100,125900,126400,126900,127400,128000,128100,128300,128900,129500,130300,131100,131400,131400,131700,132200,132600,132900,133300,133500,133600,133900,134000,133300,131900,130500,129300,128100,127100,126500,126800,127200,127600,128000,128800,129900,130800,131300,131800,132100,132500,132900,133200,133100,132900,133000,131100,127600,125600,125900,125800,125700,125500,125300,124700,124200,123900,123500,123300,123800,124000,123600,123300,123100,122800,122200,121700,121400,121200,120800,121200,122000,122500,122400,122400,122500,122700,122600,122600,122900,123100,123100,123600,124400,125200,125700,126200,126600,127200,127900,128500,129000,129400,129800,130400,131000,131800,132500,133200,133700,134200,134900,135800,136400,137000,137700,138600,139300,140000,141100,142500,143500,144600,145800,146800,147900,148900,149700,150600,152000,153500,154600,155800,156700,157900,159400,160400,160800,161300,161900,162300,162800,163300,163900,165400,167800,169400,169800,170300,171100,171900,172900,174300,175200
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333800,333600,333400,333200,330700,326800,324400,323900,322600,320700,318400,315900,312500,308700,305200,302000,297200,291300,286800,283900,280600,276700,273200,271100,270200,269400,268900,268600,268200,267700,266900,265500,264000,263000,262100,260900,259900,258800,257700,257000,256000,254600,253600,253100,252600,252400,252100,251300,250200,249200,248000,247000,245800,244300,243500,243600,243300,242700,242500,242600,242800,243100,243300,243400,243400,243300,243300,243500,244000,244600,245100,245900,246400,246800,247300,248000,248500,248700,249000,249200,249400,249900,250600,251600,252700,253300,253600,254200,254700,255000,255500,256300,257000,257600,258100,258800,260000,261400,262400,263100,264000,265100,266000,266600,267300,267800,268300,269000,270100,271700,273700,275800,277900,280300,283300,287600,293700,299300,301800,302400,303400,304700,306100,307000,308100,309100
14,"Florida",4,86300,86600,86700,86600,86500,86500,86400,86700,86900,87200,87700,88200,88200,88300,88700,89100,89300,89600,89900,90200,90500,91100,91700,92200,92400,92600,92800,92900,93200,93300,93500,93900,94400,95000,95600,96200,96600,96800,97100,97500,98200,98900,99500,99900,100600,101400,102300,102800,103500,104300,105100,105800,106500,107200,108000,108800,109600,110500,111200,111900,112900,113900,114900,115800,116700,117600,118500,119600,120600,121500,122600,123900,125000,126000,127000,128200,129100,130200,131500,132700,133900,135400,136700,138000,139300,140500,141800,143100,144500,146000,147500,149100,150700,152500,154500,156500,158800,161400,164100,167100,170500,174000,177300,180600,184300,188000,192000,196600,201700,207200,212900,218500,224000,229200,234100,238600,242200,245100,247900,250500,252400,253800,254400,254400,254000,252900,251600,250200,248500,246700,244900,243000,240800,238500,236100,233200,230100,226900,223700,220400,216800,213000,208900,204600,200100,196100,192200,188400,185100,182100,179100,176200,173200,170200,167400,164500,161500,158500,155700,153300,151400,149800,148600,147200,146300,145800,144900,143500,142300,141100,140000,139000,137700,136200,134600,133500,132400,131300,130400,130000,129300,128600,128000,127200,126400,125900,125400,124800,124700,125100,125600,126200,127000,128000,128900,129600,130300,131300,132200,133100,134000,135100,136400,137900,139500,141100,142600,144300,146300,147900,149500,151100,152300,153300,154500,155600,156600,157600,158500,159400,160400,161500,162400,163500,164600,165600,166700,168200,169800,171300,172800,174400,175900,177400,178700,180000,181500,182900,184200,185400,186800,188200,190200,192300,193900,195200,197200,199400,201300,202800,204000,205000,206100,207500,208800,210000,211200,212800,214400,215600,216500,217300
21,"Illinois",5,113900,114400,114500,113900,113100,112900,113000,113300,114000,115100,115900,116000,115900,116000,116200,116600,117000,117300,117700,118100,118400,118700,118900,119000,119100,119300,119600,119900,120300,120800,121200,121600,121800,122100,122700,123400,123800,124300,124900,125500,126000,126600,127500,128300,128800,129500,130200,131000,131700,132400,133300,134000,134400,134900,135700,136500,137500,138500,139300,140000,140900,141800,142600,143600,144700,145800,146800,147700,148500,149200,149800,150700,151600,152200,152900,153600,154100,154900,156000,157200,158100,158900,160000,161500,162900,164300,165800,167100,167900,168400,169000,169700,170400,171400,172300,173100,173800,174500,174800,176400,178800,180100,180000,180500,181700,182900,184200,185300,186400,187500,188700,189700,190300,191200,192700,194100,194800,195800,196700,197200,197800,198500,199100,199400,200800,202200,202400,202000,202500,202900,203200,203400,203300,203400,203300,202800,202000,201700,201500,201100,200600,200200,199500,198200,197100,196000,194800,193500,191900,190200,188900,187700,186600,185700,184800,183500,181900,180100,178200,176600,175300,174200,173500,173000,171400,168900,166800,165500,164400,163700,162900,161200,159400,158100,157000,155900,154800,154000,153200,152200,150800,149300,147900,146900,145900,144800,143500,142500,141800,141000,140400,140100,140100,140100,140200,140500,140700,140400,140500,140700,140800,140600,140900,141400,141800,142600,143700,144800,145800,146700,147100,147200,147600,148300,148800,149100,149400,149600,149600,149900,150400,151000,151400,151700,152000,152300,152400,152600,153400,154400,154800,155100,155500,155900,156200,156700,157300,157700,158100,158700,159600,160300,161100,162100,162700,163100,163700,164300,165200,166500,167600,168100,168400,168800,168900,168900,169100,169500,169800,170000,170200,170700
47,"Pennsylvania",6,83300,83700,83800,83600,83700,83900,83900,83700,83800,84000,84200,84600,84800,84700,84800,85100,85200,85300,85500,85800,86100,86400,86700,87200,87500,87600,87600,87800,88000,87800,88100,88600,88900,89100,89500,89700,89900,89900,89900,90100,90100,90200,90400,90700,90900,91200,91700,92200,92500,92800,93200,93700,94100,94300,94700,95100,95400,95700,96000,96500,97300,98100,98500,98800,99300,99900,100300,100800,101400,102000,102600,103100,103400,103900,104500,105300,105900,106700,107300,108200,109000,109800,110700,111500,112200,113100,114000,114800,115700,116800,117900,118700,119600,120600,121300,122000,122800,123500,124500,125600,126700,127500,128600,129600,130500,131500,132700,133800,135000,136300,137500,138700,140000,141100,142100,143100,144200,145000,145500,146100,146800,147500,148100,148900,149500,149900,150300,150700,150900,151000,151200,151700,152400,152900,153200,153400,153800,154100,154200,154100,153800,153600,153500,153400,153300,153200,153200,153100,152900,152900,153000,153200,153200,153400,153600,153700,153600,153400,153000,152600,152300,152100,151900,151700,151800,152100,152100,151800,151600,151200,150800,150300,149600,148900,148100,147700,147600,147300,146900,146600,145900,145300,144800,144600,144400,144100,143800,143500,143000,142600,142500,142600,142500,142400,142500,142600,142600,142700,143000,143500,143800,143900,143900,143900,144100,144400,144500,144500,144700,144900,144800,144700,144700,144900,145100,145200,145700,146100,146500,146600,146600,146600,146600,146500,146600,146700,146600,146800,147300,147900,148500,149100,149600,150000,150500,150700,150700,150900,151600,152200,152700,152800,153200,153900,154700,155200,155600,156000,156500,156900,157400,157800,158200,158700,159300,159700,160200,160900,161800,162500,163000,163400
44,"Ohio",7,88100,88300,88500,88700,88800,89100,89400,89600,89700,90100,90500,90900,91200,91500,91800,92200,92400,92700,93300,93700,94000,94300,94600,95000,95300,95400,95600,95800,96200,96600,96800,97000,97300,97800,98400,98900,99300,99700,100100,100600,101100,101400,101700,102100,102500,102900,103300,103800,104300,105100,105700,106100,106600,106900,107100,107500,107900,108300,108700,109100,109200,109500,110100,110400,110600,110800,111100,111300,111700,112100,112500,112600,112900,113000,113200,113700,114000,114300,114700,115100,115400,115700,116000,116400,116900,117400,117800,118100,118500,119000,119600,120100,120500,120700,120900,121300,121600,121800,122000,122200,122500,122900,123200,123400,123800,124100,124600,124800,125000,125200,125500,125700,125800,126000,126100,126400,126600,126800,126800,126800,126900,126900,126800,126700,126600,126600,126500,126200,125800,125600,125600,125500,125500,125200,124800,124500,124300,123900,123500,123000,122600,122000,121300,120700,120000,119500,119000,118500,117900,117600,117300,117100,116800,116500,116300,116000,115500,114900,114500,114000,113700,113600,113600,113400,113300,113500,113400,112900,112500,112400,112300,112200,111800,111300,110500,109900,109500,109000,108500,108200,107900,107600,107400,107300,107100,106800,106500,106300,106000,105700,105600,105900,106200,106400,106600,106600,106900,106900,106800,107000,107300,107500,107700,107800,107900,108200,108500,108800,109000,109200,109500,109800,110000,110100,110400,110900,111300,111500,111800,112100,112200,112400,112700,112900,113100,113300,113600,114200,114700,115100,115600,116100,116700,117400,117900,118300,118500,118700,118900,119100,119600,120300,120500,120700,121300,121900,122400,123200,124100,124900,125600,126100,126500,126800,127300,127900,128500,129100,129800,130200,130500,131000
30,"Michigan",8,87600,87100,87300,88200,87900,87300,87000,87500,87700,87600,87600,88000,88600,89400,90000,90300,90700,91100,91500,92200,93100,94000,94300,94200,94700,95500,96000,96400,97100,98000,98900,99500,100000,101000,102300,103500,104600,105700,106700,107700,108700,109600,110200,110900,111600,112400,113500,114400,115000,115600,116400,116900,117300,117800,118400,118900,119700,120600,121500,122000,122500,123200,123800,124500,125300,125900,126100,126300,126500,126700,127000,127300,127500,127700,128000,128400,129000,129800,130700,131500,131900,132200,132600,133100,133600,134000,134300,134600,135000,135300,135600,136000,136300,136800,137200,137500,137700,138000,138300,138600,139000,139500,139800,140100,140400,140700,141000,141500,141900,142200,142400,142500,142600,142500,142500,142400,142400,142500,142300,142000,141600,141200,140900,140600,139900,139000,138500,138100,137800,137300,136900,136400,135800,135100,134200,133300,132600,131800,130700,129500,128500,127600,126200,124600,123100,121500,119900,118400,117100,115900,114800,113700,113000,112400,111700,110600,109500,108300,107000,105800,104600,103700,103200,102800,101300,99200,98000,97600,96900,96600,96400,95800,95200,94600,93900,93200,92600,92000,91400,90800,90100,89700,89400,89000,88700,88400,88200,87900,87800,88000,88300,88700,89200,89600,89900,90400,91100,91700,92300,92900,93600,94300,94900,95400,96300,97400,98600,100100,101300,102300,103200,104000,104800,105800,106700,107600,108500,109200,109900,110900,111700,112000,112300,112700,113400,114100,114800,115400,116000,116700,117200,117600,118100,118700,119200,119700,120300,121000,121600,122200,123000,123900,124800,125300,125600,126300,127300,128200,129200,130000,131000,131900,132800,133300,133600,134100,134700,135400,136200,136900,137800,138700
16,"Georgia",9,92000,92400,92600,92700,92700,92900,93300,93700,94000,94300,94700,95000,95200,95700,96200,96900,97600,98000,98500,99000,99500,100000,100600,101300,101700,102100,102600,103400,104000,104700,105500,106000,106500,107400,108100,108500,109000,109800,110600,111500,112100,112700,113500,114100,114800,115800,116900,117800,118400,119100,119800,120400,121200,121800,122600,123200,123700,124100,124900,125600,126300,127000,127600,127900,128100,128400,128600,129000,129600,130200,130500,131000,131400,131900,132100,132500,133100,133600,133800,134300,134700,134800,135000,135600,136100,136600,136900,137100,137500,138000,138300,138800,139400,140000,140300,140800,141200,141300,141600,142100,142600,143200,143900,144200,144700,145500,146200,146600,147200,147900,148400,148900,149600,150300,151100,151800,152300,152700,153300,153700,154000,154600,155200,155700,156000,156200,156500,156700,156500,156200,156100,156100,156300,156500,156600,156600,156600,156500,156100,155800,155600,155200,154500,154000,153100,151900,150900,149900,148900,148100,147200,146500,145600,144700,143800,142900,141800,140500,139400,138600,137700,136800,136200,135700,135400,135100,134600,133900,133400,133000,132000,130800,129600,128100,126600,125200,123900,122600,121400,120200,119200,118200,117500,116800,116100,115400,114600,113900,113200,112900,112700,112500,112500,112700,112900,113200,113600,114200,114900,115400,116000,116700,117400,118100,118900,119600,120500,121400,122400,123400,124100,124700,125400,126000,126600,127300,128000,128700,129100,129500,129900,130400,130900,131500,132000,132700,133700,134700,135600,136600,137800,138700,139500,140400,141200,142200,143100,143700,144300,144900,145800,146700,147300,147700,148300,149200,150100,150900,151900,152600,153200,153900,154600,155300,156100,157100,158300,159400,160200,160800,161400,162100
36,"North Carolina",10,91700,91900,92000,92300,92600,92900,93100,93400,93700,94300,94900,95400,96100,97000,97700,98200,98800,99500,100100,100600,101200,101800,102500,103200,103800,104200,104900,105700,106300,106600,107300,107900,108400,108600,108800,109400,109900,110400,111100,111600,111900,112300,112600,112600,113100,113700,114200,114600,115000,115500,115900,116100,116300,116900,117600,118200,118500,119100,119700,119900,119900,120100,120200,120200,120400,120600,120800,121000,121100,121300,121500,121900,122100,122200,122300,122800,123200,123200,123400,123900,124300,124500,124500,124700,125100,125600,125700,125800,126000,126300,126600,126900,127200,127600,128000,128400,128600,128900,129400,129900,130400,130900,131500,131900,132200,132700,133500,134100,134600,135100,135700,136500,137300,137900,138500,139200,140100,140700,141200,141600,142200,142800,143400,144000,144600,145100,145500,145900,146400,146900,147300,147900,148400,148900,149300,149800,150400,151000,151200,151200,151200,151100,151100,151200,151200,151300,151300,151100,150700,150400,150200,149900,149600,149300,149000,148700,148200,147700,147200,146600,146100,145700,145400,145200,144900,144300,143600,143100,142600,142100,141500,141000,140500,140000,139600,139100,138900,138700,138300,137800,137300,137100,137000,136900,136600,136000,135500,135300,135100,135100,135300,135400,135300,135200,135200,135200,135300,135500,135800,136000,136200,136400,136700,137000,137300,137700,138200,138500,138800,139200,139500,139600,139800,140200,140500,140900,141200,141300,141300,141400,141500,141600,141700,141700,141900,142100,142500,143000,143600,144300,145000,145600,146000,146300,146700,147300,147700,148000,148400,149000,149800,150600,151100,151700,152500,153300,154200,155200,156100,156600,157500,158800,159700,160300,161000,161800,162700,163700,164600,165400,166300,166900
