"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,95100,94900,94500,94400,94400,94200,94100,94100,94200,94400,94800,95400,95800,95800,95800,96100,96300,96700,97100,97500,97800,98400,99400,99100,98900,100300,101700,101500,101700,102300,102700,103100,103700,104200,104700,105600,106300,106600,107100,108000,108700,109400,110300,111400,112400,113700,115000,116100,117300,118500,119500,120800,121700,122500,123800,125100,126400,127800,129000,130300,131700,133100,134500,135800,137000,138300,139500,140600,142100,143600,145200,147000,148900,150600,152300,154400,156900,159400,161700,164200,166800,169600,172200,174800,177300,179700,182300,185000,188000,191200,194700,198400,202400,206600,210800,215500,220700,226500,232700,239100,245400,251300,257100,262500,267400,272100,277400,282700,287900,292900,298200,303900,309400,314300,318800,323200,326700,328900,330500,332100,333800,335000,335600,335300,334100,332200,330100,327800,325000,322400,320400,318800,316800,314500,311700,308100,304000,299600,295000,290000,284500,279000,273000,266100,258500,251000,243800,237200,231200,225800,220500,215400,210000,204700,199700,194700,189500,184100,179100,174900,171600,168600,166000,163800,163200,163600,163500,162700,162700,162600,162000,161300,160500,159700,158600,157600,156700,155400,154100,153200,152100,150800,149500,148200,146900,146000,145300,145000,144700,144400,144400,144600,144700,145300,146300,147500,148700,150100,151800,153400,155300,157300,159700,162600,166100,170000,174300,178600,182700,186800,190600,193800,196600,199200,201800,204300,206700,208900,211000,213000,214700,216100,217300,218600,219500,220300,221700,223500,225200,226900,228600,230100,231600,233000,234500,235900,237300,238600,240100,241900,244000,246000,247800,249800,251600,252900,254400,256200,258000,259500,261100,263400,266100,268700,271100,273200,275400,277200,279300,281400,283500,285100
43,"New York",2,60600,61500,61700,61800,61900,61700,62100,62900,63800,64200,64700,64900,65000,64800,64800,65000,65100,65200,65200,65200,65100,65200,65600,66300,66500,66400,66200,66100,66000,66000,65900,65700,65500,65600,66000,66300,66400,66500,66600,66700,66800,67000,67300,67400,67500,67900,68300,68700,69000,69200,69400,69500,69700,69900,70000,70100,70300,70400,70700,71500,72000,72000,71900,72100,72500,72600,72700,73100,73300,73000,71600,70100,69800,70300,70400,70300,70300,70600,70900,71100,71400,71500,72000,72600,72900,73700,75300,76700,77400,78000,78700,79300,80100,81200,82100,82500,82800,83100,83400,83800,84500,85200,85600,85900,86000,86100,86600,87400,87900,88200,88600,89100,89500,90000,90700,91400,91400,91200,91300,91900,92400,92800,93000,93300,93600,93900,94100,94100,95700,98600,100500,100900,101700,102200,102400,102900,103700,104300,104500,104900,104900,104400,104200,104600,104800,104900,105000,105200,105100,104900,104800,104700,104300,103700,103400,103300,103100,102700,102300,101900,101700,101700,101900,101900,102700,103600,104000,103600,103600,103800,103900,103700,103200,103100,103300,103500,103300,102700,102300,102200,102400,102700,102900,102800,102400,102000,101600,101200,101000,100700,100600,100600,100500,100200,100100,100300,100500,100600,100500,100600,100800,100800,100900,101500,102100,102400,102600,102900,103500,103900,104100,104000,103900,103800,104000,104100,104000,103900,103900,104000,104200,104300,104300,104300,104100,103800,103600,103700,103900,104400,105100,105900,106600,107000,107200,107400,107600,107800,108000,108100,108300,108500,108800,109100,109400,109900,110600,111500,112000,112800,113800,114600,115000,115500,115300,114900,114900,115500,116200,116800,117400,117700
14,"Florida",3,52500,52300,52000,51900,51900,51800,51800,51800,52000,52300,52500,52600,52800,53000,53000,53100,53300,53600,53700,54000,54300,54600,54900,55000,55100,55400,55500,55500,55600,55700,55900,56200,56300,56400,56700,57000,57400,57800,58100,58300,58500,58700,59000,59200,59500,59800,60100,60600,61000,61200,61600,62000,62200,62600,63000,63300,63700,64200,64800,65300,65500,65900,66400,66800,67400,68200,68700,69200,69800,70400,70900,71500,72000,72400,73000,73700,74300,74700,75300,76200,76900,77600,78400,79300,80000,80800,81600,82400,83100,84000,84800,85600,86400,87400,88400,89500,90700,92200,93900,95900,97900,99800,101800,104100,106500,108900,111300,114000,117300,120600,123700,126800,130100,133300,136300,139000,141300,143300,145200,147100,148800,150100,151100,151800,152100,152000,151800,151400,150600,149400,148500,147600,146600,145400,143900,142100,140300,138500,136600,134600,132400,129700,127000,124400,121700,119100,116500,114000,111600,109300,106900,104800,102300,99800,97400,95300,93000,90700,88300,86000,84200,82600,81100,79300,78700,79100,78700,77000,75600,74600,73800,73000,71900,70700,69700,68900,68000,66900,66000,65500,64800,64100,63400,62700,62200,61900,61600,61200,61000,60800,60900,61200,61600,62000,62300,62700,63000,63400,63700,64200,64800,65300,65800,66500,67200,68000,68600,69400,70400,71100,71900,72600,73000,73400,74000,74700,75100,75700,76400,77000,77400,78000,78600,79400,80100,80600,81200,82000,83000,84000,84900,86100,87200,88100,89000,90000,91000,91900,92800,94100,95500,96900,98300,99700,101000,102300,103700,105200,106600,107800,109000,110300,111600,112900,114000,115000,116300,117500,118800,120000,120800,121200
21,"Illinois",4,63700,63800,63900,64000,63800,63100,62400,62100,62600,63700,64200,63900,63600,63500,64000,64200,64100,64200,64600,64800,64900,65000,65000,64900,65100,65400,65600,65900,66200,66500,67000,67400,67700,67900,68400,68900,69100,69200,69400,69700,70000,70200,70500,70800,71000,71100,71400,71700,72000,72400,72800,72900,73200,73600,74100,74200,74300,74400,75100,75800,76200,76300,76400,76300,76500,77000,77200,77300,78000,78700,78900,79100,79500,79700,79800,79800,79800,79900,80100,80600,81100,81200,81600,82100,82400,83000,83500,83700,83600,83500,83700,84400,84800,85400,85800,85700,85900,86200,86500,87500,89000,89800,90200,90600,90600,90400,90500,90800,91200,91100,90900,91500,92200,92300,92100,92400,92900,93400,93700,94200,94500,94500,94500,94100,94700,96400,97600,97400,97400,97100,96900,96800,97100,98500,100500,101400,100700,99400,98800,98400,98600,99500,100100,99700,99500,99200,98800,98500,98300,98100,98200,98300,98900,99600,100000,100000,99900,99400,98700,98200,97900,97800,97300,96900,94700,91200,89100,88900,88400,88000,87500,86400,85300,84500,84000,83400,83100,83000,82700,82000,81100,80000,79100,78500,77800,77300,76900,76400,75900,75700,75300,74700,74300,74000,73900,73800,73600,73500,73300,73200,73400,73500,73400,73400,73700,73900,74000,74300,74600,74600,74400,74200,74200,74300,74400,74600,74700,74600,74500,74500,74700,75000,75100,75200,75500,75800,76100,76200,76500,76700,76700,76900,77200,77300,77500,77800,78200,78500,78800,79000,79300,79600,79900,80300,80700,80800,81100,81800,82300,82900,83300,83600,83600,83600,83600,83700,83700,83800,83900,83800,84000,84300
47,"Pennsylvania",5,46800,46600,46600,46500,46200,46000,46100,46100,46200,46200,46300,46300,46500,46600,46600,46600,46800,46900,46800,46800,47200,47400,47500,48000,48400,48400,48300,48300,48200,48200,48300,48300,48300,48500,48800,48900,49000,49300,49600,49700,49600,49600,49700,49700,49700,49800,49900,49900,49900,49900,50000,50300,50500,50600,50700,50700,50900,51300,51700,51900,52200,52300,52400,52400,52700,53300,53800,54300,54400,54500,54800,55100,55300,55400,55400,55500,55900,56200,56500,56900,57400,57700,57700,58000,58400,58800,59200,59800,60400,60700,61000,61300,61500,61600,61900,62200,62600,63100,63500,63900,64400,64900,65500,66000,66200,66500,67000,67500,68000,68800,69500,70100,70600,71200,71600,71900,72100,72300,72500,72700,72900,73200,73700,73900,73900,73700,73600,73700,74000,74600,75100,75300,75200,75100,75200,75500,75500,75600,75700,75600,75600,75500,75500,75600,75900,75900,75800,75600,75600,75700,75800,75900,75900,75900,76000,76100,76000,75900,75700,75700,75600,75300,75000,74900,75100,75200,75100,74900,74800,74600,74400,74200,73800,73700,73700,73800,73800,73700,73500,73500,73400,73200,72800,72600,72700,72600,72500,72300,72200,72000,72000,72000,71900,71900,71800,71700,71700,71700,71900,72100,72500,72600,72400,72300,72300,72500,72700,72700,73000,73100,73000,73000,72900,72800,72800,72800,72800,73100,73300,73400,73500,73700,73600,73500,73400,73600,73700,73900,74300,74600,74800,75100,75500,75700,76000,76100,76200,76300,76600,77100,77400,77500,77900,78700,79000,79100,79400,79700,80000,80500,81200,81600,81900,82300,82600,82700,83000,83500,84200,84600,84600,84700
44,"Ohio",6,53500,53400,53500,53800,53900,53900,54000,54300,54500,54500,54600,54700,54900,55200,55400,55600,55900,56200,56400,56700,56900,57300,57500,57800,57900,58100,58300,58400,58500,58800,59100,59300,59600,59900,60200,60400,60600,60900,61300,61500,61800,61900,62000,62300,62500,62600,63000,63400,63600,63800,64000,64300,64500,64700,65000,65200,65400,65500,65800,66100,66200,66500,66700,66800,66800,66900,67200,67300,67500,67900,68000,68100,68400,68400,68500,68800,69100,69300,69500,69500,69500,69600,69900,70000,70100,70500,70900,71100,71200,71500,71800,72100,72400,72500,72600,72900,73100,73300,73400,73500,73800,73900,73800,74100,74500,74600,74600,74700,74900,75100,75300,75400,75400,75600,75700,75800,75700,75800,76100,76200,76000,76000,76000,75900,76000,76100,76000,76000,76000,75800,75600,75500,75600,75400,75000,74800,74700,74600,74300,73800,73500,73200,72800,72500,72100,71700,71200,70900,70400,69900,69600,69400,68900,68400,68000,67700,67200,66600,66200,65900,65500,65400,65400,65200,65300,65600,65700,65300,65000,64800,64800,64500,64100,63600,62900,62500,62200,61700,61200,61000,60700,60300,60100,59900,59600,59300,59100,58800,58600,58500,58400,58300,58400,58600,58700,58500,58400,58400,58400,58300,58100,58100,58200,58300,58300,58300,58400,58500,58600,58700,58800,58800,58700,58700,58800,58900,59000,59100,59200,59400,59600,59700,59700,59900,60100,60300,60400,60600,61000,61300,61400,61600,61900,62200,62400,62700,62900,63000,63100,63200,63300,63400,63600,64100,64500,64900,65300,65700,66200,66900,67300,67600,67900,68300,68500,68800,69300,69800,70200,70600,70700,70500
30,"Michigan",7,54000,53600,53700,53900,54400,55400,55900,55900,56000,55800,55400,55000,54800,55100,55300,55600,55900,56000,56300,56800,57100,57200,57400,57500,58000,58500,58700,58800,58800,58700,59100,59600,59900,60400,61000,61100,61200,61800,62500,63000,63300,63500,63400,63500,63900,64600,65300,66300,67100,67300,67300,67400,67500,67600,67800,68100,68500,68800,69200,69600,70000,70300,70600,70900,71300,71500,71600,71600,71600,71700,72100,72400,72500,73000,73400,73800,74300,74900,75300,75700,76000,76200,76200,76300,76400,76400,76600,76900,77300,77700,78100,78200,78400,78800,79300,79400,79400,79600,79900,80100,80200,80400,80600,80900,81200,81400,81400,81600,81900,82000,81900,81900,82000,82100,82200,82300,82300,82300,82100,81600,81100,81000,81200,81300,81100,80600,80400,80200,79800,79500,79400,79500,79300,78700,78000,77600,77200,76800,76400,75800,75200,74900,74300,73400,72500,71900,70800,69500,68600,67900,67200,66500,65900,65400,64800,64100,63300,62500,61500,60200,58900,57700,56600,56000,54700,52900,51500,50900,50300,49800,49200,48700,48300,47700,47000,46300,46100,46100,46000,45700,45500,45200,45100,44900,44800,44600,44500,44300,44300,44400,44400,44500,44500,44500,44500,44700,44800,45000,45400,45400,45300,45400,45600,45800,46100,46500,46900,47500,48100,48400,48600,48900,49300,49800,50100,50100,50200,50500,50800,50900,51100,51500,51900,52000,52300,52400,52200,52400,52700,52800,53000,53200,53300,53700,54100,54400,54800,55300,55800,56300,56600,57000,57700,58500,59100,59400,60000,60800,61600,62200,62900,63500,64000,64300,64400,64700,65400,65900,65900,65900,66000,66000
16,"Georgia",8,57200,57200,57200,57300,57400,57800,58000,58000,58000,58300,58700,58700,58900,59500,60000,60200,60500,60900,61200,61600,62000,62200,62300,62700,63000,63200,63400,64000,64400,64500,64700,65000,65400,65800,66100,66400,66800,67000,67400,67900,68400,68700,69000,69300,69600,70000,70600,70900,71100,71400,71900,72300,72300,72400,72800,73400,73800,74100,74500,74900,75400,75900,76200,76400,76600,76800,76700,76900,77200,77500,77700,77900,78100,78200,78300,78500,78800,79200,79600,80000,80200,80400,80600,80700,81000,81300,81900,82300,82500,82800,83000,83100,83300,83600,83900,84300,84700,84800,84700,84900,85300,85700,86000,86500,86900,87200,87500,88000,88400,88900,89200,89500,89900,90400,90800,91100,91600,92000,92200,92300,92500,92700,92900,93300,93600,93800,94000,94300,94200,94100,94000,94000,94000,94200,94300,94500,94400,94400,94300,94000,93500,93300,93300,93000,92400,91600,91000,90400,89700,89000,88300,87700,87000,86200,85400,84600,83700,82800,82000,81200,80700,80100,79500,79000,78900,78800,78300,77800,77800,77800,77400,76600,75300,74200,73100,72300,71300,70200,69400,68600,67800,66900,65900,65000,64300,63700,63100,62400,61600,61000,60700,60300,60000,59700,59500,59400,59200,59300,59600,59900,60200,60600,60900,61100,61300,61600,62300,63100,63700,64000,64300,64800,65300,65600,65900,66300,66700,66900,67100,67400,67900,68200,68200,68200,68400,68800,69100,69400,69800,70400,71000,71500,71900,72400,73000,73600,74200,74500,74800,75300,75800,76100,76300,76600,77000,77800,78300,78700,79000,79400,79600,79900,80300,80800,81400,82300,83200,83900,84300,84600,85000,85500
36,"North Carolina",9,54700,54800,54800,55000,55200,55100,55000,55000,55100,55400,55700,56000,56300,56600,57000,57300,57500,57900,58400,58800,59100,59400,59800,60000,60100,60200,60600,61100,61400,61600,61900,62300,62600,62900,63200,63400,63600,64000,64400,64600,64800,64900,64900,65200,65400,65500,65600,65800,65900,66100,66300,66500,66800,67200,67700,68000,68300,68500,68800,68900,69200,69500,69700,69700,69800,70000,70200,70400,70600,70700,70800,71100,71200,71200,71200,71400,71500,71500,71600,71700,71900,72300,72500,72900,73400,73500,73500,73400,73600,73900,74000,74000,74100,74200,74300,74300,74400,74900,75300,75400,75400,75500,75700,76000,76000,76300,76700,76800,77000,77200,77300,77700,78200,78700,79000,79300,79700,79800,79900,80100,80200,80100,80400,80800,81000,81100,81100,81100,81200,81100,81200,81400,81600,81900,82200,82500,82700,82800,82800,82900,83100,83300,83400,83500,83700,83900,83900,83900,83800,83800,83800,83900,84000,84000,83900,84000,84000,83900,83700,83400,83200,83300,83200,83000,82900,82900,82800,82400,82000,81800,81500,81200,81000,80900,80500,80100,79800,79500,79200,79000,78700,78500,78600,78500,78200,78000,77900,77800,77700,77600,77600,77300,77200,77100,76900,76900,76900,76700,76800,76800,77000,77200,77400,77400,77500,77400,77300,77500,77700,77700,77500,77500,77600,77600,77800,78200,78300,78200,78200,78100,78000,77800,77600,77500,77600,77700,77800,78000,78400,78900,79200,79300,79600,79900,80200,80700,80900,81000,81100,81400,81800,82200,82500,82600,82900,83500,84400,85200,85700,86100,86500,87100,87500,87900,88400,89300,90400,91100,91400,91700,91600,91500
40,"New Jersey",10,88500,87900,87400,86800,86300,86100,86100,85900,85800,86000,86400,86700,86900,87000,87300,87500,87600,87600,87600,87800,88100,88500,89000,89400,89700,89900,89800,89800,89900,90100,90300,90600,91000,91300,91800,92400,92800,93100,93600,94300,95000,95600,96200,96600,97200,97700,98400,99000,99500,100200,100800,101400,102200,103100,103900,104600,105500,106400,107100,107700,108500,109600,110700,111900,113000,114000,115000,116000,117100,118200,119200,120400,122000,123500,124900,126300,127700,129000,130400,132000,133800,135500,137100,139100,141100,143000,144700,146500,148500,150400,152200,154100,156000,157700,159700,161600,163500,165500,167700,169900,172200,174700,177500,180300,182800,185200,187700,190200,192500,194900,197600,200300,202800,205300,207700,209900,212100,214000,215700,217200,218500,219900,220900,221500,222100,222400,222400,222000,221400,221100,221100,221000,221100,221100,220700,220200,219700,218900,218200,217400,216400,215400,214300,213200,212100,210600,209100,207700,206200,204900,203600,202500,201200,200000,198900,197700,196300,194700,193100,191600,190400,189100,188000,187300,186600,185600,184400,183100,181800,180700,179700,178500,177000,175500,173900,172400,171300,170400,169400,167900,166400,165100,164000,162700,161500,160200,159100,158000,156800,155900,155100,154700,154500,154100,153600,153300,153200,153200,153100,153000,152800,152600,152800,153200,153500,153700,154000,154400,154800,155200,155600,156100,156500,156400,156400,156600,157100,157400,157600,157900,158100,158200,158100,158000,157900,158000,158200,158100,158300,158800,159300,159800,160300,160400,160500,160600,160600,160700,161100,161400,161700,161700,161900,162600,163300,164000,164500,165400,166600,167800,168400,168700,169200,169700,169900,169600,170100,171500,172700,173300,173700,174000
