"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,136100,135300,134700,134300,134100,134000,133900,133900,134200,135000,135900,136600,137100,137600,137900,138400,138900,139600,140600,141800,143100,144600,146100,147100,147400,147600,148900,150800,152400,153400,154700,156100,157400,158600,159700,160700,162000,163600,165400,166900,168500,170200,172200,174500,176700,179000,181400,183900,186600,189600,192200,194500,197000,200000,202800,205700,208500,211600,214800,217800,220600,223000,224900,226600,228400,230300,232200,234200,236200,238400,240700,243000,245600,249000,252500,256200,260400,264400,268000,271500,275000,278200,281500,284700,287500,290200,293200,296600,300300,304500,309000,314100,319700,325600,331800,338700,347000,356100,365000,372800,379300,385000,389800,393900,398100,402600,407300,412400,417400,421800,426300,431400,436500,441000,445300,449200,451700,452900,453800,454800,455400,455400,455200,454400,453100,451500,449500,447100,444300,441600,439800,438200,436600,434800,432200,429300,426100,422200,418400,414500,409100,402700,396100,389200,382100,375600,369100,362900,357700,353400,349400,345700,341600,337400,333500,329700,325100,320000,315800,313000,311400,309900,308600,307000,309200,313600,315600,314300,313600,312400,310700,308800,307000,305000,302900,300900,298700,296100,293800,291800,289600,287300,285200,282700,279700,277100,275400,274300,273200,272400,271600,271300,271600,272900,274900,277200,279800,282500,285800,289700,293400,296800,301400,308400,316700,325400,334000,341300,347100,352300,356600,359800,361600,363300,366000,369200,371900,374000,376100,378200,380300,382000,383700,385400,387000,388800,391500,394600,397600,400500,403100,405600,408200,410900,413300,415400,417200,419500,422200,425000,427500,429300,430600,432100,434800,437500,439900,442500,445200,447800,450200,453000,456400,459700,462300,465000,468500,472000,476100,481300,486300,489700
43,"New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460900,468300,464000,441600,414200,398500,400500,414700,418500,409300,400000,397700,401200,406200,410900,418000,420600,419100,421700,429100,434400,436000,434000,432700,434100,434000,435000,441200,442900,439000,436700,439300,442200,443800,440500,438600,441800,445800,448300,452000,451600,447200,444900,445600,444300,442700,445600,450600,451000,447100,444900,444300,441500,436500,432600,431200,429700,428000,424400,420300,417500,415900,415200,413900,423300,439700,448400,447200,449000,451000,451700,450700,449600,450000,451700,454600,456100,455300,454700,456100,456700,456900,457300,457800,458200,459200,458600,457200,453700,450200,450700,453700,454900,454600,454200,455500,458800,461200,463600,466500,468000,468500,469500,472000,475500,479700,483700,488700,494100,500100,505300,509900,513800,517600,520700,523100,525400,527800,529100,528900,529400,529800,530200,532700,535100,535800,538600,543500,547200,552700,561300,570300,577000,582300,587100,591300,594000,597000,600700,604300,607400,610200,613100,616500,623000,629700,634600,640500,646800,652600,659800,668900,684500,708300,728800,740900,747500,755900,768300,778600,784500,790000
14,"Florida",3,70600,70800,70800,70800,70700,70600,70500,70600,70600,70800,71200,71500,71700,71900,72100,72300,72500,72600,72900,73100,73400,73800,74400,74800,75000,75100,75000,75000,75100,75300,75600,76000,76300,76600,76900,77300,77700,77900,77900,77900,78200,78600,79100,79500,79800,80300,80900,81500,81900,82100,82700,83500,84100,84500,84900,85500,86000,86700,87400,88200,89000,89900,90800,91800,92800,93700,94600,95600,96700,97800,98900,100000,100900,102000,103300,104800,106200,107600,109100,110600,112000,113400,114600,115800,117300,119000,120500,121800,123100,124500,125900,127400,129100,130800,132700,134700,137000,139400,142100,145100,148200,151400,154400,157800,161300,164900,168700,173200,178100,183000,188100,193100,198100,202900,207500,211600,215300,218300,220800,222900,224600,225600,225900,225600,224900,223900,222400,220700,218800,217200,215700,213900,211500,209200,206900,204500,201900,199100,196100,193000,189500,185600,181500,177300,172900,168800,164900,161200,157800,154600,151300,148000,144500,141000,137800,134800,131400,128100,124900,122300,120200,118500,117000,115700,115300,115500,114600,112700,111400,110600,109600,108300,106900,105500,104300,103200,101900,100500,99800,99800,99700,99200,98400,97600,96800,96300,96100,95700,95600,95600,95900,96600,97400,98300,99200,100100,101100,101900,102600,103700,105200,106700,107800,109000,110400,111800,113400,115000,116600,118000,119400,120700,121900,122900,124000,124900,125700,126700,127800,128700,129500,130500,131400,132300,133100,133800,134800,136400,138000,139500,141100,142600,143800,144800,145700,146700,147600,148500,149400,150500,151300,152100,153700,155400,156700,157700,158800,159800,160700,161400,162000,162600,163000,163500,164000,164800,165800,167100,168500,169400,169700,170100
21,"Illinois",4,106700,106700,106700,107100,107400,107500,107500,107800,108300,108900,109200,109400,109700,109900,110000,110200,110700,111200,111400,111500,111700,112200,112900,113200,113200,113600,114200,114900,115400,116000,116700,117400,117600,118000,118500,119100,119800,120700,121400,122200,123100,124100,125100,126100,127000,128000,129300,130900,132400,133800,135100,136000,136500,137000,137800,139100,140900,142200,142700,143400,144700,146700,148500,150200,151800,153400,154400,155500,157200,158700,159800,161100,161900,162000,162000,162000,162400,163400,164900,166100,167000,167700,169000,170500,172000,173700,175900,177600,178500,179100,179200,179200,179100,179700,180300,181100,181800,182100,182100,182900,184400,185800,187100,187900,188800,189700,191200,192600,193800,195100,196700,198100,198900,199300,200000,200900,201700,202600,203600,203800,203900,204100,204300,204700,205300,205700,206000,206600,207000,207300,207500,207600,207400,206800,206300,206200,206100,206400,206800,206800,206900,207100,206700,205800,204800,203400,201500,199900,198700,197400,196300,195200,194400,193700,192900,191900,190500,188900,187100,185600,184400,183900,183400,183300,181300,178400,176000,174600,173500,173100,172200,170100,167800,166000,164400,162400,160900,160400,159500,157800,155600,153800,152000,150300,148900,147000,144600,142400,141200,140000,139200,138100,137500,137100,137100,136900,136700,136000,135500,135500,135600,135200,134800,135600,136700,137400,138500,140100,141100,142100,142600,142800,143200,143900,144200,144300,144400,144500,144700,145100,146300,147600,148600,149500,149800,149800,150200,151100,152500,153700,154100,154500,154800,155100,155500,156100,156300,156100,156300,157300,158500,159000,160200,161800,162800,163400,164900,166600,168500,170300,171300,171400,171500,172200,173000,173000,172500,172200,171800,171200,170900,171500
47,"Pennsylvania",5,53600,53500,53300,53100,53100,53000,53000,53000,53000,53100,53200,53200,53200,53200,53200,53200,53100,53100,53200,53200,53100,53400,53900,54300,54400,54400,54400,54200,54100,54100,54400,54600,54700,54800,54900,55100,55200,55200,55100,55300,55500,55600,55500,55700,56000,56200,56400,56600,56700,56800,57000,57200,57300,57500,57700,57600,57700,57800,57900,58100,58400,58600,58700,58900,59200,59700,60200,60700,61300,61900,62300,62500,62900,63400,63900,64500,65200,65700,66200,66800,67200,67600,68200,68800,69400,70300,70900,71500,72200,72700,73200,73900,74800,75600,76400,77400,78100,78900,80000,81100,82300,83400,84800,86200,87600,88800,90200,91700,93100,94600,96400,98200,99600,101100,102800,104300,105800,107000,108000,109000,110300,111700,113100,114000,114800,115400,115800,116100,116100,116300,116600,117300,117900,118300,118700,119400,120200,120700,120600,120000,119200,118800,118800,118700,118300,117900,117500,117300,117100,117100,117100,117100,116900,116800,116800,116800,116400,115800,115600,115700,116100,116400,116600,116700,118300,120000,120400,120200,121000,121600,121700,121000,119400,118000,117800,118000,117600,117000,116600,116400,116200,115600,114600,113900,114100,114500,114500,114000,113100,112400,112100,111700,111000,110900,111000,111000,110700,110500,110500,111000,111900,112300,112300,112500,112900,113100,112900,112400,112200,112200,112000,112100,112300,112500,112700,113000,113300,114000,114600,114900,115000,114900,115200,115400,115300,115000,115000,115500,116100,116700,117600,118600,119400,120000,120300,120400,120300,120500,121400,122200,122500,122400,123500,125400,126700,126900,127300,127600,128200,129100,129800,130200,130500,131100,131400,131600,132600,134100,135200,135800,136400,137000
44,"Ohio",6,83100,83700,84200,84700,85000,85200,85400,85600,85600,85800,86000,86200,86300,86300,86400,86800,87300,87600,87900,88400,88900,89200,89600,89800,90000,90200,90300,90200,90300,90500,90700,90900,91300,91600,92100,92700,93200,93400,93600,93900,94200,94600,94700,94800,94800,95200,95800,96300,96700,97200,97800,98300,98600,98700,99000,99300,99700,100000,100200,100600,100900,101200,101400,101700,101900,102100,102400,102700,103100,103500,103800,104000,104300,104500,104700,104800,105200,105700,106100,106400,106800,107300,107600,107900,108300,108900,109300,109800,110200,110600,110800,111200,111800,112100,112400,112700,113000,113200,113400,113700,114200,114600,115100,115800,116200,116500,116700,117100,117500,117700,117800,118000,118000,118000,118200,118400,118300,118400,118700,118800,118600,118700,118800,118800,118700,118700,118600,118200,118000,117800,117700,117500,117200,116900,116700,116600,116400,116100,115900,115600,115300,114800,114200,113600,113100,112600,112200,111900,111500,111000,110700,110500,110300,110000,109700,109300,108800,108200,107500,106700,106300,106100,105900,105500,105100,104700,104300,103600,103000,102800,102500,102100,101600,100900,100000,99300,98700,98100,97400,96900,96900,96900,96500,96100,95700,95200,94500,93900,93400,93000,92900,92900,92600,92500,92500,92500,92500,92500,92300,92000,91900,92000,92100,92400,92600,92800,92900,93200,93400,93700,94200,94800,95000,95200,95700,96400,96700,96800,96900,97400,97500,97200,97100,97400,97900,98200,98400,98800,99200,99900,100600,100900,101300,102000,102800,103200,103400,103500,103800,104300,104800,105300,105800,106100,106400,107000,107700,108600,109600,110500,111100,111400,111600,111600,111800,112400,113500,114700,115900,116800,117800,118700
30,"Michigan",7,114300,114300,114700,115700,116000,115600,115500,116200,116800,117400,118200,119200,120000,120400,120700,121000,121900,123100,124000,124700,125500,126300,127000,127700,128400,129200,130000,130600,131200,131800,132700,133600,134300,135200,136500,137400,138100,138900,139900,140600,141600,142800,143700,144300,145200,146500,147700,148800,150000,151200,151800,152400,153000,153900,154800,155800,156500,157000,157300,157800,158300,158900,159800,160800,161400,161800,162200,162400,162600,162900,163300,163700,164200,164800,165400,165900,166300,166700,167100,167900,168700,169100,169400,169600,169700,169700,170000,170600,171300,171600,171900,172200,172600,172900,173400,174000,174400,174600,174600,174500,174600,174800,175000,175000,175000,175100,175400,175700,176100,176600,176600,176600,176500,176400,176200,175800,175400,175200,174900,174200,173700,173300,172700,172000,171100,170200,169500,168500,167400,166400,165400,164400,163400,162500,161500,160500,159200,157800,156100,154700,153600,152400,150700,148600,146500,144400,142500,140800,139100,137300,135600,133900,132400,131100,129800,128400,126700,124900,123200,122100,121400,120700,120000,119700,119000,117900,116700,116100,115800,115700,115300,114500,113700,113100,112900,112600,112200,111800,111600,111500,111300,111300,111400,111400,111500,111900,112100,111900,112200,112800,113500,114300,115400,116400,117300,118300,119300,120100,121000,122100,123200,124300,125500,126900,128200,129400,130600,132200,133800,135500,137000,138500,139800,141000,141900,142900,144000,145500,147100,148400,149200,150000,150500,151100,151800,152600,153600,154700,155400,156200,157100,157600,158300,159100,159700,160200,160900,161600,162400,163300,164100,164900,165900,166900,167700,168200,168700,169500,170600,171800,173000,174200,175200,176200,177100,178100,179200,180100,181300,182500,183300,184100
16,"Georgia",8,89300,89600,89300,89100,89000,88800,88800,89000,89300,89800,90600,91100,91400,92100,92700,93500,94300,94900,95500,96000,96300,96800,97500,98100,98600,99100,99600,100400,101500,102700,103500,104300,105500,107000,108400,109400,110100,111300,113100,114800,116000,117200,118500,120000,121400,122600,123600,124600,125800,127300,128400,129200,129700,130400,131100,131800,132300,133100,134200,134700,134800,135400,135900,136400,137000,137700,138300,138800,138900,139000,139400,140100,140700,141000,141200,141700,142300,143000,143300,143800,144400,144900,145000,145200,145700,145900,145900,146000,146000,145800,146000,146300,146600,147100,147700,148400,148800,148900,149300,149900,150300,150700,151000,151300,151900,152400,152900,153300,153700,154200,154700,155300,155900,156800,157600,158400,159000,159800,160300,160500,160800,161500,161800,161900,162200,162500,162800,163100,163100,162900,163000,163100,163200,163300,163400,163300,163000,162400,161900,161200,160400,159600,158800,157800,156900,156000,155100,154100,152600,151000,149600,148400,147100,145900,144600,143200,141400,139400,137500,136200,135400,134900,134300,133600,133200,132800,132300,131600,131200,130800,129900,128200,126400,124900,123500,122000,120200,118300,116600,115000,113300,111600,110300,109100,107900,106900,105700,104800,104100,103700,103400,103400,103400,103100,103600,104800,106000,106700,107500,108300,109100,109900,110700,111400,112500,114100,115500,116600,117900,118900,119400,120000,120900,121700,122200,122900,124000,124800,125000,125200,125700,126500,127300,128100,128800,129700,131000,132500,133900,135400,136900,138300,139500,140800,142200,143400,144400,145200,146200,147500,148800,149900,150700,151500,152300,153200,154500,155900,157000,158000,159000,160100,161400,163000,164400,165600,166800,167900,169000,170000,171400,173100
36,"North Carolina",9,85800,86400,86600,86700,87100,87600,88000,88000,88200,88900,89600,90200,90900,91600,92300,92900,93300,93600,94100,94700,95600,96500,97100,97500,97800,98000,98500,99200,99900,100700,101600,102500,102900,103000,103300,103900,104600,105200,105800,106500,107200,107500,107600,107800,108200,108600,108900,109200,109500,109800,110100,110500,110600,110800,111200,111700,111800,112100,112900,113500,113300,113500,113700,113700,113700,114000,114000,114000,114100,114400,114700,114800,114800,114900,115000,115300,115400,115300,115400,115800,116300,116500,116600,116600,116800,117200,117300,117300,117600,117900,118300,118600,119000,119500,119700,119900,120200,120400,120500,120800,121400,121900,122300,122600,123000,123400,123900,124600,125200,125700,126200,127000,127700,128500,129200,129800,130400,131000,131500,132100,132800,133400,134100,134800,135600,136500,137200,137800,138400,139000,139700,140300,141000,141800,142400,142800,143100,143300,143500,143600,143400,143200,143100,142900,142800,142800,142700,142400,141700,140900,140100,139400,138800,138100,137500,136700,135700,134600,133500,132800,132300,131900,131600,131300,130700,130000,129300,128700,127900,127200,126600,125900,124900,124000,123200,122600,122100,121700,121100,120500,120000,119500,119100,118800,118400,117900,117200,116700,116400,116300,116200,116000,116100,116500,116800,116700,116800,117200,117500,117600,117900,118200,118600,119100,119500,119800,120100,120400,120800,121100,121200,121400,121500,121800,122000,122300,122300,122300,122400,122600,122700,122800,123100,123300,123300,123300,123600,124300,125000,125400,125600,125900,126200,126400,126600,127000,127500,127900,128400,129100,129900,130700,131300,131900,132900,134000,134900,135500,136100,137000,137900,138800,140000,141100,141800,142600,143800,144900,146100,148200,150100,150900
40,"New Jersey",10,95400,94000,92800,91900,91200,90700,90100,89500,89400,90000,90700,91200,91400,91500,92000,92700,93300,93700,93900,94000,94300,94800,95300,96000,96800,97400,97900,98100,98500,99200,100000,100700,101300,102100,102800,103300,103900,104800,105500,106400,107500,108400,109400,110700,111500,112300,113200,114400,115400,116600,117900,119200,120100,120900,122300,124100,125500,126600,127700,129000,130200,131400,132600,134000,135700,137600,139500,141200,142900,144800,146600,148400,150400,152900,155500,157800,160200,162500,164400,166400,169000,171600,174000,176900,179600,181800,183900,186100,188400,190500,192400,194400,196700,199400,202000,204100,206700,210100,213500,216800,220500,224300,227700,231100,234800,237800,240900,244300,247700,250800,254300,257800,260800,263300,266000,268700,270900,272800,274400,275700,277100,278200,279000,279700,279900,280000,279900,279400,278300,278000,278100,278000,277900,277200,275700,273700,272000,270600,269500,268000,267200,266900,265900,264400,263100,261900,260600,259400,258400,257600,257200,256900,256600,256400,256300,256100,255500,254700,253500,252200,251000,249700,248300,247800,246100,243200,240900,240100,238600,236800,235300,234300,233200,231700,229900,228100,226700,225500,223900,221700,219800,218400,217300,216500,215900,215300,214400,213000,211700,210900,210200,209800,210000,210300,210500,210700,210900,211300,211400,211400,211800,212400,212600,212800,212800,212700,213000,213800,214200,214500,215300,216200,216800,217300,217700,217600,217900,218400,218700,218500,218400,218500,218900,219200,219500,219900,220500,221200,222000,222900,223900,224600,225100,225100,224900,224800,225200,225900,226500,226700,226800,226700,226400,226400,227200,228500,230300,232800,234700,236100,238200,241100,243300,244400,245400,246600,247600,248500,249200,249500,249800,250300
