"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,162000,161900,161300,161000,160900,160800,160800,161200,161500,162100,162900,163800,164200,164200,164300,164700,165000,165700,166400,167300,168400,170000,172000,171500,171100,173100,176000,177000,178300,179200,180500,181900,183200,184300,185500,187200,188700,190100,191700,193600,195200,196900,198900,201000,203200,206000,208900,211800,214600,217100,219400,222000,224500,226900,229200,231800,234300,237000,239900,242800,245500,247800,249800,251800,254000,256500,258600,260700,263200,266000,268900,272000,275400,278900,282500,286500,291100,296000,300800,305300,309800,314100,318400,322700,327100,331100,335000,339200,344000,349200,354600,360700,367200,373900,381100,388900,397400,406800,417000,426900,435800,443600,450800,457300,463400,469400,475400,482100,489000,495800,502600,510000,517100,523300,528900,534100,538300,540900,542800,544800,546600,547800,548400,548000,546300,543900,541300,538800,536000,533800,532500,531100,529000,526300,522600,517700,512200,506200,500400,494100,486200,477200,467600,457000,446000,435900,425800,416400,408800,402400,396200,390300,384200,378300,372800,367100,360900,354200,348500,344700,342100,339900,338300,336900,337700,340000,341300,341200,341400,341300,340500,339400,337900,336200,334300,332700,331200,329500,327500,325500,323400,321600,319600,317500,315300,313500,312300,311500,310800,310300,310700,311700,312800,314400,317100,319900,322500,325300,328500,332300,336400,340300,344800,350900,358200,365900,373600,380500,386600,392000,396300,399400,402000,404600,407300,410100,413000,415700,417900,419900,422100,423900,425500,427100,428800,430400,432700,435500,438200,440800,443700,446400,449100,451800,454300,456600,458500,460700,463500,466600,469400,471900,475100,478600,481500,484100,487300,490700,493700,496400,499100,502600,507000,511400,514400,516700,519500,523000,526700,530500,534400,537700
54,"Texas",2,,,,,,,,,,,82000,82300,82600,82900,83500,84300,84900,85200,85300,85100,85200,85700,86100,86300,86600,86800,87000,87200,87500,88000,88400,88400,88400,88800,89400,90100,90800,91600,92300,92800,93300,94000,94800,95000,95000,95100,95200,95400,95900,96100,96200,96400,96800,97400,97800,98100,98200,98100,98200,98400,98600,98900,99300,99800,100200,100400,100500,100600,100800,101200,101700,102000,102300,102800,103300,103700,104200,104700,105400,105900,106100,106400,106600,106800,107000,107400,107800,108300,108600,108600,108600,108700,109200,110200,111700,113200,114500,115500,116400,117200,117800,118600,119200,119500,119900,120700,121300,121700,122100,122500,122800,122900,123200,123500,123800,124200,124700,125300,125900,126600,127200,127600,128000,128500,129000,129400,130000,130600,131100,131700,131900,132000,132600,133100,133600,134000,134100,134200,134400,134700,134800,134300,133000,131300,129800,128500,127600,127100,127300,127800,128400,128800,129600,130700,131700,132100,132500,133100,133400,133600,133600,133700,133500,133600,131600,128100,126300,126800,126600,126200,126000,125900,125600,125100,124600,124000,123900,124300,124600,124400,124200,123900,123400,122800,122500,122100,121700,121500,122000,122800,123200,123100,123200,123300,123400,123500,123500,123500,123600,123700,124100,125000,125700,126100,126700,127500,128100,128500,128900,129500,130100,130600,131100,132000,132700,133200,133800,134500,135000,135600,136200,137000,137600,138200,138900,139700,140700,141800,142900,144000,145100,146300,147300,148400,149600,150600,151600,152600,153900,155100,156200,157100,158600,160300,161300,161500,161900,162400,162800,163300,163900,164600,166000,168200,169900,170300,170700,171800,172900,173800,174900,175800
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317000,316700,316000,315400,313000,309200,306500,305600,304400,302700,300800,298300,295000,291000,287000,283700,278700,272600,268000,264900,261300,257200,253600,251300,250200,249400,249000,248500,247200,245300,243800,242900,241800,240800,239600,238300,237200,236200,235400,234500,233200,231900,230900,230400,230100,230100,230000,229200,228200,227400,226700,226100,224900,223400,222500,222300,221900,221200,220900,221000,221500,221800,221800,222100,222600,222600,222700,223000,223700,224700,225400,225800,226300,226500,226700,226900,227200,227400,227500,227500,227800,228300,229300,230200,230500,230400,230500,230900,231400,231900,232300,232600,233200,234000,234800,235900,236800,237800,238500,238900,239400,240300,240900,241600,242200,242700,242700,242900,243900,245100,246000,247100,248000,249500,251800,254300,255900,257000,257400,257500,257900,258800,260200,261300,262200,262600
14,"Florida",4,92100,92100,92100,92000,92000,91900,92000,92300,92600,92800,93200,93700,94200,94600,94900,95200,95700,96100,96500,97000,97500,98100,98700,99200,99300,99500,99800,99900,100100,100400,100800,101300,101800,102200,102700,103400,104100,104600,105100,105500,106100,106800,107500,107900,108500,109400,110400,111300,111900,112500,113300,114100,114800,115400,116000,116800,117600,118500,119300,120000,120900,121800,122600,123600,124700,125600,126400,127200,128100,129100,130000,131000,132000,133000,134000,135100,136100,137200,138500,139800,141000,142400,143800,145000,146300,147500,148800,150200,151600,153000,154500,156200,158100,160000,162100,164100,166300,169100,172100,175200,178400,181700,185000,188500,192200,196100,200300,205000,210400,216000,221800,227500,233100,238400,243300,247800,251600,254500,257100,260000,262200,263500,264100,264100,263800,263100,261900,260400,258700,256900,255300,253300,251200,249000,246400,243300,240200,236900,233600,230400,226800,222800,218400,214000,209500,205400,201400,197900,194700,191800,188900,186100,183100,180300,177600,174800,171900,169000,166000,163600,161700,160100,158600,157100,156500,156200,155400,153700,152200,151000,150200,149100,147600,146200,144800,143500,142300,141100,140200,139800,139300,138600,137900,137200,136600,136000,135400,135000,135000,135200,135600,136200,137100,137900,138700,139500,140300,140900,141700,142600,143600,144700,146100,147600,149300,150900,152600,154300,156100,157900,159500,160800,162000,163100,164200,165400,166500,167600,168500,169300,170200,171200,172400,173700,174700,175700,176800,178500,180100,181700,183400,185200,187000,188700,190200,191700,193100,194800,196300,197800,199300,201200,203500,205700,207400,209200,211400,213600,215500,217000,218200,219200,220300,221700,222800,223800,225200,226700,228100,229500,230700,231600
21,"Illinois",5,116000,116500,116700,116200,115300,115100,115300,115500,116200,117500,118300,118400,118400,118500,118700,119000,119300,119700,120200,120500,120500,120700,120900,121000,121100,121300,121500,121600,121800,122300,122700,123100,123300,123700,124100,124600,125100,125700,126200,126700,127000,127400,128000,128700,129200,129600,130200,130900,131500,132100,132800,133100,133400,134000,135100,135900,136500,137200,137800,138500,139500,140100,140700,141600,142200,143000,144000,144900,145300,145800,146400,147200,147800,148400,149200,150000,150500,151200,152200,153400,154600,155700,156800,157900,159000,160300,161800,163100,163900,164600,165300,166000,166800,167500,168500,169400,170400,171100,171600,173400,176600,177700,177000,177300,178700,180000,181200,182500,183500,184200,185100,186200,186600,187400,189100,190700,191700,192900,194000,194500,195200,196100,197000,197200,199000,200900,201100,200100,200500,200900,201300,201500,201400,201800,202000,201300,199900,199500,199300,198800,198100,197500,196600,195300,194300,193200,192200,190900,189200,187400,186200,185100,184000,183000,182000,180600,179100,177100,175200,173700,172400,171200,170500,170100,168600,166100,164200,163200,161900,161100,160300,159000,157300,156000,155100,154100,153000,152300,151500,150700,149700,148200,146700,145800,145100,144300,143400,142600,141900,141300,140800,140500,140500,140700,140900,141300,141600,141500,141500,141700,141900,142000,142200,142700,143200,143800,144800,145700,146600,147400,147800,148000,148600,149400,149900,150000,150400,150800,150800,151000,151400,151700,151900,152100,152300,152600,152800,153000,153700,154400,154800,155200,155700,156000,156400,157000,157400,157700,158300,159100,159900,160700,161500,162200,162500,162700,163300,163800,164600,165600,166500,167300,167800,167900,167800,167700,168000,168700,169400,169900,170300,170700
47,"Pennsylvania",6,88500,88600,88800,88900,89000,88900,88800,88900,89200,89300,89600,90000,90200,90400,90600,90800,91000,91300,91500,91800,92000,92300,92600,93000,93400,93600,93600,93700,93800,93900,94200,94700,95200,95600,95700,95900,96000,96100,96300,96500,96700,96800,97100,97300,97500,97900,98600,99100,99400,99800,100300,101000,101500,101700,102000,102600,103000,103300,103800,104500,105000,105600,106100,106400,106800,107500,108000,108400,108800,109500,110100,110700,111300,111800,112400,113000,113700,114300,114900,115600,116400,117100,117700,118500,119500,120200,121100,121900,122800,123900,124900,125600,126600,127600,128300,129000,129700,130500,131500,132600,133700,134500,135500,136500,137400,138400,139500,140400,141400,142600,143700,144700,146000,147200,148400,149500,150500,151300,152000,152500,153100,153800,154600,155300,155900,156400,156900,157300,157300,157500,158000,158600,159300,159800,160200,160400,160500,160700,160900,160900,160700,160500,160300,160300,160200,160100,160000,159900,159700,159600,159600,159800,159900,159900,160000,160100,160000,159700,159300,159000,158700,158500,158000,157600,157700,158000,157800,157200,156900,156500,156100,155500,154800,154300,153600,153200,152900,152700,152200,151800,151300,150800,150400,150000,149700,149300,149100,148800,148400,147900,147800,147900,147800,147700,147800,148000,148200,148500,148800,149100,149400,149600,149700,149700,150000,150200,150200,150300,150300,150300,150200,150300,150200,150200,150400,150600,151000,151500,151800,151800,151900,151900,152000,152100,152000,152100,152300,152700,153100,153600,154000,154600,155300,155700,155800,155700,155900,156200,156600,157200,157500,157800,158300,158900,159400,159800,160300,160800,161400,162100,162600,162800,163000,163500,164000,164400,165000,165700,166600,167400,167800,167800
44,"Ohio",7,88600,88800,88900,89200,89400,89500,89700,90000,90300,90600,91000,91400,91700,92000,92400,92700,92900,93200,93600,93900,94300,94800,95100,95500,95800,96000,96100,96300,96700,97000,97300,97700,98100,98400,98900,99400,99800,100200,100700,101100,101600,102100,102400,102700,103100,103700,104300,104800,105200,105700,106200,106600,107100,107500,107800,108100,108500,109000,109300,109700,110000,110200,110500,111100,111400,111600,111800,112100,112400,112600,112900,113100,113300,113700,114100,114300,114700,115000,115300,115500,115900,116200,116500,116800,117400,117900,118300,118700,119100,119500,120000,120600,121000,121400,121700,121900,122100,122300,122700,123000,123200,123500,123900,124100,124300,124700,125000,125400,125800,125900,126000,126200,126500,126700,126900,127100,127300,127200,127400,127600,127600,127400,127300,127200,127100,127100,127000,126800,126600,126500,126300,126100,125900,125900,125500,125100,124800,124400,123900,123500,123100,122600,121900,121200,120600,120000,119500,119000,118400,118000,117800,117600,117300,117000,116800,116500,116000,115400,114900,114600,114400,114200,114100,113900,113800,114100,113900,113300,113100,113300,113400,113100,112800,112300,111500,110800,110300,109700,109200,109000,108700,108600,108400,108300,108000,107800,107400,107200,107000,106700,106600,107000,107400,107500,107600,107800,107900,108000,108200,108300,108400,108500,108800,109000,109100,109300,109400,109600,110000,110400,110600,110700,111100,111600,111900,112000,112300,112700,112800,113100,113300,113500,113700,114200,114400,114500,114900,115600,116000,116400,116800,117400,117900,118300,119000,119500,119600,119700,120100,120500,121000,121200,121600,122000,122500,122900,123400,124100,125100,126000,126600,127000,127500,128000,128400,128800,129600,130400,131100,131600,131900,132100
30,"Michigan",8,85400,84900,85200,86200,86100,85300,85100,85700,85900,85800,85700,85800,86400,87100,87500,87800,88200,88700,89300,90100,91000,91600,91800,91800,92200,93000,93600,93800,94500,95400,96400,96900,97400,98600,100000,101000,101900,103000,103900,104700,105800,106800,107500,108000,108500,109400,110300,111100,112000,112800,113500,113900,114400,115000,115500,116100,116900,117700,118600,119500,120000,120500,121300,122000,122500,122900,123100,123300,123500,123700,123900,124000,124400,124600,125100,125900,126700,127100,127700,128500,129200,129700,130100,130700,131000,131300,131500,131700,132000,132400,132800,133200,133600,134100,134700,134800,134900,135300,135700,135800,136300,137000,137400,137500,137900,138200,138500,139000,139500,139700,139800,139900,139900,140000,140100,140000,139900,139800,139600,139500,139100,138700,138500,138200,137500,136700,136100,135700,135400,135200,134900,134400,133800,133100,132200,131400,130700,129800,128900,127900,126700,125600,124300,122700,121300,119800,118000,116400,115300,114200,113000,112000,111300,110800,110100,109100,108000,106700,105600,104600,103500,102500,101800,101400,100000,97800,96300,95800,95200,94700,94600,94200,93400,92800,92100,91300,90700,90300,89900,89100,88500,88300,88000,87400,87000,87000,86700,86200,86100,86300,86500,86700,87400,87900,88200,88700,89300,89800,90400,91000,91500,92000,92800,93500,94200,95100,96100,97300,98400,99500,100300,101100,101900,102800,103700,104700,105600,106200,107000,108000,108800,109100,109400,109800,110500,111200,111900,112600,113300,113800,114400,114900,115400,116000,116400,116900,117800,118700,119200,119800,120600,121300,122100,122700,123200,123900,124700,125600,126600,127700,128400,129100,129800,130300,130700,131200,131800,132500,133300,134100,134900,135800
16,"Georgia",9,92400,92900,93200,93000,92900,93200,93700,93900,94100,94600,95000,95300,95700,96100,96600,97200,97800,98100,98500,99100,99600,100200,100900,101700,102000,102100,102600,103500,104400,105100,105600,106000,106600,107500,108100,108400,109000,109800,110500,111300,112000,112600,113300,113900,114500,115300,116500,117300,117900,118500,119300,119900,120700,121300,122100,122800,123200,123600,124400,125100,125700,126400,127100,127400,127500,127800,128100,128500,129100,129700,130000,130500,130900,131400,131700,132000,132600,133100,133400,133800,134100,134300,134600,135100,135500,136000,136400,136700,137100,137500,137800,138200,138900,139400,139900,140300,140600,140800,141200,141700,142200,142700,143300,143800,144400,145100,145700,146300,146900,147400,148000,148800,149400,149800,150500,151400,152100,152600,152800,153300,153900,154500,154800,155200,155500,155900,156200,156400,156200,155900,155800,155900,156000,156100,156100,156200,156200,156100,156000,155600,155200,155000,154500,153600,152600,151800,150800,149700,148600,147800,146900,146200,145300,144500,143700,142800,141700,140400,139400,138600,137900,137200,136600,135800,135400,135300,134800,133900,133300,132900,132000,130900,129600,128300,126800,125500,124200,122700,121500,120600,119600,118800,118200,117400,116600,115900,115000,114300,113800,113400,113300,113300,113300,113200,113400,113700,114000,114500,115200,115900,116500,117200,117900,118500,119300,120000,120800,121800,122800,123700,124500,125300,125900,126500,127100,127600,128400,129000,129400,129800,130100,130400,130900,131600,132300,132800,133600,134800,135800,136800,137800,138700,139600,140500,141200,141800,142500,143200,143900,144800,145600,146200,146700,147400,148200,149000,149800,150700,151500,152100,152800,153300,153900,154700,155600,156600,157700,158600,159400,160100,161000,161800
36,"North Carolina",10,92200,92500,92700,92900,93200,93400,93700,93900,94200,94800,95400,96000,96800,97500,98100,98800,99600,100200,100600,101200,101700,102200,103100,104100,104800,105200,105700,106200,106800,107200,107900,108500,108900,109100,109500,110100,110500,110800,111500,112100,112300,112700,113000,113200,113600,114200,114700,115000,115400,115900,116300,116600,116900,117500,118200,118700,118900,119500,120100,120400,120500,120700,120600,120700,121000,121200,121400,121600,121900,122200,122200,122300,122500,122800,123000,123400,123700,123800,123900,124300,124800,124900,125200,125500,125700,126100,126600,126700,126700,126800,127300,127600,127800,128100,128500,128900,129300,129600,129900,130400,131000,131500,132000,132500,133100,133700,134100,134600,135100,135700,136400,137200,137900,138600,139300,140000,140800,141500,142000,142500,143000,143500,144000,144500,145200,145800,146200,146500,146800,147400,147900,148400,148900,149300,149800,150400,151000,151500,151700,151600,151600,151600,151800,151900,152000,152000,151900,151700,151400,151000,150700,150500,150300,150100,149900,149600,149100,148600,148200,147700,147100,146700,146500,146500,146200,145400,144600,144100,143700,143200,142800,142200,141700,141300,141000,140600,140200,139800,139300,138900,138600,138500,138400,138200,137900,137400,136900,136600,136600,136800,137000,136900,136800,136600,136600,136700,136800,137000,137200,137300,137400,137600,138000,138400,138800,139200,139500,139700,140100,140600,140900,141000,141300,141700,142100,142400,142700,142700,142800,142900,143000,143100,143100,143200,143300,143600,144100,144600,145100,145700,146300,147000,147500,147700,148100,148700,149200,149500,149900,150400,151200,152000,152600,153200,154000,154800,155600,156700,157500,158100,159000,160300,161100,161800,162500,163300,164000,164900,165900,166800,167400,167900
