"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-01-31,102001,"United States",0,207600,0.00386847195357834,0.013671875,0.0668036998972251,0.0590878338741874,0.00863314819581817,"2018-01","2018-Q1",207600,0,"2018-01"
2018-01-31,9,"California",1,529900,0.00645773979107312,0.0227755259602393,0.0876436781609195,0.0973620506557107,0.013085470211144,"2006-06","2006-Q2",532700,-0.00525624178712221,"2006-04"
2018-01-31,54,"Texas",2,175200,0.00516351118760757,0.0191972076788831,0.0761670761670762,0.0708847753528989,0.0277095571229862,"2018-01","2018-Q1",175200,0,"2018-01"
2018-01-31,43,"New York",3,309100,0.00324569944823109,0.00980071871937275,0.102747056724938,0.0490383840901223,-0.00555287685207384,"2007-08","2007-Q3",333800,-0.0739964050329539,
2018-01-31,14,"Florida",4,217300,0.00369515011547344,0.0135261194029851,0.0714990138067061,0.0997168399719426,0.00200067083183253,"2006-07","2006-Q3",254400,-0.145833333333333,"2005-07"
2018-01-31,21,"Illinois",5,170700,0.00293772032902468,0.00530035335689046,0.0252252252252252,0.0395601906312597,-0.0158145396345214,"2007-05","2007-Q2",203400,-0.160766961651917,"2004-01"
2018-01-31,47,"Pennsylvania",6,163400,0.00245398773006135,0.00988875154511743,0.041427660930529,0.0257422672756884,0.00620410238251101,"2018-01","2018-Q1",163400,0,"2018-01"
2018-01-31,44,"Ohio",7,131000,0.00383141762452107,0.00924499229583975,0.0488390712570056,0.0403334586999098,0.00714301836420939,"2018-01","2018-Q1",131000,0,"2018-01"
2018-01-31,30,"Michigan",8,138700,0.00653120464441219,0.0183553597650514,0.0669230769230769,0.0802218400928474,0.00837618117689032,"2005-08","2005-Q3",142600,-0.0273492286115007,"2004-08"
2018-01-31,16,"Georgia",9,162100,0.00433705080545229,0.0118601747815231,0.0622542595019659,0.0679291270434292,0.00435935656901743,"2018-01","2018-Q1",162100,0,"2018-01"
2018-01-31,36,"North Carolina",10,166900,0.00360793746241732,0.0139732685297691,0.0657726692209451,0.0411861759892163,0.00999491495139981,"2018-01","2018-Q1",166900,0,"2018-01"
2018-01-31,40,"New Jersey",11,312400,0.00321130378933847,0.00806711842529848,0.0396006655574043,0.033302549869902,-0.0112157517864886,"2006-07","2006-Q3",367700,-0.150394343214577,"2004-11"
2018-01-31,56,"Virginia",12,246300,0,-0.000811359026369168,0.0228405315614618,0.0288024218588117,-0.00474584223075492,"2007-05","2007-Q2",267300,-0.0785634118967452,"2005-08"
2018-01-31,59,"Washington",13,355600,0.00765089260413715,0.0227207362668967,0.109862671660424,0.0928669524816888,0.018033522103952,"2018-01","2018-Q1",355600,0,"2018-01"
2018-01-31,26,"Massachusetts",14,386500,0.00259403372243839,0.00940193261948289,0.0580344921981933,0.0594981092992175,0.017575685031719,"2018-01","2018-Q1",386500,0,"2018-01"
2018-01-31,22,"Indiana",15,126000,0.00478468899521531,0.0218978102189781,0.0526315789473684,0.0273457892242677,0.00718037125441828,"2018-01","2018-Q1",126000,0,"2018-01"
2018-01-31,8,"Arizona",16,233400,0.00430292598967298,0.0134607034303083,0.0672153635116598,0.0808834682622015,0.00103413528259622,"2006-05","2006-Q2",262000,-0.109160305343511,"2005-08"
2018-01-31,53,"Tennessee",17,147100,0.0027266530334015,0.012388162422574,0.0745069393718042,0.0501033373693922,0.0201465439009272,"2018-01","2018-Q1",147100,0,"2018-01"
2018-01-31,32,"Missouri",18,145500,0.00761772853185596,0.0203366058906031,0.0415175375805297,0.0353502847003619,-0.00197157829331873,"2007-05","2007-Q2",153200,-0.0502610966057441,"2005-09"
2018-01-31,27,"Maryland",19,273500,0.00219860754855258,0.00403817914831131,0.020141738157404,0.0355218498810028,-0.0114559095491811,"2007-04","2007-Q2",323100,-0.153512844320644,"2005-05"
2018-01-31,60,"Wisconsin",20,170100,0.00353982300884956,0.00829875518672199,0.0539033457249071,0.0377970464158186,0.00753404829257076,"2018-01","2018-Q1",170100,0,"2018-01"
2018-01-31,31,"Minnesota",21,213200,0.00423928403203015,0.00851466414380322,0.0502463054187192,0.0618936262599643,0.00722049269573466,"2018-01","2018-Q1",213200,0,"2018-01"
2018-01-31,10,"Colorado",22,348400,0.00635470826112074,0.0187134502923977,0.077970297029703,0.0970032214744654,0.0450206859049616,"2018-01","2018-Q1",348400,0,"2018-01"
2018-01-31,4,"Alabama",23,128000,0.00313479623824451,0.0118577075098814,0.0339256865912763,0.0205879283008306,-0.000467545454933771,"2009-05","2009-Q2",133900,-0.0440627333831217,"2007-02"
2018-01-31,51,"South Carolina",24,149300,0.00742240215924426,0.0163376446562287,0.049929676511955,0.0422411694754579,0.0108704490768463,"2018-01","2018-Q1",149300,0,"2018-01"
2018-01-31,24,"Kentucky",25,138700,0.00144404332129964,0.0101966496722505,0.0436418359668924,0.033379875495634,0.018208668718916,"2018-01","2018-Q1",138700,0,"2018-01"
2018-01-31,46,"Oregon",26,320500,0.00470219435736677,0.0145615701171257,0.0719063545150502,0.0992335972337082,0.0215734522547186,"2018-01","2018-Q1",320500,0,"2018-01"
2018-01-31,45,"Oklahoma",27,117000,-0.00085397096498719,0.0025706940874036,0.0191637630662021,0.043419491042032,0.0315014846402712,"2017-11","2017-Q4",117200,-0.00170648464163823,"2017-11"
2018-01-31,11,"Connecticut",28,246800,0.00284437220642015,0.00366002440016267,0.0194134655101198,0.0120962281107009,-0.0140455997526443,"2006-06","2006-Q2",293300,-0.15854074326628,"2004-05"
2018-01-31,19,"Iowa",29,131600,0.0053475935828877,0.0185758513931889,0.0386740331491713,0.0302166557593837,0.0339999045045751,"2018-01","2018-Q1",131600,0,"2018-01"
2018-01-31,34,"Mississippi",30,120400,0.015177065767285,0.0524475524475524,0.0788530465949821,0.0229245566260303,0.0206944374073847,"2009-07","2009-Q3",127100,-0.0527143981117231,"2009-04"
2018-01-31,6,"Arkansas",31,123000,0.00244498777506112,0.0115131578947368,0.0603448275862069,0.0305851700588529,0.0154657154782976,"2018-01","2018-Q1",123000,0,"2018-01"
2018-01-31,23,"Kansas",32,128400,0.0015600624024961,0.00943396226415094,0.036319612590799,0.0302959184382032,,"2018-01","2018-Q1",128400,0,"2018-01"
2018-01-31,55,"Utah",33,264100,0.00763067531476536,0.028827425009739,0.0904211395540875,0.0765978931859985,0.00168148217185027,"2018-01","2018-Q1",264100,0,"2018-01"
2018-01-31,42,"Nevada",34,261000,0.00539291217257319,0.0235294117647059,0.129381220250974,0.130896080078545,-0.00182071438057607,"2006-04","2006-Q2",310800,-0.16023166023166,"2004-09"
2018-01-31,41,"New Mexico",35,182300,0.0110926234054354,0.0458978772231784,0.0623543123543124,0.02967749821508,-0.00328595743169346,"2009-05","2009-Q2",196300,-0.0713194090677534,"2006-09"
2018-01-31,61,"West Virginia",36,104100,0.00192492781520693,0.00872093023255814,0.0205882352941176,0.0283961214722099,0.0501782151978762,"2018-01","2018-Q1",104100,0,"2018-01"
2018-01-31,38,"Nebraska",37,157200,0.00383141762452107,0.0161603102779573,0.0774503084304318,0.0487603191977859,0.023103388870352,"2018-01","2018-Q1",157200,0,"2018-01"
2018-01-31,20,"Idaho",38,200300,0.00350701402805611,-0.00348258706467662,0.0927441352973268,0.0670443670218397,0.00217251484209435,"2017-10","2017-Q4",201000,-0.00348258706467662,"2017-10"
2018-01-31,18,"Hawaii",39,624200,0.00385976198134448,0.0169436298468557,0.0668261835583661,0.0708898505462572,0.0167628283764838,"2018-01","2018-Q1",624200,0,"2018-01"
2018-01-31,28,"Maine",40,219700,0.0115101289134438,0.0397539044013251,0.0985,0.0384831914312078,0.00310188227960606,"2006-06","2006-Q2",221600,-0.00857400722021661,"2006-02"
2018-01-31,39,"New Hampshire",41,253600,0.00276789244760775,0.012375249500998,0.0628667225481978,0.0501080820843662,0.00586294019886124,"2006-04","2006-Q2",255400,-0.00704776820673453,"2005-11"
2018-01-31,50,"Rhode Island",42,268000,0.00865637937523523,0.0244648318042813,0.0850202429149797,0.0516932942822039,0.000186758854743507,"2006-06","2006-Q2",293800,-0.0878148400272294,"2004-09"
2018-01-31,35,"Montana",43,212200,0.0128878281622912,0.0371456500488759,0.0717171717171717,0.0429017267604275,0.0194612742055527,"2009-08","2009-Q3",213600,-0.00655430711610487,"2009-07"
2018-01-31,13,"Delaware",44,245900,0.023304203079484,0.0832599118942731,0.144785847299814,0.0562905256932957,0.0068383594822039,"2018-01","2018-Q1",245900,0,"2018-01"
2018-01-31,52,"South Dakota",45,180900,0.00892359174567764,0.026091888825865,0.0755053507728894,0.0469740949590591,0.0243630322837278,"2018-01","2018-Q1",180900,0,"2018-01"
2018-01-31,3,"Alaska",46,273700,0.00403521643433602,0.0110823790173624,0.0258620689655172,0.0224021229741393,0.00102881556358292,"2008-06","2008-Q2",277700,-0.0144040331292762,"2008-03"
2018-01-31,37,"North Dakota",47,201500,0.00149105367793241,0.000993541977148535,-0.00787789266371246,0.0281325108076382,0.042733082841292,"2016-12","2016-Q4",204400,-0.014187866927593,"2015-06"
2018-01-31,58,"Vermont",48,223100,-0.00178970917225951,-0.0137046861184792,0.0243342516069789,0.0202713269167698,0.00830033876603942,"2005-06","2005-Q2",259100,-0.138942493245851,"2004-11"
2018-01-31,12,"District of Columbia",49,548600,0.00365898280278083,0.0114306784660767,0.0127376776813735,0.0706271174625011,0.0356175352152224,"2017-03","2017-Q1",552400,-0.00687907313540912,"2017-02"
2018-01-31,62,"Wyoming",50,202600,0.0109780439121757,0.0315682281059063,0.0470284237726098,0.026458834346716,0.00538828685896586,"2009-06","2009-Q2",212000,-0.0443396226415094,"2009-01"
