"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,270600,270300,269700,269600,269600,269700,270300,271100,272500,274500,276400,278000,279500,280900,282500,284600,287000,289400,291900,294900,298300,302200,306300,307800,309300,313200,318800,322900,326800,329700,332800,336100,339200,341800,344200,346800,349300,352000,355100,358500,361600,365300,369600,374000,378700,384200,390100,396100,402200,408700,414800,420900,427200,433700,440200,447100,453500,459500,465600,471900,476700,478900,479500,479900,480400,481500,482100,482700,483700,485100,487400,490900,495200,500500,506400,512800,519400,525800,531700,537100,542000,546900,551700,556300,560400,564200,568100,573000,579300,586300,594100,603000,612700,622700,632900,643300,655400,669000,683000,695900,706800,716400,724900,732300,739500,747600,756300,765400,774300,782700,790900,799600,807800,814700,820700,826000,830900,834500,836700,838000,839000,839100,837700,835300,832700,830200,827300,824100,820500,817700,816600,816300,815600,814200,811600,808900,805500,800600,795300,789900,783700,776300,767400,756700,746100,737200,728400,719600,712200,706600,701700,697300,693200,689700,685600,680000,673200,665200,659100,656700,656500,656200,656300,656600,656400,655700,655300,655300,654500,653300,652100,650000,646600,643100,639800,636800,634100,631200,628000,624800,621200,618300,615900,612900,609900,608000,606700,606000,606000,606800,607600,609000,612300,617500,623400,628900,634100,638900,644200,650500,657700,664100,670900,680700,692900,705100,716200,725200,732100,738200,742800,745900,748700,752900,758000,763300,768000,772100,776100,780500,784900,788800,792300,795300,798400,802900,810300,818600,826100,832400,838000,843300,848300,852600,856500,860500,864600,869400,875400,881100,885300,887700,888300,889000,892400,897600,902300,906200,910200,914800,918900,923200,929200,935400,940000,944500,950100,956800,966600,979200,991900,1000300
54,"Texas",2,130000,130600,132000,132800,133100,133000,134100,138200,143000,145800,146900,147900,148500,148900,149300,150100,151100,151900,152500,152600,152700,153500,154400,154800,155300,156200,156700,157400,158200,159100,159800,160200,160100,160600,161500,162300,163200,164400,165600,166800,167900,168800,169500,170000,170400,170900,171200,171300,171700,172400,173100,173700,174400,175100,175900,176500,176900,177200,177800,178400,179000,179700,180200,180500,180700,181200,181800,182100,182200,182700,182800,182800,183000,183200,183200,183500,184100,184600,185000,185400,185800,186000,186400,186600,186600,187000,187500,187700,187900,188200,188200,188300,188800,190300,192500,194700,196700,198400,199800,201000,202100,203100,204100,204800,205600,206300,207200,208300,209200,209900,210600,211400,212200,213100,213900,214600,215500,216700,217800,218800,220100,221100,222100,223100,224300,225400,226300,227100,228100,229500,230600,231200,231900,233000,234400,235600,236500,237200,238000,239100,239800,239000,236900,234700,232900,231400,230400,230200,230700,231600,232600,233500,234800,236300,237700,238500,239200,239900,240500,241100,241700,241900,241800,242200,240000,236000,233900,234600,234900,234900,234700,234100,233200,232300,231600,230900,230900,231700,232500,232600,232400,232000,231700,231300,230800,230300,230100,229900,230600,232100,233200,233700,234400,234800,235100,235300,235700,236200,236500,236800,237900,239600,241200,242400,243700,245200,247000,248800,250400,251900,253300,255000,256700,258300,259600,260700,261900,263300,265000,266700,268000,269300,270700,271900,273300,274900,276500,278300,280600,283300,285800,287800,289400,291100,292800,294400,295700,297200,298900,300400,301600,302700,303400,303700,304400,305700,307200,308300,308800,309200,310200,311800,313700,315100,316100,317800,320000,321500,322400,323300,324500,325400
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513200,519500,524700,528600,529200,530800,538400,549100,556100,560700,564000,567900,572700,577600,582400,587300,588900,589600,593500,599100,603400,606300,607400,607500,608400,608800,609100,608500,611100,616700,620500,620300,620400,620600,619300,617600,617600,618500,618800,619100,617200,613500,609900,608000,605800,603100,600900,598600,594000,587900,582600,577800,572000,565700,560200,555400,550300,544800,539000,534300,531500,530200,529700,530200,528700,525300,523000,522300,521700,521200,520600,519900,519200,518300,517700,517700,518000,518200,518700,518900,518300,517900,518000,517500,516400,515400,513800,511800,509900,508500,508000,508700,509100,508700,508800,510400,512000,512800,513600,514600,515500,516400,517400,518600,520400,522700,525400,529100,533400,536800,538900,540900,543900,547800,551400,553200,554600,556500,558600,560500,562500,563500,564300,565700,567400,569200,572100,575900,579500,583000,586800,590700,594000,598000,602200,605300,607400,609600,611400,613900,617200,620300,623100,625800,629000,632800,637200,641900,646500,651000,656000,661500,668200,675700,679900,681300,683600,688000,692500,695400,698200,701600
14,"Florida",4,155300,155600,155700,155500,155500,155600,155700,155800,156200,156900,158000,159200,159800,160000,160300,161000,161600,162100,162700,163400,164300,165400,166500,167200,167700,168200,168400,168800,169200,169700,170200,171100,172000,172800,173800,175000,176000,176700,177600,178400,179400,180500,181800,183000,184300,185400,186800,188200,189700,191400,193200,194600,195700,197000,198800,200500,202000,203900,206100,208200,210100,212000,213900,215800,217500,219200,221100,223100,225400,227900,230100,232100,234200,236000,238100,240900,244200,247200,249700,252100,254500,256600,258700,261100,263500,266000,268700,271200,273600,276100,278900,281700,284700,288100,291700,295700,300400,305700,311200,317100,323600,330000,336500,343200,350100,357100,364700,373300,383000,392700,402200,411300,420100,427900,435000,441200,446100,449800,453200,456200,458500,459600,459700,459000,457600,455600,453500,451400,448700,446100,443500,440300,436000,431700,427100,422000,416700,411500,406000,400600,395000,389200,382600,375500,368300,361800,355300,349400,344400,340100,335900,331800,327200,322900,318900,314800,310500,306100,302100,299000,296800,295000,293600,291900,291200,291000,289600,287000,285000,283700,282600,281200,279100,276600,274300,272800,271100,269200,268100,268100,268100,267500,266800,266200,265500,264900,264100,263600,264000,264900,266500,268400,270100,271900,273800,275400,276900,278300,279600,281000,283000,285300,287500,290100,293200,296100,299000,301800,304500,307200,309800,311700,313500,315400,317700,319800,321800,323800,325700,327400,328900,330300,331600,333100,334800,336700,339100,341700,344300,346900,349300,351400,353500,355500,356800,357800,358800,360300,362000,363600,365100,366800,369200,371700,373600,376400,381600,387700,391500,392000,390000,387900,386800,386500,386900,387800,389100,390600,392000,393000,393400,393800
21,"Illinois",5,190400,190400,190800,191100,191200,191700,192300,192800,194200,196800,198600,199100,199700,200500,200900,201000,201400,201800,202200,202600,203000,203700,204500,205300,205900,206500,206900,207300,208100,209100,210400,211800,212700,213400,214300,215400,216800,218000,219100,220600,222100,223600,225300,226900,228400,229900,231500,233000,234600,236400,238200,239900,241300,242700,244200,245800,247600,249200,250700,252600,254600,256200,257500,259000,261000,263100,265000,266900,268500,269800,271000,272400,273900,275000,276200,277700,279700,281900,284000,285900,287800,289700,291900,294400,297000,300200,304300,307800,309800,310600,310400,310400,311300,312600,314300,315800,317400,319100,321000,323000,325100,327300,329900,332900,336000,338900,341500,343900,346000,348000,350000,352000,354100,356400,359000,361200,363100,364900,366600,368200,369600,370700,371300,371900,372600,373200,373800,373900,373900,374000,373900,373400,372700,371800,370600,369200,367900,366800,365700,364400,363100,361900,360300,357900,355700,353300,350600,347700,345100,342600,340300,338300,336700,335400,333900,331800,329200,325900,322800,320600,318900,317500,316800,316500,314100,310200,307100,305200,302900,301800,300600,298300,295600,293500,291000,288300,286400,285600,284700,283600,281800,279700,277900,276700,275600,274600,273400,272000,270900,269900,268700,267900,268100,268700,269700,271000,271700,271200,271300,272200,273200,273900,275000,276700,279100,281700,284500,287100,289300,291100,292400,293200,294200,295600,296800,297700,298800,299700,300800,302000,303600,304500,304600,304500,304700,304800,304900,305600,306900,308200,308400,308100,308000,308600,309300,310200,310900,311500,312000,312900,314400,315500,316100,316400,317000,318000,319300,320600,322300,324100,325400,325900,326000,325800,325300,325000,325100,325600,326200,326600,326800,327400
47,"Pennsylvania",6,147900,147700,148000,148100,148200,148500,148800,148900,149100,149400,149900,150700,151500,152000,152400,152800,153100,153500,153900,154300,154700,155400,156000,156800,157400,157600,157700,157700,157800,157900,158200,158800,159600,160400,161200,161700,162100,162500,162700,163100,163700,164100,164700,165400,166100,167000,168000,168900,169600,170500,171400,172300,173300,174200,175100,176100,177000,177800,178700,179900,181000,182100,183300,184300,185200,186100,186900,187800,189000,190100,191100,192200,193400,194900,196600,198500,200300,202100,204100,206000,207900,209900,212000,214000,216100,217800,219700,221600,223600,225900,228200,230100,231900,233800,235700,237500,239500,241800,244200,246800,249400,251900,254300,256900,259300,261500,263700,265800,268000,270400,272800,275100,277600,279800,281800,283700,285500,286800,287900,289200,290500,291500,292400,293300,293900,294100,294000,294000,294100,294200,294600,295200,295600,295600,295300,295000,294700,294500,294700,294600,293800,292700,291700,291300,291000,290600,290000,289100,288000,287100,286400,285600,284500,283400,282800,282000,280800,279400,278000,277000,276400,275800,275300,274700,275200,276000,276000,275100,274700,274400,274000,272800,271300,269800,268600,267500,267100,266900,266500,265700,264700,263600,262700,262200,262000,261600,261000,260500,260100,259800,259700,259700,259700,259700,259900,260400,261100,261700,262300,263000,263900,264700,265100,265600,266300,267100,267500,267900,268300,268800,269400,270100,270500,270800,271100,271700,272400,273400,274300,274900,275300,275600,275700,275600,275500,275100,275300,276000,276900,277900,278900,279900,280700,281100,281300,281500,281500,281800,282400,283300,284100,285000,286200,287800,289100,290500,292000,293000,293500,294000,294500,295000,295800,296700,297200,297800,298700,299800,300900,301800,302300,302900
44,"Ohio",7,151100,151400,151600,152000,152400,152600,152700,153100,153600,154300,155200,155900,156400,156900,157400,157900,158400,159000,159300,159700,160300,161000,161500,162000,162400,162800,163100,163300,163700,164200,164800,165300,165800,166300,166900,167600,168400,169200,170100,170800,171200,171700,172100,172600,173100,173800,174700,175600,176300,177000,177700,178100,178700,179400,180000,180400,181000,181500,182000,182500,183000,183500,183900,184400,184700,185200,185600,186000,186400,187100,187600,188100,188600,189100,189500,190300,191100,191700,192200,193000,193800,194300,195000,195800,196600,197600,198400,199200,200000,201000,202100,203300,204200,204800,205200,205500,205800,206300,206800,207500,208000,208400,208800,209400,210200,210900,211700,212600,213200,213400,213900,214300,214700,215000,215400,215700,216000,216300,216700,217000,217100,217200,217200,217000,217000,217200,217000,216600,216000,215800,215600,215300,215200,215000,214400,213700,213300,212900,212400,211700,211000,210300,209300,208200,207400,206600,206100,205500,204800,204300,203900,203700,203600,203500,203300,202900,202300,201400,200800,200500,200400,200200,200200,200200,199600,198300,197400,197000,196600,196600,196800,196700,196000,195100,194300,193600,193300,192900,192500,192100,191900,191700,191500,191200,190900,190700,190400,189900,189600,189900,190500,191100,191800,192200,192400,192900,193700,194300,194400,194700,195200,195900,196500,197100,197800,198700,199500,200100,200600,201300,202100,203000,203900,204700,205200,205600,206300,207000,207600,208200,208800,209200,209800,210200,210600,211100,211800,212700,213800,215000,216100,217000,217800,218700,219600,220200,220600,221000,221700,222400,223000,223800,224500,225000,225500,226400,227400,228900,230600,232200,233400,234100,234000,233800,234200,235200,236300,237500,238500,239100,239900,240900
30,"Michigan",8,156800,155000,154200,154800,154400,153300,153000,153800,154400,155000,155800,157000,158100,159200,160100,161000,161800,162600,163400,164500,165700,166700,167600,168500,169600,170900,172100,173000,174200,175500,176500,177300,178100,179400,180800,182200,183700,185400,186800,187900,189100,190400,191500,192400,193500,194800,196200,197400,198900,200400,201800,202900,204100,205500,206900,208100,209200,210200,211100,212000,213000,214300,215700,216900,217900,218600,219200,219800,220400,221200,221900,222300,222800,223400,224300,225400,226400,227400,228500,229500,230400,231300,231900,232400,233000,233500,234100,234900,235700,236600,237400,238200,239200,239900,240700,241400,242100,242600,242800,243000,243800,245000,246000,246900,247600,248400,249200,250100,250700,251100,251400,251400,251100,250500,250200,249900,249900,250000,249700,249400,249000,248300,247500,246800,245900,244500,243200,241800,240700,240000,239100,237700,236300,234900,233400,232100,230600,228900,227000,224700,222900,221400,219400,216700,214100,211800,209300,207000,205000,203300,201600,200100,199300,199100,198300,196900,195200,193200,191400,190200,189400,188700,188100,188500,185600,179900,176300,176300,176000,175900,175800,175200,174300,173600,173100,172400,172100,172800,173400,173300,173100,173300,173400,173200,173100,173600,173800,173500,174000,175400,176600,177400,178600,179800,181100,182500,184100,185200,186400,187700,189400,190900,192300,193800,195600,197600,199600,201500,203200,204700,206300,207800,209400,211000,212400,213500,214600,215600,216700,217900,218700,219200,219600,219900,220500,221900,223300,224400,225500,226500,227300,228300,229300,230000,230300,231000,232300,233600,234500,235300,236400,237700,239000,240100,241100,242100,243500,245000,246800,248400,249900,251000,251700,252100,253100,254200,255300,256600,258000,259200,260400,261700
16,"Georgia",9,163900,163700,163600,163300,163000,163100,163500,164000,164600,165200,165900,167100,168400,169400,170100,170900,171500,172500,173700,174400,175000,175700,176300,177000,178000,179100,180000,180900,181900,183000,184100,185500,186900,188200,189400,190700,192200,193600,195100,196900,198900,200800,202200,203500,204800,206300,207900,209400,210700,212300,214200,215700,216800,217700,218400,219200,220100,221100,222100,223200,224200,225100,225800,226600,227400,227800,228400,229100,230000,230700,231500,232300,233100,233800,234500,235300,235900,236500,237200,238300,239000,239600,240400,241200,241700,242200,242900,243700,244400,245300,246200,246900,247700,248900,250200,251100,252000,252800,253600,254400,255500,256600,257700,259100,260700,262200,263500,264600,265900,267200,268500,270000,271700,273500,275000,276400,277700,279300,280700,281800,283000,284200,285300,286100,286900,287800,288600,289000,289200,289000,289100,289700,290500,291000,291200,291500,291700,291500,291000,290200,289700,289200,288200,287000,285600,284000,282400,280800,279100,277800,276600,275500,274500,273800,272900,271500,269600,267400,265300,263800,262600,261400,260400,259800,258000,255100,252900,251500,250400,249900,249200,247500,245300,242900,240800,238700,237100,235600,234100,232600,231500,230600,229800,229100,228400,227900,227500,227100,226800,226800,226900,227200,227500,228000,228900,230000,231100,232000,233000,234100,235300,236900,238600,240100,241600,242800,244000,245500,247300,248800,250100,251500,252800,253900,254900,256100,257600,258900,260000,260900,261700,262500,263400,264300,265600,267300,269300,271500,273700,275200,276700,278200,279900,281500,282800,283900,285300,286900,288200,289600,291400,293400,294700,295500,296700,298400,300000,301600,303200,304700,306100,307100,307900,309100,310300,311600,313500,315200,316400,317500,318900,320400
36,"North Carolina",10,164500,164200,164100,164400,164600,164600,164900,165500,166300,167200,168300,169400,170800,172300,173800,174900,175700,176700,177800,178800,179800,180900,181900,182800,183400,183800,184500,185300,186300,187200,188000,188600,189200,190000,190700,191600,192500,193200,193700,194400,195300,196100,196800,197800,198500,199100,200000,200900,201700,203000,204400,205800,206700,207600,208700,209700,210700,212000,213100,213600,214200,214800,215100,215500,216100,216400,216600,217000,217500,217900,218300,218900,219300,219500,220000,220400,220600,221200,221800,222400,223000,223700,224400,225200,226000,226800,227600,228300,228900,229700,230500,231700,232800,233700,234400,235300,236200,237400,238700,239900,241300,242800,244300,245400,246500,248000,249700,251300,253400,255200,256800,258600,260800,263000,265100,267300,269300,271100,272800,274700,276500,278100,279700,281400,283400,285100,286400,287800,289100,290200,291500,292700,293500,294500,295600,296300,296900,297200,297300,297300,297300,297300,296900,296700,296600,296700,296600,296200,295200,293900,292900,292000,291100,290200,289300,288200,286900,285300,283900,282600,281600,280600,279600,278900,277800,276300,274900,273600,272300,271100,270000,269100,268400,267500,266600,265700,265100,264700,264000,263000,262200,261600,261000,260400,259700,259100,258600,258300,258200,258200,258500,258700,259000,259400,259900,259900,260000,260400,260800,261100,261400,262000,262800,263700,264600,265300,266100,267100,268000,269000,269900,270400,270900,271700,272500,273100,273500,274200,274800,275400,276000,276600,276800,277100,277600,278200,279000,280200,281700,282800,283600,284300,285000,285400,286200,286900,287600,288500,289600,290800,292300,293600,294400,295400,297000,298700,300400,302200,303700,304700,305800,307200,308400,309400,310500,311300,312000,313000,314200,315600,317000,317900
