"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,1964,1957,1952,1948,1942,1940,1937,1937,1935,1933,1931,1931,1932,1933,1930,1929,1926,1925,1926,1929,1932,1932,1933,1935,1936,1938,1942,1950,1959,1966,1973,1980,1985,1989,1993,1999,2005,2010,2014,2021,2025,2029,2033,2039,2053,2073,2099,2121,2144,2165,2182,2196,2206,2216,2228,2240,2250,2259,2264,2268,2272,2280,2294,2312,2328,2343,2356,2366,2372,2376,2379,2384,2389,2397,2405,2419,2429,2439,2445,2449,2454,2462,2470,2479,2487,2494,2500
54,"Texas",2,1210,1218,1220,1219,1217,1215,1214,1212,1211,1209,1208,1206,1208,1207,1207,1209,1210,1211,1212,1214,1216,1218,1221,1222,1226,1224,1226,1229,1235,1242,1249,1255,1259,1262,1265,1270,1278,1283,1287,1290,1290,1290,1290,1291,1296,1304,1316,1328,1338,1346,1352,1360,1365,1371,1378,1384,1388,1392,1392,1391,1391,1392,1398,1406,1412,1416,1419,1421,1421,1421,1421,1422,1422,1420,1418,1419,1419,1420,1422,1426,1429,1431,1432,1434,1438,1442,1446
43,"New York",3,1707,1718,1728,1737,1743,1750,1750,1748,1741,1737,1735,1734,1737,1740,1745,1756,1762,1772,1785,1792,1791,1783,1776,1772,1780,1784,1792,1797,1803,1809,1822,1837,1849,1854,1858,1864,1881,1892,1898,1902,1903,1904,1903,1905,1916,1931,1948,1961,1978,1983,1983,1988,1997,2011,2020,2032,2042,2064,2080,2095,2096,2095,2101,2111,2119,2120,2127,2133,2142,2145,2147,2151,2160,2166,2172,2178,2177,2175,2169,2163,2159,2158,2160,2161,2162,2161,2162
14,"Florida",4,1254,1257,1257,1255,1251,1248,1244,1242,1242,1241,1241,1241,1243,1241,1240,1241,1243,1247,1252,1256,1259,1261,1264,1267,1272,1274,1277,1281,1284,1288,1293,1299,1305,1311,1319,1330,1342,1352,1358,1365,1369,1373,1375,1376,1378,1383,1390,1397,1403,1407,1411,1418,1425,1433,1441,1448,1455,1461,1463,1463,1465,1468,1476,1486,1494,1499,1504,1509,1513,1516,1520,1525,1532,1535,1537,1540,1542,1544,1544,1545,1547,1549,1550,1548,1546,1546,1550
21,"Illinois",5,1466,1464,1463,1458,1449,1443,1438,1433,1423,1412,1404,1400,1397,1392,1385,1384,1386,1387,1389,1389,1390,1389,1395,1402,1405,1401,1393,1389,1388,1395,1401,1409,1412,1416,1417,1421,1429,1442,1453,1457,1458,1450,1445,1441,1446,1452,1461,1463,1466,1467,1464,1463,1462,1464,1463,1464,1466,1471,1471,1470,1468,1470,1481,1490,1500,1502,1502,1499,1494,1489,1484,1479,1475,1471,1467,1465,1466,1470,1476,1483,1490,1492,1493,1493,1493,1494,1496
47,"Pennsylvania",6,1195,1201,1201,1199,1196,1195,1194,1192,1188,1185,1183,1179,1176,1169,1164,1165,1170,1176,1182,1185,1186,1183,1180,1181,1186,1188,1191,1192,1192,1190,1190,1191,1192,1192,1192,1193,1195,1196,1196,1197,1195,1191,1186,1182,1183,1188,1195,1201,1206,1211,1212,1214,1212,1211,1212,1215,1222,1229,1231,1230,1226,1222,1223,1228,1236,1240,1244,1244,1241,1238,1235,1234,1235,1234,1233,1232,1231,1230,1231,1232,1232,1231,1232,1233,1236,1239,1242
44,"Ohio",7,982,983,989,990,987,979,976,977,981,982,980,978,981,984,989,993,999,1000,993,980,967,961,963,969,976,980,980,980,983,992,1000,1007,1009,1011,1013,1018,1024,1028,1028,1029,1026,1025,1025,1027,1036,1047,1059,1066,1069,1069,1070,1072,1076,1083,1090,1097,1102,1103,1101,1098,1096,1098,1102,1104,1105,1106,1108,1110,1110,1111,1110,1108,1105,1104,1104,1105,1108,1110,1114,1118,1122,1123,1123,1123,1124,1125,1125
30,"Michigan",8,1090,1100,1105,1102,1092,1078,1072,1069,1072,1071,1067,1035,994,942,916,908,909,912,917,921,920,915,912,915,931,941,942,936,927,923,923,927,927,930,936,957,980,995,995,993,987,981,972,968,972,980,990,997,1005,1006,1007,1015,1026,1041,1049,1052,1051,1051,1051,1051,1052,1053,1062,1071,1079,1080,1083,1085,1084,1080,1077,1076,1082,1091,1100,1110,1115,1116,1115,1115,1117,1121,1123,1125,1130,1135,1137
16,"Georgia",9,1103,1110,1114,1112,1107,1103,1100,1097,1093,1089,1085,1083,1084,1082,1080,1080,1080,1077,1075,1074,1074,1074,1071,1068,1066,1062,1059,1060,1062,1065,1069,1075,1080,1083,1087,1090,1094,1097,1098,1100,1100,1101,1100,1099,1101,1105,1114,1121,1131,1137,1143,1146,1149,1153,1159,1165,1169,1173,1175,1175,1174,1173,1177,1185,1193,1198,1201,1201,1199,1198,1198,1201,1204,1208,1211,1215,1218,1222,1226,1232,1238,1243,1249,1256,1261,1266,1269
36,"North Carolina",10,988,990,992,993,995,995,996,999,1001,1003,1004,1003,1006,1007,1010,1014,1018,1023,1023,1024,1024,1024,1025,1025,1027,1028,1026,1024,1022,1022,1024,1029,1038,1047,1057,1065,1072,1077,1080,1080,1078,1076,1075,1072,1071,1071,1075,1079,1085,1091,1096,1103,1107,1112,1118,1124,1129,1132,1130,1128,1124,1121,1126,1137,1149,1156,1159,1159,1156,1154,1155,1159,1163,1166,1165,1166,1166,1168,1172,1178,1182,1185,1188,1190,1194,1198,1203
