"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,1948,1942,1934,1928,1919,1914,1910,1908,1907,1904,1902,1901,1901,1901,1899,1899,1898,1898,1899,1902,1903,1904,1903,1904,1905,1907,1912,1919,1928,1937,1945,1952,1958,1961,1965,1972,1978,1983,1986,1993,1996,2000,2002,2007,2021,2044,2073,2097,2121,2142,2161,2177,2189,2199,2212,2224,2236,2245,2250,2253,2255,2263,2278,2296,2314,2329,2343,2352,2357,2361,2364,2370,2378,2387,2395,2407,2415,2424,2433,2440,2445,2449,2456,2464,2472,2480,2486
54,"Texas",2,1210,1218,1220,1218,1217,1214,1213,1211,1210,1208,1206,1203,1206,1204,1205,1207,1208,1209,1210,1211,1212,1214,1217,1219,1222,1220,1222,1226,1232,1239,1247,1253,1256,1259,1262,1267,1276,1282,1285,1288,1288,1289,1289,1291,1295,1304,1316,1328,1338,1346,1352,1360,1366,1372,1378,1384,1389,1393,1393,1392,1392,1394,1399,1406,1413,1417,1419,1420,1419,1417,1416,1417,1416,1414,1411,1412,1411,1412,1413,1417,1423,1427,1429,1431,1435,1439,1442
43,"New York",3,1689,1692,1694,1698,1700,1706,1707,1706,1701,1700,1700,1700,1701,1703,1708,1717,1727,1739,1754,1764,1768,1764,1757,1750,1753,1759,1769,1777,1786,1794,1809,1826,1841,1849,1854,1862,1879,1894,1904,1912,1916,1920,1922,1924,1936,1951,1972,1988,2005,2012,2013,2021,2031,2045,2054,2066,2074,2095,2113,2131,2139,2143,2153,2163,2171,2172,2174,2176,2178,2175,2173,2174,2181,2186,2191,2197,2195,2191,2184,2179,2179,2180,2183,2184,2183,2181,2179
14,"Florida",4,1260,1265,1265,1264,1260,1256,1252,1251,1251,1251,1250,1250,1251,1249,1248,1249,1251,1255,1260,1264,1267,1269,1271,1274,1279,1281,1284,1288,1292,1296,1301,1307,1313,1321,1330,1340,1353,1363,1370,1377,1381,1385,1387,1387,1389,1394,1401,1408,1414,1418,1422,1429,1437,1445,1454,1461,1467,1473,1476,1477,1480,1483,1489,1496,1502,1506,1512,1517,1521,1522,1524,1527,1532,1534,1536,1539,1541,1543,1543,1543,1543,1545,1545,1544,1542,1541,1545
21,"Illinois",5,1458,1460,1458,1453,1444,1438,1433,1429,1419,1408,1399,1396,1394,1389,1383,1382,1383,1384,1385,1386,1386,1386,1391,1399,1402,1398,1390,1385,1383,1390,1397,1405,1407,1411,1413,1417,1426,1437,1448,1452,1452,1444,1440,1435,1441,1447,1455,1457,1461,1462,1461,1460,1459,1461,1460,1461,1462,1466,1466,1463,1462,1463,1473,1482,1492,1495,1496,1493,1488,1483,1477,1471,1465,1460,1455,1455,1456,1459,1463,1469,1476,1481,1482,1482,1483,1485,1486
47,"Pennsylvania",6,1194,1199,1199,1194,1189,1188,1187,1185,1181,1177,1175,1171,1167,1159,1154,1155,1161,1168,1174,1178,1178,1176,1173,1173,1177,1180,1183,1184,1183,1182,1183,1185,1185,1185,1185,1186,1189,1190,1190,1190,1188,1184,1178,1175,1176,1181,1187,1192,1199,1204,1208,1209,1208,1206,1206,1208,1213,1218,1220,1219,1215,1212,1214,1219,1226,1230,1232,1232,1229,1226,1223,1221,1220,1219,1216,1215,1214,1213,1213,1215,1217,1219,1221,1223,1225,1225,1225
44,"Ohio",7,963,965,971,972,970,963,959,961,965,967,966,964,965,967,971,975,980,981,975,962,951,945,946,952,958,962,962,963,966,974,981,987,989,989,990,994,1000,1005,1006,1008,1006,1006,1004,1004,1011,1024,1038,1044,1044,1042,1043,1047,1053,1060,1068,1076,1082,1085,1083,1081,1082,1083,1086,1085,1085,1084,1086,1088,1088,1086,1083,1082,1082,1082,1080,1079,1079,1083,1088,1093,1094,1093,1092,1091,1092,1094,1096
30,"Michigan",8,1091,1101,1107,1103,1092,1078,1072,1069,1073,1072,1067,1035,995,943,918,910,911,914,919,923,922,917,913,916,932,943,944,938,929,925,924,928,929,931,938,958,981,996,995,993,987,982,974,971,975,983,992,999,1007,1008,1009,1016,1027,1042,1051,1054,1054,1054,1053,1052,1053,1054,1063,1071,1078,1078,1080,1082,1080,1076,1072,1072,1078,1086,1096,1106,1112,1113,1111,1109,1110,1116,1119,1123,1127,1131,1131
16,"Georgia",9,1108,1115,1117,1115,1110,1107,1103,1100,1096,1091,1088,1086,1088,1085,1084,1083,1083,1080,1078,1077,1077,1076,1073,1070,1068,1064,1061,1062,1063,1067,1071,1078,1082,1085,1088,1092,1096,1099,1100,1101,1102,1102,1102,1100,1102,1107,1117,1124,1133,1139,1145,1148,1152,1156,1162,1168,1171,1176,1178,1179,1178,1177,1181,1188,1195,1198,1200,1199,1197,1194,1193,1194,1197,1200,1202,1206,1209,1213,1217,1224,1231,1237,1242,1247,1252,1256,1260
36,"North Carolina",10,989,992,994,996,997,998,999,1002,1005,1007,1007,1007,1009,1010,1013,1017,1021,1025,1027,1028,1026,1027,1027,1027,1030,1030,1029,1026,1024,1024,1027,1032,1041,1050,1060,1067,1074,1079,1081,1081,1079,1077,1076,1074,1073,1073,1076,1081,1086,1092,1097,1104,1108,1113,1120,1127,1131,1133,1132,1131,1127,1125,1128,1138,1147,1153,1156,1154,1150,1145,1144,1147,1149,1152,1153,1155,1156,1157,1159,1164,1171,1178,1182,1185,1189,1193,1197
40,"New Jersey",11,1801,1816,1827,1833,1836,1838,1833,1825,1815,1811,1809,1812,1825,1832,1842,1848,1854,1859,1864,1870,1873,1873,1873,1873,1877,1879,1883,1889,1892,1895,1903,1913,1920,1923,1923,1922,1921,1915,1911,1906,1902,1899,1898,1899,1906,1919,1940,1960,1979,1988,1992,1992,1993,1995,1997,1996,1994,1991,1986,1983,1985,1987,1991,1999,2011,2023,2031,2039,2044,2046,2045,2042,2042,2040,2038,2036,2037,2037,2037,2039,2045,2051,2054,2055,2054,2051,2047
56,"Virginia",12,1345,1349,1353,1358,1363,1370,1377,1383,1388,1392,1395,1398,1401,1405,1409,1412,1413,1413,1412,1412,1416,1420,1425,1427,1431,1432,1431,1429,1427,1429,1434,1442,1449,1452,1454,1455,1458,1461,1464,1466,1465,1463,1460,1457,1455,1457,1462,1468,1474,1478,1479,1483,1486,1490,1494,1495,1495,1493,1490,1487,1485,1483,1486,1489,1493,1492,1493,1491,1488,1485,1483,1483,1483,1483,1482,1484,1486,1489,1491,1492,1492,1494,1497,1499,1499,1500,1502
59,"Washington",13,1347,1354,1362,1370,1375,1377,1375,1372,1370,1364,1357,1350,1354,1353,1353,1352,1352,1354,1360,1366,1370,1371,1371,1372,1379,1381,1384,1385,1387,1389,1392,1399,1408,1417,1426,1435,1446,1453,1459,1462,1464,1462,1460,1459,1461,1466,1474,1482,1491,1498,1504,1512,1522,1535,1546,1557,1564,1571,1575,1578,1582,1588,1596,1607,1617,1627,1633,1637,1638,1642,1651,1665,1678,1688,1695,1702,1708,1717,1727,1739,1754,1767,1780,1790,1798,1803,1804
26,"Massachusetts",14,1670,1668,1660,1656,1657,1660,1658,1660,1663,1669,1677,1688,1699,1711,1722,1733,1741,1750,1763,1769,1772,1768,1764,1759,1752,1752,1758,1768,1773,1777,1779,1779,1774,1774,1779,1794,1810,1826,1835,1838,1838,1837,1833,1828,1834,1847,1868,1883,1898,1918,1943,1969,1987,2000,2010,2026,2044,2062,2070,2072,2068,2063,2063,2067,2076,2090,2110,2129,2141,2148,2153,2159,2166,2168,2165,2166,2168,2171,2176,2181,2185,2185,2183,2183,2185,2188,2190
22,"Indiana",15,1000,1007,1014,1015,1013,1011,1007,1002,991,977,961,949,945,937,933,934,939,943,940,932,924,921,924,928,937,938,935,930,923,917,919,925,936,945,956,969,985,993,996,996,993,990,987,986,990,998,1009,1017,1025,1030,1034,1039,1043,1047,1053,1060,1066,1068,1064,1055,1046,1038,1038,1043,1054,1064,1071,1074,1074,1075,1075,1075,1077,1077,1076,1077,1077,1079,1081,1085,1089,1090,1091,1092,1095,1097,1101
8,"Arizona",16,1138,1135,1133,1129,1123,1118,1113,1112,1110,1107,1104,1101,1100,1102,1104,1106,1107,1109,1110,1112,1114,1116,1117,1120,1123,1127,1126,1124,1124,1125,1127,1128,1130,1133,1136,1139,1140,1140,1140,1139,1139,1138,1138,1138,1141,1147,1155,1163,1171,1178,1183,1188,1192,1196,1199,1202,1207,1212,1215,1213,1210,1209,1214,1225,1238,1247,1252,1254,1252,1249,1246,1247,1250,1255,1258,1261,1263,1268,1275,1282,1288,1292,1297,1302,1307,1310,1313
53,"Tennessee",17,953,961,964,966,965,962,957,951,948,945,947,949,956,958,960,962,965,967,968,970,973,975,976,975,976,977,980,982,981,980,979,983,988,994,998,1002,1005,1004,1004,1005,1004,1004,1003,1005,1007,1013,1020,1027,1033,1036,1038,1040,1045,1052,1062,1067,1073,1077,1081,1082,1083,1084,1086,1090,1096,1103,1107,1108,1104,1100,1097,1098,1099,1101,1103,1109,1112,1115,1120,1126,1130,1130,1130,1131,1135,1141,1147
32,"Missouri",18,942,942,941,939,939,939,941,941,941,940,941,942,944,948,952,954,954,954,954,953,950,946,941,939,938,937,936,934,934,933,931,928,926,926,929,934,937,941,944,948,949,951,951,951,957,967,980,986,989,987,986,985,984,986,989,997,1005,1011,1008,1002,996,995,998,1002,1008,1012,1015,1014,1007,997,990,990,993,998,1000,1002,1003,1004,1005,1008,1013,1018,1024,1028,1031,1032,1032
27,"Maryland",19,1643,1645,1646,1648,1651,1652,1653,1656,1658,1660,1661,1664,1666,1668,1667,1669,1669,1671,1671,1672,1673,1672,1669,1667,1668,1670,1672,1675,1680,1685,1690,1694,1697,1701,1704,1707,1710,1714,1715,1714,1712,1710,1707,1702,1701,1705,1715,1723,1731,1737,1740,1742,1743,1746,1751,1757,1761,1762,1759,1753,1749,1748,1753,1758,1763,1765,1767,1767,1765,1761,1759,1760,1759,1758,1756,1756,1756,1755,1755,1757,1761,1765,1770,1774,1777,1777,1774
