"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,1829,1826,1814,1801,1787,1778,1774,1772,1772,1772,1772,1770,1768,1766,1767,1771,1773,1776,1776,1777,1774,1771,1768,1770,1774,1781,1789,1798,1809,1819,1829,1835,1838,1839,1844,1853,1861,1865,1867,1872,1875,1879,1879,1883,1903,1934,1971,1999,2024,2046,2066,2084,2098,2113,2131,2149,2164,2175,2181,2185,2190,2199,2218,2240,2262,2280,2295,2307,2311,2313,2314,2319,2327,2337,2345,2356,2364,2371,2379,2389,2397,2403,2408,2414,2419,2424,2426
54,"Texas",2,1071,1066,1064,1062,1058,1056,1052,1049,1047,1044,1042,1036,1031,1027,1023,1022,1023,1023,1022,1020,1021,1024,1028,1032,1035,1038,1044,1052,1061,1070,1082,1094,1102,1109,1114,1125,1139,1156,1166,1172,1173,1176,1179,1183,1192,1204,1220,1230,1239,1243,1246,1250,1254,1260,1267,1275,1281,1283,1282,1281,1281,1282,1288,1297,1305,1309,1310,1310,1306,1303,1300,1299,1298,1298,1296,1299,1299,1298,1297,1296,1296,1297,1298,1300,1302,1304,1305
43,"New York",3,1719,1716,1713,1708,1701,1701,1700,1701,1701,1702,1704,1706,1708,1710,1717,1728,1745,1760,1775,1786,1791,1788,1780,1774,1779,1788,1802,1815,1830,1841,1858,1884,1912,1930,1942,1949,1964,1982,2002,2019,2026,2034,2043,2049,2066,2083,2113,2134,2151,2162,2171,2186,2202,2213,2217,2216,2214,2230,2251,2280,2298,2312,2314,2311,2309,2313,2316,2317,2309,2295,2279,2272,2271,2273,2274,2276,2275,2273,2271,2272,2276,2281,2284,2281,2273,2262,2253
14,"Florida",4,1204,1205,1207,1208,1209,1210,1210,1211,1213,1214,1214,1213,1215,1214,1213,1213,1216,1220,1227,1231,1235,1236,1238,1241,1244,1247,1248,1250,1250,1253,1256,1263,1269,1279,1290,1303,1319,1332,1342,1350,1355,1358,1362,1365,1369,1374,1380,1386,1390,1393,1396,1404,1412,1419,1427,1433,1441,1448,1452,1451,1452,1455,1463,1476,1485,1491,1497,1501,1502,1501,1502,1504,1507,1509,1509,1513,1512,1512,1510,1508,1508,1507,1509,1511,1515,1518,1522
21,"Illinois",5,1486,1488,1484,1475,1466,1461,1456,1450,1446,1444,1443,1440,1439,1439,1439,1440,1443,1444,1444,1440,1439,1440,1446,1453,1456,1456,1454,1452,1456,1467,1478,1485,1481,1480,1482,1489,1495,1502,1512,1519,1520,1516,1514,1516,1526,1535,1546,1554,1561,1562,1558,1551,1546,1543,1539,1540,1543,1544,1539,1532,1530,1534,1545,1553,1563,1567,1565,1558,1550,1542,1535,1528,1519,1512,1506,1504,1505,1507,1513,1522,1531,1535,1533,1531,1529,1527,1524
47,"Pennsylvania",6,1047,1050,1046,1036,1026,1018,1011,1007,1006,1009,1013,1013,1010,1005,1005,1012,1019,1027,1032,1035,1035,1032,1033,1032,1031,1028,1026,1028,1032,1039,1045,1048,1046,1042,1037,1039,1043,1048,1053,1060,1066,1071,1071,1070,1074,1082,1094,1103,1112,1119,1121,1124,1122,1120,1122,1129,1136,1140,1141,1141,1141,1142,1146,1151,1155,1158,1163,1168,1168,1167,1165,1164,1162,1163,1163,1169,1168,1166,1162,1162,1164,1168,1172,1176,1179,1184,1189
44,"Ohio",7,815,822,830,835,840,840,840,841,841,845,847,849,851,850,850,852,854,854,850,844,837,833,834,837,846,850,851,849,846,845,845,847,847,848,851,855,862,866,868,871,872,874,877,878,883,888,895,898,900,902,903,906,911,919,927,935,940,943,942,940,939,937,938,939,941,941,943,945,944,940,936,934,935,935,934,933,932,933,934,938,944,950,952,952,951,951,951
30,"Michigan",8,1169,1167,1166,1157,1145,1138,1140,1145,1151,1158,1164,1161,1147,1130,1119,1118,1124,1133,1140,1144,1145,1145,1144,1150,1156,1168,1173,1174,1170,1169,1167,1168,1168,1174,1182,1193,1201,1205,1207,1209,1210,1208,1205,1199,1197,1197,1202,1209,1216,1222,1226,1233,1240,1247,1252,1259,1264,1264,1256,1247,1243,1247,1258,1269,1279,1283,1287,1286,1284,1279,1276,1276,1279,1281,1282,1286,1289,1291,1293,1296,1305,1315,1325,1330,1335,1339,1341
16,"Georgia",9,1081,1079,1081,1083,1082,1080,1078,1077,1076,1073,1070,1067,1067,1065,1063,1062,1062,1062,1060,1058,1055,1053,1051,1049,1049,1049,1048,1048,1051,1058,1066,1075,1081,1087,1093,1101,1108,1114,1115,1117,1118,1121,1123,1127,1132,1140,1151,1161,1171,1181,1189,1197,1201,1204,1205,1208,1211,1217,1219,1219,1219,1221,1228,1238,1248,1252,1255,1254,1253,1250,1250,1251,1255,1256,1257,1261,1262,1265,1271,1279,1288,1294,1300,1305,1310,1314,1319
36,"North Carolina",10,909,918,920,920,918,916,914,915,916,919,922,925,929,930,932,935,938,940,940,941,941,941,943,946,953,955,956,957,957,958,960,965,969,972,975,980,987,991,994,995,994,994,994,993,994,996,1001,1006,1010,1012,1014,1019,1024,1032,1039,1045,1050,1056,1059,1057,1054,1052,1057,1065,1076,1083,1088,1090,1088,1085,1084,1086,1090,1093,1095,1098,1100,1102,1106,1111,1118,1125,1129,1132,1136,1140,1143
