"Date","RegionName","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-01-31,"United States",0,1563,-0.000639386189258312,0,0.0155945419103314,15208645
2018-01-31,"California",1,2426,0.000825082508250825,0.00497100248550124,0.0345415778251599,1960044
2018-01-31,"Texas",2,1305,0.000766871165644172,0.00384615384615385,0.00694444444444444,469012
2018-01-31,"New York",3,2253,-0.00397877984084881,-0.0122753178430513,-0.00923482849604222,1593432
2018-01-31,"Florida",4,1522,0.00263504611330698,0.00727994705493051,0.00861497680583168,2266643
2018-01-31,"Illinois",5,1524,-0.00196463654223969,-0.00457217504898759,0.0119521912350598,892394
2018-01-31,"Pennsylvania",6,1189,0.00422297297297297,0.0110544217687075,0.0223559759243336,737382
2018-01-31,"Ohio",7,951,0,-0.00105042016806723,0.0182012847965739,451624
2018-01-31,"Michigan",8,1341,0.00149365197908887,0.00827067669172932,0.0460218408736349,338347
2018-01-31,"Georgia",9,1319,0.00380517503805175,0.010727969348659,0.0493237867939539,212335
2018-01-31,"North Carolina",10,1143,0.00263157894736842,0.00971731448763251,0.0438356164383562,266333
2018-01-31,"New Jersey",11,1830,0.00109409190371991,-0.000546149645002731,0.0132890365448505,276378
2018-01-31,"Virginia",12,1741,0.00172612197928654,0.00635838150289017,0.0205158264947245,475170
2018-01-31,"Washington",13,1692,0.00118343195266272,0.0053475935828877,0.0483271375464684,318022
2018-01-31,"Massachusetts",14,2100,-0.0042674253200569,-0.00332225913621262,0.00864553314121038,674547
2018-01-31,"Indiana",15,997,-0.003996003996004,-0.0128712871287129,0.0225641025641026,148915
2018-01-31,"Arizona",16,1195,0.00335852225020991,0.0135708227311281,0.0491659350307287,313302
2018-01-31,"Tennessee",17,1203,0.0025,0.0126262626262626,0.0290846877673225,183515
2018-01-31,"Missouri",18,929,0,0.00432432432432432,0.018640350877193,171966
2018-01-31,"Maryland",19,1697,0.000589622641509434,0.00414201183431953,0.0089179548156956,376577
2018-01-31,"Wisconsin",20,1066,-0.00187265917602996,-0.00280636108512629,0.0191204588910134,214046
2018-01-31,"Minnesota",21,1393,0.00287976961843053,0.00868935553946416,0.0303254437869823,220902
2018-01-31,"Colorado",22,1635,0.000611995104039168,0.00368324125230203,0.0407383831954169,304871
2018-01-31,"Alabama",23,1066,0.000938967136150235,0.00376647834274953,0.031945788964182,60192
2018-01-31,"South Carolina",24,1190,0.00168350168350168,0.00337268128161889,0.0466138962181179,183822
2018-01-31,"Louisiana",25,1276,-0.0046801872074883,-0.0093167701863354,-0.0296577946768061,57710
2018-01-31,"Kentucky",26,1017,-0.00586510263929619,-0.0116618075801749,0.018018018018018,79421
2018-01-31,"Oregon",27,1480,-0.00336700336700337,-0.0087073007367716,0.002710027100271,118837
2018-01-31,"Oklahoma",28,809,-0.00492004920049201,-0.0122100122100122,-0.0182038834951456,26446
2018-01-31,"Connecticut",29,1378,0.000726216412490922,0.00364166059723234,0.00657414170927684,294006
2018-01-31,"Iowa",30,999,0.00200601805416249,0.00807265388496468,-0.0029940119760479,87427
2018-01-31,"Mississippi",31,886,-0.00337457817772778,-0.00449438202247191,-0.00225225225225225,12010
2018-01-31,"Arkansas",32,827,-0.0036144578313253,-0.00481347773766546,-0.0224586288416076,24222
2018-01-31,"Kansas",33,966,0,0.00415800415800416,0.0157728706624606,55618
2018-01-31,"Utah",34,1344,0.0014903129657228,0.00598802395209581,0.0378378378378378,150202
2018-01-31,"Nevada",35,1092,0.00459981600735971,0.0234301780693533,0.107505070993915,186012
2018-01-31,"New Mexico",36,1086,0.00462534690101758,0.0274361400189215,0.0303605313092979,23831
2018-01-31,"West Virginia",37,844,-0.00118343195266272,-0.00705882352941176,-0.0376282782212087,16744
2018-01-31,"Nebraska",38,1124,-0.00618921308576481,-0.0114335971855761,0.00716845878136201,31418
2018-01-31,"Idaho",39,995,0.00403632694248234,0.0030241935483871,0.0278925619834711,26785
2018-01-31,"Hawaii",40,2070,-0.00192864030858245,-0.00192864030858245,0.0107421875,176611
2018-01-31,"Maine",41,1187,-0.000841750841750842,-0.0190082644628099,0.00338123415046492,205544
2018-01-31,"New Hampshire",42,1483,0.000674763832658569,-0.00802675585284281,0.00542372881355932,161510
2018-01-31,"Rhode Island",43,1344,-0.00444444444444444,-0.0153846153846154,0.0236100533130236,85590
2018-01-31,"Montana",44,1189,-0.00251677852348993,-0.0108153078202995,0.0136402387041773,33710
2018-01-31,"Delaware",45,1335,0.0105980317940954,0.0269230769230769,0.0285053929121726,14129
2018-01-31,"South Dakota",46,977,-0.00610376398779247,-0.00204290091930541,-0.0551257253384913,3773
2018-01-31,"Alaska",47,1491,-0.00200803212851406,-0.0125827814569536,-0.0393041237113402,34814
2018-01-31,"North Dakota",48,1022,-0.01256038647343,-0.0294396961063628,-0.0182516810758886,13875
2018-01-31,"Vermont",49,1618,0.00309981401115933,0.0182504719949654,0.054071661237785,23684
2018-01-31,"District of Columbia",50,2549,-0.00546234880998829,-0.0158301158301158,-0.00234833659491194,126127
2018-01-31,"Wyoming",51,1018,-0.00488758553274682,-0.0145208131655373,-0.0485981308411215,10640
