"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
9,"California",1,1982,1980,1974,1971,1964,1962,1959,1958,1955,1951,1949,1948,1950,1950,1947,1945,1942,1940,1940,1944,1946,1947,1947,1949,1951,1952,1956,1964,1973,1980,1987,1994,1999,2002,2007,2013,2018,2023,2025,2032,2035,2039,2042,2048,2062,2081,2107,2130,2153,2174,2190,2202,2214,2224,2237,2249,2259,2267,2272,2276,2279,2286,2300,2317,2333,2347,2360,2369,2374,2377,2380,2384,2391,2399,2408,2422,2432,2442,2447,2452,2458,2467,2475,2482,2489,2496,2502
54,"Texas",2,1230,1228,1229,1228,1226,1224,1223,1221,1220,1217,1216,1214,1214,1214,1215,1216,1218,1219,1220,1222,1224,1226,1229,1231,1233,1233,1234,1237,1242,1249,1257,1263,1268,1270,1273,1278,1285,1292,1295,1297,1297,1297,1297,1298,1302,1311,1324,1335,1345,1354,1361,1369,1375,1381,1387,1393,1399,1403,1404,1403,1400,1400,1407,1416,1424,1427,1429,1431,1430,1429,1427,1428,1428,1428,1425,1427,1426,1427,1428,1431,1433,1434,1434,1437,1442,1446,1449
43,"New York",3,1656,1666,1676,1687,1702,1715,1714,1710,1700,1694,1691,1691,1697,1700,1701,1709,1711,1719,1733,1740,1741,1733,1726,1721,1727,1734,1739,1742,1745,1754,1762,1769,1772,1775,1778,1786,1804,1816,1820,1819,1814,1808,1805,1807,1818,1828,1841,1851,1861,1865,1872,1883,1892,1898,1903,1911,1921,1940,1956,1971,1975,1973,1977,1984,1992,1994,1998,2002,2009,2016,2020,2020,2021,2018,2016,2020,2020,2022,2023,2028,2032,2033,2031,2028,2032,2035,2040
14,"Florida",4,1291,1292,1292,1289,1284,1279,1274,1271,1270,1269,1269,1269,1270,1270,1269,1270,1271,1275,1279,1283,1285,1286,1287,1290,1295,1299,1302,1307,1312,1318,1324,1331,1338,1344,1352,1361,1371,1379,1385,1391,1394,1397,1397,1396,1397,1401,1411,1420,1427,1432,1436,1443,1450,1458,1465,1472,1478,1482,1484,1487,1490,1494,1499,1504,1510,1514,1520,1526,1530,1531,1532,1535,1539,1542,1543,1548,1551,1552,1553,1555,1559,1564,1564,1560,1554,1553,1559
21,"Illinois",5,1441,1447,1450,1446,1437,1431,1426,1421,1410,1396,1386,1383,1382,1374,1365,1362,1362,1362,1365,1368,1370,1370,1375,1383,1386,1380,1369,1363,1359,1364,1369,1377,1383,1388,1389,1391,1400,1409,1420,1422,1424,1416,1410,1404,1407,1413,1420,1422,1425,1425,1423,1422,1425,1430,1432,1432,1433,1437,1437,1434,1432,1434,1443,1452,1460,1462,1463,1462,1458,1453,1446,1440,1436,1435,1436,1438,1438,1440,1442,1445,1449,1452,1457,1461,1464,1463,1461
47,"Pennsylvania",6,1196,1202,1207,1210,1210,1209,1206,1204,1201,1197,1193,1189,1188,1182,1179,1179,1184,1190,1194,1197,1197,1194,1192,1193,1198,1201,1204,1205,1204,1203,1203,1205,1205,1206,1207,1208,1209,1208,1206,1207,1204,1201,1196,1192,1193,1198,1206,1211,1216,1220,1221,1221,1218,1218,1221,1226,1234,1242,1244,1242,1238,1235,1235,1238,1244,1248,1251,1248,1243,1238,1235,1234,1236,1236,1234,1232,1230,1230,1231,1232,1232,1231,1231,1233,1236,1239,1241
44,"Ohio",7,982,984,990,991,987,979,975,976,979,981,980,978,980,983,988,992,999,1000,993,980,967,961,963,969,976,980,979,980,984,994,1003,1011,1015,1016,1018,1024,1029,1032,1031,1031,1028,1027,1026,1028,1037,1048,1060,1066,1069,1070,1071,1073,1077,1083,1090,1097,1102,1103,1100,1097,1095,1097,1101,1102,1103,1103,1104,1106,1106,1105,1103,1101,1099,1099,1100,1101,1103,1106,1109,1113,1116,1117,1117,1117,1117,1116,1115
30,"Michigan",8,1090,1099,1103,1097,1085,1071,1065,1062,1066,1064,1059,1026,983,930,904,895,895,899,903,907,906,902,899,902,917,926,926,919,911,907,906,910,911,914,919,937,959,974,974,973,968,962,954,950,954,962,970,978,986,988,989,997,1006,1021,1028,1031,1030,1030,1030,1030,1031,1034,1044,1049,1054,1054,1055,1056,1054,1050,1046,1047,1055,1065,1077,1086,1094,1096,1095,1094,1094,1097,1101,1106,1110,1109,1107
16,"Georgia",9,1112,1121,1122,1119,1113,1109,1105,1101,1097,1093,1089,1087,1089,1087,1085,1084,1085,1083,1080,1079,1079,1078,1075,1072,1070,1065,1062,1063,1064,1068,1072,1078,1081,1084,1087,1091,1096,1098,1099,1100,1100,1101,1100,1098,1099,1104,1113,1120,1130,1135,1141,1144,1147,1152,1158,1164,1167,1171,1173,1174,1174,1172,1175,1182,1190,1194,1197,1197,1195,1192,1191,1192,1194,1197,1200,1204,1206,1208,1212,1218,1226,1233,1238,1242,1246,1249,1252
36,"North Carolina",10,993,996,1000,1003,1005,1005,1007,1011,1015,1018,1019,1019,1021,1022,1024,1028,1032,1037,1039,1039,1038,1038,1038,1039,1042,1042,1040,1037,1035,1035,1037,1041,1050,1058,1068,1075,1082,1087,1090,1090,1088,1086,1086,1083,1081,1080,1083,1087,1092,1098,1103,1110,1115,1120,1127,1133,1138,1141,1140,1138,1134,1133,1137,1147,1156,1161,1163,1162,1158,1154,1154,1157,1160,1161,1160,1161,1161,1164,1167,1173,1178,1183,1186,1189,1193,1197,1201
